Symbol,Interval,Latest Horizontal,Today price,Difference (%),Type
NZDCAD=X,Weekly,0.8305,0.817,1.63,Resistance
NZDCAD=X,Daily,0.8068,0.817,1.26,Support
EURUSD=X,Daily,1.1617,1.179,1.49,Support
GBPUSD=X,Daily,1.3631,1.3481,1.1,Support
GBPUSD=X,Weekly,1.3445,1.3481,0.27,Resistance
CAD=X,Daily,1.3921,1.3677,1.75,Resistance
CAD=X,Weekly,1.3785,1.3677,0.78,Support
GBPSGD=X,Monthly,1.6701,1.7075,2.24,Support
GBPSGD=X,Weekly,1.7483,1.7075,2.34,Support
GBPSGD=X,Daily,1.7279,1.7075,1.18,Support
GNE.NZ,Weekly,2.3525,2.41,2.44,Resistance
FBU.NZ,Daily,3.49,3.53,1.15,Support
^TNX,Daily,4.1085,4.029,1.94,Support
MEL.NZ,Weekly,5.73,5.61,2.09,Resistance
MCY.NZ,Daily,6.196,6.15,0.74,Support
C6L.SI,Daily,7.0067,6.96,0.67,Resistance
AIA.NZ,Weekly,8.9125,8.95,0.42,Resistance
AIA.NZ,Daily,8.8963,8.95,0.6,Resistance
CEN.NZ,Daily,9.365,9.22,1.55,Support
CNU.NZ,Daily,9.875,9.69,1.87,Resistance
ATM.NZ,Daily,10.965,11.13,1.5,Resistance
NU,Daily,16.285,16.19,0.58,Support
DBC,Weekly,24.8925,24.75,0.57,Resistance
DBC,Daily,24.2867,24.75,1.91,Resistance
PFE,Daily,26.92,27.06,0.52,Resistance
PFE,Weekly,26.4516,27.06,2.3,Resistance
RINF,Daily,32.3213,31.94,1.18,Support
KWEB,Daily,32.2483,32.28,0.1,Support
ASHR,Daily,34.17,34.01,0.47,Support
EFN.TO,Daily,34.925,34.3,1.79,Support
FXI,Weekly,37.755,38.68,2.45,Support
FXI,Daily,37.97,38.68,1.87,Support
FPH.NZ,Daily,39.407,38.75,1.67,Support
INDY,Weekly,46.71,47.77,2.27,Support
IHI,Weekly,58.545,59.54,1.7,Support
BN.TO,Daily,59.2144,60.28,1.8,Support
BTI,Weekly,60.8175,62.1,2.11,Resistance
BIPC.TO,Daily,67.0533,66.19,1.29,Support
BIPC.TO,Weekly,67.1133,66.19,1.38,Resistance
HYG,Weekly,78.975,80.87,2.4,Resistance
HYG,Daily,79.5127,80.87,1.71,Support
ATD.TO,Daily,85.51,85.26,0.29,Resistance
JNK,Weekly,96.515,97.5,1.02,Resistance
JNK,Daily,96.8482,97.5,0.67,Support
DIS,Daily,106.468,104.41,1.93,Support
IEI,Weekly,119.345,120.33,0.83,Resistance
IEI,Daily,119.2687,120.33,0.89,Resistance
CNR.TO,Daily,152.2183,150.78,0.94,Resistance
XLV,Daily,159.7267,158.54,0.74,Resistance
PG,Daily,163.285,165.17,1.15,Resistance
DOL.TO,Daily,197.56,195.69,0.95,Resistance
WIPRO.NS,Daily,208.135,205.89,1.08,Support
BYD.TO,Daily,231.6533,235.4,1.62,Support
BPCL.NS,Daily,378.775,372.1,1.76,Support
MSFT,Daily,385.97,384.47,0.39,Support
MA,Daily,494.96,496.03,0.22,Support
HDFCBANK.NS,Daily,939.55,923.6,1.7,Support
RELIANCE.NS,Daily,1423.075,1428.0,0.35,Support
^NZ50,Daily,13075.415,13308.5195,1.78,Support
^NZ50,Weekly,13418.2035,13308.5195,0.82,Support
^NSEI,Daily,26106.6328,25713.0,1.51,Support
NIFTY_MIDCAP_100.NS,Daily,60128.6094,59255.6484,1.45,Support
