Symbol,Interval,Latest Horizontal,Today price,Difference (%),Type
NZDUSD=X,Quarterly,0.5854,0.5838,0.27,Resistance
NZDUSD=X,Daily,0.5837,0.5838,0.02,Support
NZDUSD=X,Weekly,0.5829,0.5838,0.16,Support
NZDUSD=X,Monthly,0.5854,0.5838,0.28,Resistance
USDCHF=X,Daily,0.798,0.7878,1.28,Resistance
USDCHF=X,Weekly,0.7933,0.7878,0.69,Resistance
NZDCAD=X,Daily,0.8068,0.8007,0.76,Resistance
EURUSD=X,Daily,1.1455,1.1575,1.05,Support
GBPUSD=X,Weekly,1.3303,1.3345,0.31,Support
GBPUSD=X,Quarterly,1.3404,1.3345,0.44,Resistance
CAD=X,Quarterly,1.3845,1.3723,0.88,Resistance
CAD=X,Monthly,1.3912,1.3723,1.36,Resistance
CAD=X,Daily,1.3888,1.3723,1.19,Resistance
CAD=X,Weekly,1.3924,1.3723,1.45,Resistance
GBPSGD=X,Daily,1.6858,1.7108,1.48,Support
GBPSGD=X,Weekly,1.7474,1.7108,2.1,Resistance
GBPSGD=X,Monthly,1.7403,1.7108,1.69,Resistance
TWR.NZ,Monthly,1.8131,1.86,2.59,Support
GNE.NZ,Monthly,2.1975,2.22,1.02,Support
GNE.NZ,Weekly,2.195,2.22,1.14,Support
GNE.NZ,Quarterly,2.245,2.22,1.11,Resistance
FBU.NZ,Daily,3.32,3.28,1.2,Resistance
^TNX,Weekly,4.322,4.391,1.6,Support
^TNX,Daily,4.3327,4.391,1.35,Support
NIO,Monthly,5.57,5.43,2.51,Resistance
MEL.NZ,Weekly,5.395,5.49,1.76,Support
MEL.NZ,Monthly,5.3367,5.49,2.87,Support
MCY.NZ,Weekly,6.645,6.51,2.03,Resistance
C6L.SI,Daily,6.48,6.6,1.85,Support
C6L.SI,Quarterly,6.6554,6.6,0.83,Resistance
AIA.NZ,Monthly,8.295,8.2,1.15,Resistance
AIA.NZ,Daily,8.365,8.2,1.97,Resistance
AIA.NZ,Weekly,8.2967,8.2,1.17,Resistance
FSF.NZ,Monthly,8.245,8.23,0.18,Resistance
FSF.NZ,Weekly,8.245,8.23,0.18,Resistance
CEN.NZ,Quarterly,9.083,9.06,0.25,Resistance
CEN.NZ,Monthly,8.9946,9.06,0.73,Support
CEN.NZ,Daily,9.065,9.06,0.06,Resistance
SUM.NZ,Weekly,9.1775,9.38,2.21,Support
CNU.NZ,Monthly,9.4062,9.66,2.7,Support
CNU.NZ,Quarterly,9.4062,9.66,2.7,Support
CNU.NZ,Weekly,9.875,9.66,2.18,Resistance
IFT.NZ,Daily,10.78,10.83,0.46,Support
IFT.NZ,Weekly,10.87,10.83,0.37,Resistance
BYDDY,Daily,13.1794,12.96,1.66,Resistance
FRW.NZ,Weekly,13.02,13.0,0.15,Resistance
NU,Weekly,13.905,13.94,0.25,Support
NU,Daily,13.9817,13.94,0.3,Resistance
SONY,Daily,20.2613,20.22,0.2,Resistance
SONY,Monthly,20.182,20.22,0.19,Support
SONY,Weekly,20.2613,20.22,0.2,Resistance
JETS,Weekly,23.688,24.09,1.7,Support
HDB,Monthly,25.6325,25.39,0.95,Resistance
HDB,Weekly,25.6937,25.39,1.18,Resistance
HDB,Daily,25.6925,25.39,1.18,Resistance
HDB,Quarterly,25.6925,25.39,1.18,Resistance
PFE,Weekly,27.184,26.97,0.79,Resistance
PFE,Monthly,26.7683,26.97,0.75,Support
PFE,Daily,27.204,26.97,0.86,Resistance
KWEB,Weekly,28.439,28.23,0.73,Resistance
GLXY.TO,Weekly,27.865,28.26,1.42,Support
EFN.TO,Daily,30.265,30.55,0.94,Support
NOVA.F,Monthly,31.0,31.7,2.26,Support
RINF,Daily,32.3212,32.09,0.72,Resistance
RINF,Monthly,31.2333,32.09,2.74,Support
ASHR,Weekly,32.35,32.37,0.06,Support
FXI,Weekly,35.404,35.16,0.69,Resistance
FPH.NZ,Weekly,37.084,36.41,1.82,Resistance
FPH.NZ,Monthly,36.648,36.41,0.65,Resistance
NVO,Weekly,37.265,36.53,1.97,Resistance
INDY,Weekly,41.3533,41.96,1.47,Support
ENZL,Quarterly,43.725,42.97,1.73,Resistance
ENZL,Monthly,43.745,42.97,1.77,Resistance
ENZL,Weekly,43.836,42.97,1.98,Resistance
PYPL,Monthly,43.135,44.01,2.03,Support
INDA,Monthly,47.6433,46.59,2.21,Resistance
INDA,Weekly,47.06,46.59,1.0,Resistance
BAC,Quarterly,47.775,47.16,1.29,Resistance
BAC,Monthly,47.72,47.16,1.17,Resistance
RHHBY,Weekly,46.395,47.32,1.99,Support
RHHBY,Quarterly,45.73,47.32,3.48,Support
NKE,Monthly,52.4667,52.37,0.18,Resistance
NKE,Weekly,52.3238,52.37,0.09,Support
IHI,Monthly,53.31,54.44,2.12,Support
IHI,Weekly,55.2897,54.44,1.54,Resistance
EEM,Weekly,56.9267,55.64,2.26,Resistance
EEM,Monthly,57.0584,55.64,2.49,Resistance
BIPC.TO,Weekly,55.275,55.99,1.29,Support
BTI,Weekly,57.3963,57.37,0.05,Resistance
MSE.PA,Daily,60.73,61.5,1.27,Support
MSE.PA,Weekly,60.49,61.5,1.67,Support
TCEHY,Weekly,62.19,63.6,2.27,Support
TCEHY,Monthly,61.785,63.6,2.94,Support
CVS,Daily,70.37,71.48,1.58,Support
CVS,Weekly,70.4275,71.48,1.49,Support
ATD.TO,Weekly,74.9433,76.17,1.64,Support
HYG,Monthly,80.3525,78.92,1.78,Resistance
HYG,Weekly,80.9292,78.92,2.48,Resistance
HYG,Daily,79.6567,78.92,0.92,Resistance
TLT,Quarterly,87.43,85.83,1.83,Resistance
TLT,Weekly,84.4875,85.83,1.59,Support
TLT,Daily,86.035,85.83,0.24,Resistance
SBUX,Daily,91.3633,92.55,1.3,Support
SBUX,Weekly,93.0033,92.55,0.49,Resistance
JNK,Weekly,94.27,94.95,0.72,Support
JNK,Quarterly,98.3,94.95,3.41,Resistance
JNK,Daily,93.5714,94.95,1.47,Support
JNK,Monthly,92.9925,94.95,2.11,Support
UPS,Monthly,93.4467,95.86,2.58,Support
UPS,Weekly,93.88,95.86,2.11,Support
DIS,Monthly,98.0767,99.51,1.46,Support
DIS,Weekly,101.12,99.51,1.59,Resistance
XLY,Daily,109.5683,107.74,1.67,Resistance
XLY,Weekly,108.9975,107.74,1.15,Resistance
IEI,Quarterly,119.232,118.08,0.97,Resistance
IEI,Daily,118.893,118.08,0.68,Resistance
BABA,Monthly,120.92,122.41,1.23,Support
BABA,Weekly,124.958,122.41,2.04,Resistance
ABNB,Weekly,130.225,128.52,1.31,Resistance
