"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Spread,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"TD.TO, Long, 2026-01-28 (Price: 126.9)",2026-04-13 (Price: 140.67),"10.85%, 2.5 months","72.22%, Past 25 years, 18","Weekly, was CONFIRMED on 2026-01-28",No Cancellation Possible,"2026-04-14 (Price: 141.95), 11.86% above",2.5 months,10.43%,14.56%/13.52%/13.98%,"26.93%, 26.97%",2.2 years/15 days/7.6 months,2029-03-20/2026-02-18/2026-12-24,3.07%,5.54%,-2.47%,-0.48,-0.25,128.8796/144.6406/152.0396/No Horizontal Resistance/152.0396/161.295/No EMA 200 Target,81.05/73.6233/103.0479/83.3451/No F-Track Level/No F-Track Level/117.72,69.84%/63/6.2 months (Across ALL Assets),72.92%/277/6.5 months (Across ALL Assets),130.41
"NKE, Long, 2025-10-09 (Price: 68.06)",2026-04-01 (Price: 44.63),"-34.43%, 5.8 months","78.57%, Past 25 years, 14","Weekly, was CONFIRMED on 2025-10-09",No Cancellation Possible,"2026-04-14 (Price: 44.2), 35.06% below",6.2 months,10.23%,20.41%/18.74%/19.48%,"38.98%, 41.08%",2 years/2.9 months/8.6 months,2028-08-16/2026-02-12/2026-10-17,5.08%,6.46%,-1.38%,-0.18,-0.13,69.1285/81.3181/171.1647/176.74/171.1647/206.9588/No EMA 200 Target,54.39/No Horizontal Support/60.8668/56.1303/No F-Track Level/No F-Track Level/65.88,69.84%/63/6.2 months (Across ALL Assets),72.92%/277/6.5 months (Across ALL Assets),72.02
"BYD.TO, Long, 2025-10-09 (Price: 221.86)",2026-04-10 (Price: 162.27),"-26.86%, 6.1 months","76.92%, Past 22 years, 13","Weekly, was CONFIRMED on 2025-10-09",No Cancellation Possible,"2026-04-14 (Price: 172.05), 22.45% below",6.2 months,10.23%,27.88%/24.44%/25.85%,"42.94%, 40.93%",1.1 year/1.6 month/6.2 months,2027-05-05/2025-12-17/2026-07-05,4.53%,9.54%,-5.01%,-0.17,-0.01,227.1403/279.2108/367.2583/256.6133/367.2583/388.6839/No EMA 200 Target,187.77/188.685/147.1212/139.9966/No F-Track Level/No F-Track Level/217.54,69.84%/63/6.2 months (Across ALL Assets),72.92%/277/6.5 months (Across ALL Assets),231.6
