Symbol,Today price,New Highest
XIU.TO,$49.5700,√ $49.5700
ACWX,$74.1200,√ $74.1200
^BVSP,$190534.4219,√ $190726.7812
EEM,$62.3400,√ $62.3600
NA.TO,$178.7000,√ $178.8500
MSE.PA,$68.4900,√ $68.6700
^STI,$5017.6001,√ $5024.5698
,,
