"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"META, Long, 2026-03-23 (Price: 604.06)",No Exit Yet,"0.0%, 0 days","72.73%, Past 4 years, 11","Daily, is CONFIRMED on 2026-03-23",Already confirmed,"2026-03-23 (Price: 604.06), 0.0% below",0 days,14.76%/3.27%/7.84%,"19.19%, 19.41%",29 days/1 day/11 days,2026-05-04/2026-03-24/2026-04-07,4.74%,13.76%,-9.02%,0.09,0.64,647.1899/651.4183/649.3/742.455/915.851/1095.6891/690.19,593.66/276.89/491.5059/449.4805/No stop loss/No stop loss/No EMA 200 Stop Loss,73.05%/141/15 days (Across ALL Assets),72.12%/520/15 days (Across ALL Assets),605.787
"XIU.TO, Long, 2026-03-23 (Price: 47.05)",No Exit Yet,"0.0%, 0 days","85.71%, Past 4 years, 14","Daily, is CONFIRMED on 2026-03-23",Already confirmed,"2026-03-23 (Price: 47.05), 0.0% below",0 days,3.63%/1.18%/1.95%,"5.96%, 6.31%",1.3 month/1 day/12 days,2026-05-18/2026-03-24/2026-04-09,7.32%,8.77%,-1.45%,0.38,0.74,49.2661/47.9675/48.62/No Horizontal Resistance/56.9776/70.1282/No EMA 200 Target,46.23/27.9467/41.5586/34.9694/44.9718/41.8326/44.84,73.05%/141/15 days (Across ALL Assets),72.12%/520/15 days (Across ALL Assets),46.7
"^DJI, Long, 2026-03-23 (Price: 46208.4688)",No Exit Yet,"0.0%, 0 days","92.86%, Past 4 years, 14","Daily, is CONFIRMED on 2026-03-23",Already confirmed,"2026-03-23 (Price: 46208.4688), 0.0% below",0 days,3.16%/1.43%/2.16%,"4.6%, 5.49%",1.1 month/1 day/12 days,2026-05-09/2026-03-24/2026-04-09,10.18%,6.92%,3.26%,0.85,0.46,49045.6688/47206.5717/48126.12/No Horizontal Resistance/50924.8674/68852.5953/46581.97,45577.47/32154.0552/39844.8882/32997.1394/No stop loss/45202.6041/No EMA 200 Stop Loss,73.05%/141/15 days (Across ALL Assets),72.12%/520/15 days (Across ALL Assets),45803.8203
"CVS, Long, 2026-03-23 (Price: 71.29)",No Exit Yet,"0.0%, 0 days","78.57%, Past 4 years, 14","Daily, is CONFIRMED on 2026-03-23",Already confirmed,"2026-03-23 (Price: 71.29), 0.0% below",0 days,9.78%/2.02%/4.68%,"18.34%, 19.27%",25 days/1 day/14 days,2026-04-28/2026-03-24/2026-04-12,5.82%,0.63%,5.19%,0.13,0.03,76.5156/74.6264/75.57/106.045/119.2488/124.7126/74.15,70.26/58.425/62.2235/56.7855/No stop loss/No stop loss/No EMA 200 Stop Loss,73.05%/141/15 days (Across ALL Assets),72.12%/520/15 days (Across ALL Assets),72.29
"XLV, Long, 2026-03-23 (Price: 144.77)",No Exit Yet,"0.0%, 0 days","80.0%, Past 4 years, 15","Daily, is CONFIRMED on 2026-03-23",Already confirmed,"2026-03-23 (Price: 144.77), 0.0% below",0 days,4.39%/0.91%/2.27%,"4.68%, 8.33%",1.2 month/1 day/12 days,2026-05-14/2026-03-24/2026-04-09,6.73%,4.45%,2.28%,0.3,0.21,152.4428/148.0563/150.25/159.7267/224.2592/345.2017/145.34,143.98/121.1/103.3166/74.766/139.994/127.3369/No EMA 200 Stop Loss,73.05%/141/15 days (Across ALL Assets),72.12%/520/15 days (Across ALL Assets),146.56
"XLY, Long, 2026-03-23 (Price: 110.12)",No Exit Yet,"0.0%, 0 days","78.57%, Past 4 years, 14","Daily, is CONFIRMED on 2026-03-23",Already confirmed,"2026-03-23 (Price: 110.12), 0.0% below",0 days,8.7%/2.16%/4.03%,"15.04%, 17.25%",16 days/1 day/7 days,2026-04-15/2026-03-24/2026-04-02,5.15%,5.63%,-0.48%,0.11,0.29,116.4629/114.5578/115.51/122.0862/125.4815/149.5056/116.04,107.74/66.775/97.0194/64.5812/No stop loss/No stop loss/No EMA 200 Stop Loss,73.05%/141/15 days (Across ALL Assets),72.12%/520/15 days (Across ALL Assets),109.78
"DIA, Long, 2026-03-23 (Price: 461.97)",No Exit Yet,"0.0%, 0 days","86.67%, Past 4 years, 15","Daily, is CONFIRMED on 2026-03-23",Already confirmed,"2026-03-23 (Price: 461.97), 0.0% below",0 days,3.05%/1.16%/2.13%,"6.08%, 6.08%",1.1 month/1 day/10 days,2026-05-09/2026-03-24/2026-04-06,8.1%,6.92%,1.18%,0.39,0.46,493.7535/471.81/482.78/No Horizontal Resistance/538.1343/826.9871/466.03,455.89/321.6725/359.6128/249.2814/No stop loss/452.2096/No EMA 200 Stop Loss,73.05%/141/15 days (Across ALL Assets),72.12%/520/15 days (Across ALL Assets),463.3
"INDA, Long, 2026-03-23 (Price: 47.63)",No Exit Yet,"0.0%, 0 days","78.57%, Past 4 years, 14","Daily, is CONFIRMED on 2026-03-23",Already confirmed,"2026-03-23 (Price: 47.63), 0.0% below",0 days,3.64%/1.48%/2.43%,"5.35%, 6.14%",28 days/2 days/9 days,2026-05-02/2026-03-25/2026-04-05,5.73%,3.54%,2.19%,0.28,0.12,49.9877/48.7874/49.39/55.3975/60.4014/73.8934/53.24,46.59/39.0425/41.6131/No stop loss/No stop loss/No stop loss/No EMA 200 Stop Loss,73.05%/141/15 days (Across ALL Assets),72.12%/520/15 days (Across ALL Assets),47.52
"PG, Long, 2026-03-23 (Price: 143.99)",No Exit Yet,"0.0%, 0 days","85.71%, Past 4 years, 14","Daily, is CONFIRMED on 2026-03-23",Already confirmed,"2026-03-23 (Price: 143.99), 0.0% below",0 days,3.6%/1.33%/2.39%,"8.75%, 11.0%",1.8 month/1 day/13 days,2026-06-09/2026-03-24/2026-04-10,6.11%,2.91%,3.2%,0.22,0.08,153.6949/147.4314/150.56/179.4533/202.162/210.6287/152.75,138.04/130.72/124.1296/103.7096/No stop loss/No stop loss/No EMA 200 Stop Loss,73.05%/141/15 days (Across ALL Assets),72.12%/520/15 days (Across ALL Assets),146.15
"PPH, Long, 2026-03-23 (Price: 100.93)",No Exit Yet,"0.0%, 0 days","81.25%, Past 4 years, 16","Daily, is CONFIRMED on 2026-03-23",Already confirmed,"2026-03-23 (Price: 100.93), 0.0% below",0 days,3.67%/1.34%/1.96%,"7.38%, 7.38%",1.5 month/2 days/9 days,2026-05-27/2026-03-25/2026-04-05,5.97%,6.19%,-0.22%,0.2,0.39,106.0875/102.9082/104.5/No Horizontal Resistance/120.2747/126.127/No EMA 200 Target,100.73/71.642/100.0174/96.0365/97.0096/87.4655/96.14,73.05%/141/15 days (Across ALL Assets),72.12%/520/15 days (Across ALL Assets),101.15
