Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"USO, Long, 2026-03-08 (Price: 108.77)",No Exit Yet,"-4.08%, 1 day","75.0%, Past 10 years, 16","Weekly, is CONFIRMED on 2026-03-06",Already confirmed,"2026-03-09 (Price: 104.33), 4.08% below",1 day,87.62,No Information,No Information,No Information,No Information,No Information,27.31% above/15.67% above/4.08% below,10.72%/0.56%/3.8%,"70.35%, 78.81%",11 months/1.2 month/3.7 months,2027-06-28/2026-04-29/2026-08-15,-7.02%,-6.0%,-1.02%,-0.18,-0.19,106.8339/112.9033/127.04/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,68.03/59.2425/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/73.85,89.54%/153/4.7 months (Across ALL Assets),77.24%/268/3.6 months (Across ALL Assets)
TRENDPULSE,"MEL.NZ, Long, 2026-03-08 (Price: 5.63)",No Exit Yet,"0.0%, 1 day","100.0%, Past 10 years, 16","Weekly, is CONFIRMED on 2026-03-06",Already confirmed,"2026-03-09 (Price: 5.63), 0.0% below",1 day,5.6,No Information,No Information,No Information,No Information,No Information,0.0% below/0.0% below/0.0% below,24.31%/1.96%/9.79%,"-0.0%, 22.1%",8.9 months/1.2 month/3.1 months,2027-03-29/2026-04-29/2026-07-20,11.4%,7.53%,3.87%,1.15,0.39,6.2071/6.1812/6.39/6.825/7.4565/8.4564/5.72,5.46/4.3875/4.8318/4.5145/No F-Track Level/No F-Track Level/No EMA 200 Support,89.54%/153/4.7 months (Across ALL Assets),77.24%/268/3.6 months (Across ALL Assets)
FRACTAL TRACK,"AMZN, Long, 2026-03-08 (Price: 213.21)",No Exit Yet,"0.13%, 1 day","93.75%, Past 20 years, 16","Weekly, was CONFIRMED on 2026-03-08",Already confirmed,"2026-03-09 (Price: 213.49), 0.13% above",1 day,204.55,No Information,No Information,No Information,"23.66% (Price: 200.6016), 6.42% above, Upmove Bounce Back","2018-12-30 (Price: 65.35), 2025-02-09 (Price: 242.52)",No Information,31.25%/0.75%/16.86%,"0.32%, 56.17%",2.8 years/28 days/7.4 months,2030-03-05/2026-04-17/2027-01-23,13.55%,17.13%,-3.58%,1.66,0.81,251.2893/249.1572/319.51/241.71/317.6152/339.3352/224.53,198.79/86.995/213.1321/193.0625/No F-Track Level/No F-Track Level/No EMA 200 Support,95.45%/66/1.4 year (Across ALL Assets),56.34%/142/7.5 months (Across ALL Assets)
FRACTAL TRACK,"SLV, Long, 2026-03-08 (Price: 75.94)",No Exit Yet,"3.06%, 1 day","100.0%, Past 19 years, 11","Weekly, was CONFIRMED on 2026-03-08",Already confirmed,"2026-03-09 (Price: 78.26), 3.06% above",1 day,81.17,No Information,No Information,No Information,"50% (Price: 64.4), 21.52% above, Upmove Bounce Back","2023-10-08 (Price: 18.97), 2026-02-01 (Price: 109.83)",No Information,27.39%/2.49%/14.94%,"0%, 72.45%",14.4 years/2.1 months/3.5 years,2046-09-27/2026-06-07/2031-03-07,2.66%,4.57%,-1.91%,1.86,0.24,93.5733/87.2854/130.46/No Horizontal Resistance/89.0774/103.171/No EMA 200 Target,27.08/18.99/73.9426/67.9787/No F-Track Level/No F-Track Level/49.55,95.45%/66/1.4 year (Across ALL Assets),56.34%/142/7.5 months (Across ALL Assets)
FRACTAL TRACK,"CEN.NZ, Long, 2026-03-08 (Price: 9.4)",No Exit Yet,"0.0%, 1 day","87.5%, Past 20 years, 16","Weekly, was CONFIRMED on 2026-03-08",Already confirmed,"2026-03-09 (Price: 9.4), 0.0% below",1 day,9.25,No Information,No Information,No Information,"38.2% (Price: 9.1207), 3.06% above, Upmove Bounce Back","2024-09-29 (Price: 7.86), 2025-11-30 (Price: 9.9)",No Information,21.39%/10.13%/17.13%,"4.94%, 48.33%",11.8 years/4 months/4.2 years,2043-01-10/2026-08-28/2032-03-06,0.12%,1.98%,-1.86%,1.07,0.04,9.5955/11.0102/10.62/9.85/11.2606/15.4512/No EMA 200 Target,9.25/6.86/8.6706/No support/No F-Track Level/No F-Track Level/9.24,95.45%/66/1.4 year (Across ALL Assets),56.34%/142/7.5 months (Across ALL Assets)
FRACTAL TRACK,"TWR.NZ, Long, 2026-03-08 (Price: 1.835)",No Exit Yet,"0.0%, 1 day","88.89%, Past 20 years, 9","Weekly, was CONFIRMED on 2026-03-08",Already confirmed,"2026-03-09 (Price: 1.835), 0.0% below",1 day,1.855,No Information,No Information,No Information,"23.66% (Price: 1.7809), 3.04% above, Upmove Bounce Back","2023-05-14 (Price: 0.6222), 2026-01-18 (Price: 2.14)",No Information,19.96%/16.4%/17.75%,"5.18%, 29.49%",3.7 years/2.6 months/2.3 years,2031-06-19/2026-06-28/2029-06-17,5.69%,-0.45%,6.14%,0.96,-0.01,2.0269/2.1607/2.75/No Horizontal Resistance/7.3695/7.9211/No EMA 200 Target,1.35/0.6472/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/1.78,95.45%/66/1.4 year (Across ALL Assets),56.34%/142/7.5 months (Across ALL Assets)
DELTADRIFT,"TCS.NS, Long, 2026-03-08 (Price: 2557.6001)",No Exit Yet,"-1.18%, 1 day","75.0%, Past 15 years, 4","Weekly, was CONFIRMED on 2026-03-08",Already confirmed,"2026-03-09 (Price: 2527.3999), 1.18% below",1 day,2592.0,No Information,No Information,No Information,No Information,No Information,No Information,14.06%/3.68%/8.22%,"14.47%, 16.73%",1.9 month/21 days/1.2 month,2026-05-29/2026-04-07/2026-04-29,4.8%,8.26%,-3.46%,0.2,0.45,2789.3187/2767.8348/2778.58/4543.575/5051.5642/5692.579/3130.94,No Recent Minima/No Horizontal Support/2286.8248/1821.1782/No F-Track Level/No F-Track Level/No EMA 200 Support,71.43%/14/2.7 months (Across ALL Assets),85.34%/116/2.2 months (Across ALL Assets)
DELTADRIFT,"WIPRO.NS, Long, 2026-03-08 (Price: 195.4)",No Exit Yet,"1.71%, 1 day","71.43%, Past 15 years, 7","Weekly, was CONFIRMED on 2026-03-08",Already confirmed,"2026-03-09 (Price: 198.75), 1.71% above",1 day,195.0,No Information,No Information,No Information,No Information,No Information,No Information,9.84%/6.43%/8.22%,"21.48%, 23.67%",3.3 months/7 days/1.5 month,2026-07-29/2026-03-18/2026-05-12,3.18%,5.02%,-1.84%,0.04,0.25,220.3917/211.4619/215.93/366.6625/412.2037/473.5829/247.62,189.65/187.6063/179.092/142.8471/No F-Track Level/No F-Track Level/No EMA 200 Support,71.43%/14/2.7 months (Across ALL Assets),85.34%/116/2.2 months (Across ALL Assets)
DELTADRIFT,"INFY, Long, 2026-03-08 (Price: 14.44)",No Exit Yet,"-0.14%, 1 day","87.5%, Past 15 years, 8","Weekly, was CONFIRMED on 2026-03-08",Already confirmed,"2026-03-09 (Price: 14.42), 0.14% below",1 day,14.09,No Information,No Information,No Information,No Information,No Information,No Information,16.57%/6.3%/10.74%,"21.95%, 25.26%",8.9 months/1.4 month/3.3 months,2027-03-29/2026-05-07/2026-07-29,6.63%,3.65%,2.98%,0.56,0.18,17.0811/15.9909/16.54/23.796/31.8515/41.1179/17.23,No Recent Minima/No Horizontal Support/13.0115/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,71.43%/14/2.7 months (Across ALL Assets),85.34%/116/2.2 months (Across ALL Assets)
BASELINEDIVERGENCE,"DOL.TO, Long, 2026-03-08 (Price: 193.63)",No Exit Yet,"1.97%, 1 day","84.81%, Past 10 years, 79","Weekly, was CONFIRMED on 2026-03-08",Already confirmed,"2026-03-09 (Price: 197.44), 1.97% above",1 day,200.0,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,28.13%/0.04%/7.95%,"9.81%, 20.94%",5.4 months/2.1 months/3 months,2026-10-28/2026-06-07/2026-07-16,31.56%,15.32%,16.24%,0.92,0.93,214.3871/209.0236/294.0831/197.56/294.0831/455.769/No EMA 200 Target,183.5/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/190.53,64.0%/25/3.6 months (Across ALL Assets),66.32%/573/3.2 months (Across ALL Assets)
