Symbol,Interval,Latest Horizontal,Today price,Difference (%),Type
NZDUSD=X,Daily,0.6082,0.6042,0.66,Resistance
NZDUSD=X,Weekly,0.6182,0.6042,2.26,Resistance
NZDCAD=X,Weekly,0.8305,0.8216,1.07,Resistance
NZDCAD=X,Daily,0.8348,0.8216,1.58,Resistance
EURUSD=X,Daily,1.168,1.1876,1.68,Support
CAD=X,Weekly,1.3845,1.3575,1.95,Support
GBPUSD=X,Daily,1.3631,1.3624,0.05,Support
GBPUSD=X,Weekly,1.3445,1.3624,1.33,Resistance
GBPSGD=X,Weekly,1.7483,1.7218,1.52,Support
GBPSGD=X,Daily,1.7279,1.7218,0.35,Support
GNE.NZ,Daily,2.495,2.47,1.0,Resistance
^TNX,Daily,4.1085,4.056,1.28,Support
MEL.NZ,Daily,5.725,5.76,0.61,Resistance
MEL.NZ,Weekly,5.73,5.76,0.52,Resistance
MCY.NZ,Daily,6.2083,6.33,1.96,Support
C6L.SI,Daily,6.826,6.96,1.96,Resistance
AIA.NZ,Daily,8.365,8.42,0.66,Resistance
AIA.NZ,Weekly,8.295,8.42,1.51,Resistance
CNU.NZ,Daily,9.1117,9.13,0.2,Support
BYDDY,Weekly,12.0509,12.27,1.82,Support
FRW.NZ,Daily,14.785,14.52,1.79,Support
DBC,Daily,24.2867,23.88,1.67,Resistance
PFE,Daily,27.204,27.58,1.38,Resistance
RINF,Daily,32.3213,32.145,0.55,Support
KWEB,Daily,32.2483,32.79,1.68,Support
ASHR,Daily,34.08,33.68,1.17,Resistance
FXI,Daily,37.97,38.33,0.95,Support
FXI,Weekly,37.755,38.33,1.52,Support
MTY.TO,Daily,42.77,42.35,0.98,Support
ENZL,Daily,47.232,46.7721,0.97,Support
NVO,Daily,50.3825,49.57,1.61,Support
XLF,Daily,51.78,51.65,0.25,Support
IHI,Weekly,58.545,57.99,0.95,Support
IHI,Daily,57.5425,57.99,0.78,Support
BTI,Weekly,60.8175,59.5,2.17,Resistance
BTI,Daily,59.135,59.5,0.62,Support
BIPC.TO,Weekly,67.1133,67.45,0.5,Resistance
BIPC.TO,Daily,67.0533,67.45,0.59,Resistance
HYG,Daily,79.5127,80.85,1.68,Resistance
HYG,Weekly,78.975,80.85,2.37,Resistance
ATD.TO,Daily,85.51,83.86,1.93,Resistance
JNK,Weekly,96.515,97.48,1.0,Resistance
JNK,Daily,96.8482,97.48,0.65,Resistance
DIS,Daily,106.468,105.45,0.96,Resistance
IEI,Daily,119.2687,120.14,0.73,Resistance
IEI,Weekly,119.345,120.14,0.67,Resistance
CNR.TO,Daily,144.4475,146.42,1.37,Resistance
JPY=X,Daily,151.585,153.269,1.11,Resistance
XLV,Daily,159.7267,157.67,1.29,Resistance
PG,Daily,162.1267,160.07,1.27,Resistance
AMZN,Daily,196.09,198.79,1.38,Support
BYD.TO,Daily,227.4017,230.32,1.28,Resistance
MCD,Daily,321.444,327.58,1.91,Resistance
BPCL.NS,Daily,378.775,374.1,1.23,Resistance
MA,Daily,526.015,518.36,1.46,Support
HDFCBANK.NS,Daily,895.5,903.9,0.94,Support
RELIANCE.NS,Daily,1423.075,1419.6,0.24,Resistance
ETH-USD,Daily,2024.4983,2049.2454,1.22,Support
^NZ50,Weekly,13418.2035,13198.1797,1.64,Support
^NZ50,Daily,13075.415,13198.1797,0.94,Support
NIFTY_MIDCAP_100.NS,Daily,60128.6094,59438.0,1.15,Resistance
