Symbol,Today price,New Highest
SOXX,$368.0000,√ $368.8200
XLU,$47.3600,√ $47.4300
ACWX,$74.8400,√ $74.9200
TSM,$387.7300,√ $390.2050
ASML,$1526.5100,√ $1547.2198
WPM.TO,$215.2400,√ $218.9300
^BVSP,$191247.4531,√ $192623.5625
EEM,$63.3100,√ $63.4300
NA.TO,$189.2300,√ $190.0900
MSE.PA,$68.9800,√ $69.0000
EFA,$105.6600,√ $105.7953
,,
