Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Best/Worst/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max./Min./Avg.),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/Moving Avg) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/Moving Avg) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"FSF.NZ, Long, 2025-11-26 (Price: 7.7)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 26","Daily, is CONFIRMED on 2025-11-26",Already confirmed,"2025-11-26 (Price: 7.7), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 7.5388), 2.14% above, Upmove Bounce Back","2025-01-15 (Price: 4.76), 2025-10-14 (Price: 8.4)",No Information,77.7%/0.21%/30.68%,"-0.0%, 31.25%",2.5 years/4 days/9 months,2029-06-27/2025-12-01/2026-12-22,12.36%,12.69%,-0.32%,0.72,0.48,7.9988/10.0624/9.88/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No Moving Avg Target,No Recent Minima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No Moving Avg Support,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
OSCILLATOR DELTA,"NZDUSD=X, Long, 2025-11-26 (Price: 0.5688)",No Exit Yet,"0.0%, 0 days","72.41%, Past 6 years, 29","Daily, is Confirmed on 2025-11-26",No Cancellation Possible,"2025-11-26 (Price: 0.5688), 0.0% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,6.42%/5.06%/5.47%,"10.82%, 15.4%",4.2 months/4 days/2.1 months,2026-05-26/2025-12-01/2026-02-26,-7.27%,-1.8%,-5.46%,-0.28,-0.54,0.5764/0.5999/0.63/0.7292/No Next Fib Ext/No Next Fib Ext/0.59,No Recent Minima/0.5509/No F-Stack Support/No F-Stack Support/0.6587/0.6715/No Moving Avg Support,68.21%/151/1.5 month (Across ALL Assets),63.74%/353/1.4 month (Across ALL Assets)
FRACTAL TRACK,"AMZN, Long, 2025-11-25 (Price: 229.67)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 22","Daily, is CONFIRMED on 2025-11-25",Already confirmed,"2025-11-25 (Price: 229.67), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 216.6816), 5.99% above, Upmove Bounce Back","2023-01-06 (Price: 81.43), 2025-11-03 (Price: 258.6)",No Information,29.44%/10.5%/19.08%,"-0.0%, 56.15%",2.5 years/29 days/11.8 months,2029-07-16/2026-01-06/2027-04-23,8.66%,8.36%,0.29%,0.63,0.31,238.4204/273.491/335.97/239.3/317.6152/339.3352/No Moving Avg Target,217.14/86.995/213.1321/193.0625/No F-Track Level/No F-Track Level/214.67,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
FRACTAL TRACK,"UBER, Long, 2025-11-25 (Price: 83.69)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 47","Daily, is CONFIRMED on 2025-11-25",Already confirmed,"2025-11-25 (Price: 83.69), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 81.5091), 2.68% above, Upmove Bounce Back","2023-04-27 (Price: 29.22), 2025-07-09 (Price: 97.715)",No Information,103.69%/0.66%/22.72%,"-0.0%, 56.64%",2.7 years/21 days/5.3 months,2029-09-19/2025-12-25/2026-07-11,16.11%,18.26%,-2.15%,0.44,0.6,84.1754/102.7044/124.79/No Horizontal Resistance/99.1711/103.8185/86.94,83.36/34.6025/75.9736/63.3753/No F-Track Level/No F-Track Level/No Moving Avg Support,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
FRACTAL TRACK,"QQQ, Long, 2025-11-25 (Price: 608.89)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 31","Daily, is CONFIRMED on 2025-11-25",Already confirmed,"2025-11-25 (Price: 608.89), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 581.4989), 4.71% above, Upmove Bounce Back","2025-04-07 (Price: 402.39), 2025-10-29 (Price: 637.01)",No Information,49.98%/1.83%/18.58%,"-0.0%, 24.88%",1.3 year/11 days/5.7 months,2027-09-09/2025-12-10/2026-08-01,17.52%,16.62%,0.89%,0.43,0.69,618.206/722.0218/749.66/No Horizontal Resistance/836.2536/910.0135/No Moving Avg Target,585.67/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/544.31,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
FRACTAL TRACK,"FXI, Long, 2025-11-25 (Price: 39.6)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 22","Daily, is CONFIRMED on 2025-11-25",Already confirmed,"2025-11-25 (Price: 39.6), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 37.8808), 4.54% above, Upmove Bounce Back","2024-08-05 (Price: 24.59), 2025-10-02 (Price: 42.0)",No Information,20.99%/3.97%/12.16%,"-0.0%, 45.3%",2.6 years/27 days/1.1 year,2029-09-05/2026-01-03/2027-06-28,5.97%,-3.23%,9.2%,0.55,-0.09,39.3941/44.4154/50.05/42.665/83.3684/90.0109/No Moving Avg Target,38.58/20.865/34.3506/28.5649/No F-Track Level/No F-Track Level/37.39,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
FRACTAL TRACK,"ASHR, Long, 2025-11-25 (Price: 32.25)",No Exit Yet,"0.0%, 0 days","91.3%, Past 5 years, 23","Daily, is CONFIRMED on 2025-11-25",Already confirmed,"2025-11-25 (Price: 32.25), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 31.4536), 2.53% above, Upmove Bounce Back","2025-04-07 (Price: 23.27), 2025-10-29 (Price: 33.99)",No Information,17.11%/2.73%/9.92%,"10.44%, 32.83%",3.2 months/1.2 month/2.2 months,2026-04-11/2026-01-17/2026-02-28,1.15%,-2.53%,3.68%,0.04,-0.17,32.3081/35.4492/38.68/39.9467/60.2967/80.3432/No Moving Avg Target,31.79/23.68/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/28.95,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
FRACTAL TRACK,"KWEB, Long, 2025-11-25 (Price: 37.74)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 23","Daily, is CONFIRMED on 2025-11-25",Already confirmed,"2025-11-25 (Price: 37.74), 0.0% below",0 days,No Information,No Information,No Information,"50% (Price: 35.595), 6.03% above, Upmove Bounce Back","2025-04-08 (Price: 27.825), 2025-10-02 (Price: 43.365)",No Information,40.19%/7.17%/20.95%,"-0.0%, 42.67%",1.2 year/4 months/7.9 months,2027-08-18/2026-05-17/2026-11-04,15.59%,-12.03%,27.62%,0.48,-0.12,37.4343/45.6465/47.06/54.865/112.1402/127.8094/No Moving Avg Target,36.23/24.5062/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/36.27,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
FRACTAL TRACK,"SOXX, Long, 2025-11-25 (Price: 283.58)",No Exit Yet,"0.0%, 0 days","95.12%, Past 5 years, 41","Daily, is CONFIRMED on 2025-11-25",Already confirmed,"2025-11-25 (Price: 283.58), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 265.2949), 6.89% above, Upmove Bounce Back","2022-12-28 (Price: 112.05), 2025-10-29 (Price: 312.79)",No Information,150.93%/1.52%/33.7%,"4.47%, 44.19%",2.0 years/12 days/7.9 months,2028-10-23/2025-12-12/2026-11-04,12.53%,22.72%,-10.19%,0.46,0.76,291.6053/379.1465/404.02/No Horizontal Resistance/348.2242/411.0319/No Moving Avg Target,268.1/110.475/254.997/226.8328/No F-Track Level/No F-Track Level/235.15,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
FRACTAL TRACK,"^GSPC, Long, 2025-11-25 (Price: 6765.8799)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 30","Daily, is CONFIRMED on 2025-11-25",Already confirmed,"2025-11-25 (Price: 6765.8799), 0.0% below",0 days,No Information,No Information,No Information,"23.66% (Price: 6426.9579), 5.27% above, Upmove Bounce Back","2025-04-07 (Price: 4835.04), 2025-10-29 (Price: 6920.3398)",No Information,60.63%/1.24%/22.15%,"-0.0%, 18.9%",1.9 year/1.2 month/7.4 months,2028-08-10/2026-01-17/2026-10-12,15.73%,14.39%,1.34%,0.4,0.71,6828.8026/8264.5223/8017.06/No Horizontal Resistance/9765.5661/10911.139/No Moving Avg Target,6538.76/4128.7074/6316.2337/5433.2046/No F-Track Level/No F-Track Level/6169.64,94.1%/288/7.3 months (Across ALL Assets),51.67%/60/3.6 months (Across ALL Assets)
