Symbol,Interval,Latest Horizontal,Current Price,Difference (%),Type
NZDCAD=X,Weekly,0.791,0.7929,0.24,Support
NZDCAD=X,Daily,0.7945,0.7929,0.2,Resistance
USDCHF=X,Daily,0.7933,0.7972,0.5,Support
EURUSD=X,Daily,1.1686,1.1596,0.77,Resistance
EURUSD=X,Weekly,1.1452,1.1596,1.26,Support
GBPUSD=X,Daily,1.2963,1.3131,1.29,Support
GBPUSD=X,Weekly,1.3359,1.3131,1.7,Resistance
CAD=X,Weekly,1.3845,1.4005,1.15,Support
CAD=X,Daily,1.3828,1.4005,1.28,Support
GBPSGD=X,Monthly,1.6701,1.7082,2.28,Support
GBPSGD=X,Weekly,1.7483,1.7082,2.3,Resistance
GBPSGD=X,Daily,1.6846,1.7082,1.4,Support
GNE.NZ,Daily,2.495,2.51,0.6,Support
FBU.NZ,Daily,3.49,3.55,1.72,Support
^TNX,Daily,4.1085,4.065,1.06,Resistance
MEL.NZ,Daily,6.0367,5.94,1.6,Resistance
C6L.SI,Monthly,6.5913,6.68,1.35,Support
C6L.SI,Weekly,6.6638,6.68,0.24,Support
AIA.NZ,Daily,7.965,8.0,0.44,Support
CNU.NZ,Weekly,9.3875,9.48,0.99,Support
CEN.NZ,Daily,9.4367,9.6,1.73,Support
SUM.NZ,Daily,12.23,12.22,0.08,Resistance
NU,Daily,16.285,16.18,0.64,Resistance
DBC,Daily,23.074,23.04,0.15,Resistance
PFE,Daily,25.8825,25.87,0.05,Resistance
PFE,Weekly,26.4516,25.87,2.2,Resistance
RINF,Daily,32.38,32.425,0.14,Support
FPH.NZ,Daily,37.54,38.29,2.0,Support
KWEB,Daily,38.78,39.32,1.39,Support
KWEB,Weekly,38.6033,39.32,1.86,Support
CNQ.TO,Daily,46.105,45.42,1.49,Resistance
RHHBY,Daily,45.17,45.43,0.58,Support
NVO,Daily,50.3825,50.26,0.24,Resistance
INDA,Daily,55.3633,54.56,1.45,Resistance
IHI,Daily,62.445,63.18,1.18,Support
BIPC.TO,Daily,63.1517,63.71,0.88,Support
PYPL,Daily,66.986,67.2,0.32,Support
HYG,Daily,80.0929,80.53,0.55,Support
HYG,Weekly,78.975,80.53,1.97,Support
SJ.TO,Daily,84.3925,85.27,1.04,Support
JNK,Daily,96.9656,97.03,0.07,Support
JNK,Weekly,96.515,97.03,0.53,Support
WMT,Daily,105.01,103.44,1.5,Resistance
DIS,Weekly,118.748,116.65,1.77,Resistance
DIS,Daily,118.4667,116.65,1.53,Resistance
IEI,Daily,118.72,119.7,0.83,Support
IEI,Weekly,119.345,119.7,0.3,Support
BYD.TO,Daily,227.4017,225.0,1.06,Resistance
XLY,Daily,241.84,237.94,1.61,Resistance
IWM,Weekly,244.72,243.64,0.44,Resistance
MCD,Weekly,300.87,306.94,2.02,Support
HDFCBANK.NS,Daily,1004.15,989.5,1.46,Resistance
RELIANCE.NS,Daily,1531.725,1511.5,1.32,Resistance
TCS.NS,Daily,3129.79,3131.8,0.06,Support
^NZ50,Weekly,13418.2035,13570.0898,1.13,Support
^NSEI,Daily,25973.3496,25875.8008,0.38,Resistance
NIFTY_MIDCAP_100.NS,Daily,60182.9323,60902.3008,1.2,Support
