Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"NFLX, Long, 2026-03-13 (Price: 95.31)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 13","Weekly, is CONFIRMED on 2026-03-13",Already confirmed,"2026-03-13 (Price: 95.31), 0.0% below",0 days,97.69,No Information,No Information,No Information,"50% (Price: 75.193), 26.75% above, Upmove Bounce Back","2022-05-15 (Price: 16.271), 2025-07-06 (Price: 134.115)",No Information,29.59%/15.11%/21.93%,"0%, 70.87%",2.7 years/21 days/8.2 months,2030-01-18/2026-04-12/2027-03-02,15.04%,21.83%,-6.79%,4.76,0.9,121.9873/116.2115/166.02/No Horizontal Resistance/138.686/152.7047/109.09,76.87/34.8663/77.3488/70.5306/89.0986/75.193/No EMA 200 Support,95.45%/66/1.4 year (Across ALL Assets),54.36%/149/7.4 months (Across ALL Assets)
FRACTAL TRACK,"CVS, Long, 2026-03-13 (Price: 76.13)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 17","Daily, is CONFIRMED on 2026-03-13",Already confirmed,"2026-03-13 (Price: 76.13), 0.0% below",0 days,76.84,No Information,No Information,No Information,"78.6% (Price: 76.25), 0.16% below, Upmove Bounce Back","2025-12-04 (Price: 74.14), 2026-01-26 (Price: 84.0)",No Information,14.84%/8.19%/10.89%,"-0.0%, 45.11%",1.8 year/12 days/3.7 months,2028-10-06/2026-03-30/2026-08-20,24.58%,1.55%,23.03%,1.35,0.07,77.211/84.4206/82.05/106.045/119.2488/124.7126/No EMA 200 Target,75.72/58.425/74.001/62.2235/75.8603/No support/73.86,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets)
FRACTAL TRACK,"AIA.NZ, Long, 2026-03-13 (Price: 8.41)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 6","Daily, is CONFIRMED on 2026-03-13",Already confirmed,"2026-03-13 (Price: 8.41), 0.0% below",0 days,8.33,No Information,No Information,No Information,"38.2% (Price: 8.4867), 0.9% below, Upmove Bounce Back","2025-07-16 (Price: 7.365), 2026-02-27 (Price: 9.18)",No Information,12.06%/1.24%/7.08%,"-0.0%, 14.0%",1.3 year/2.6 months/8.4 months,2028-01-19/2026-07-03/2027-03-13,14.01%,-0.21%,14.22%,1.2,-0.11,8.648/9.0054/9.5/8.8962/10.792/12.737/No EMA 200 Target,8.34/7.0017/8.0885/7.295/No support/No support/8.01,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets)
BASELINEDIVERGENCE,"GLXY, Long, 2026-03-13 (Price: 22.35)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 4","Weekly, is CONFIRMED on 2026-03-13",Already confirmed,"2026-03-13 (Price: 22.35), 0.0% below",0 days,20.48,No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,67.52%/16.33%/40.96%,"-0.0%, 23.21%",4.9 months/2.1 months/3.6 months,2026-10-11/2026-06-12/2026-08-16,545.34%,20.06%,525.28%,1.09,0.93,30.7894/31.5046/No Target/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/26.8,19.76/22.14/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,60.0%/25/3.6 months (Across ALL Assets),66.08%/566/3.3 months (Across ALL Assets)
TRENDPULSE,"^TNX, Long, 2026-03-13 (Price: 4.285)",No Exit Yet,"0.0%, 0 days","94.12%, Past 10 years, 17","Weekly, is CONFIRMED on 2026-03-13",Already confirmed,"2026-03-13 (Price: 4.285), 0.0% below",0 days,4.173,No Information,No Information,No Information,No Information,No Information,3.68% above/1.83% above/0.0% below,36.67%/4.7%/14.0%,"6.49%, 39.8%",11.7 months/28 days/3 months,2027-08-03/2026-04-22/2026-07-21,12.28%,0.73%,11.55%,1.0,0.14,4.7139/4.8849/4.6/4.6918/18.6/21.2307/No EMA 200 Target,3.96/1.6875/3.9466/3.3776/No support/No support/4.2,89.4%/151/4.7 months (Across ALL Assets),75.28%/267/3.6 months (Across ALL Assets)
FRACTAL TRACK,"MA, Long, 2026-03-13 (Price: 497.99)",No Exit Yet,"0.0%, 0 days","88.89%, Past 19 years, 18","Weekly, is CONFIRMED on 2026-03-13",Already confirmed,"2026-03-13 (Price: 497.99), 0.0% below",0 days,516.27,No Information,No Information,No Information,"23.66% (Price: 500.0604), 0.41% below, Upmove Bounce Back","2018-12-30 (Price: 171.89), 2025-08-24 (Price: 601.77)",No Information,20.8%/7.86%/16.28%,"10.74%, 25.66%",1.6 year/1.4 month/6.4 months,2028-06-24/2026-05-12/2026-12-16,14.25%,18.73%,-4.48%,1.65,0.96,540.7175/579.0628/755.92/592.095/716.5814/751.3605/558.92,489.77/305.0867/442.8637/361.9068/477.6582/439.32/No EMA 200 Support,95.45%/66/1.4 year (Across ALL Assets),54.36%/149/7.4 months (Across ALL Assets)
BASELINEDIVERGENCE,"NVDA, Long, 2026-03-13 (Price: 180.25)",No Exit Yet,"0.0%, 0 days","83.7%, Past 10 years, 92","Weekly, is CONFIRMED on 2026-03-13",Already confirmed,"2026-03-13 (Price: 180.25), 0.0% below",0 days,176.83,No Information,"^NDX, Normal Case",No Information,No Information,No Information,No Information,175.83%/0.32%/40.35%,"35.55%, 47.56%",8.9 months/2.1 months/4 months,2027-04-03/2026-06-12/2026-09-02,75.78%,46.22%,29.56%,0.69,1.86,226.4481/252.9809/No Target/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,177.19/13.9695/129.8234/89.3715/No support/164.2223/177.4,60.0%/25/3.6 months (Across ALL Assets),66.08%/566/3.3 months (Across ALL Assets)
TRENDPULSE,"USO, Long, 2026-03-13 (Price: 119.89)",No Exit Yet,"0.0%, 0 days","75.0%, Past 10 years, 16","Weekly, is CONFIRMED on 2026-03-13",Already confirmed,"2026-03-13 (Price: 119.89), 0.0% below",0 days,119.42,No Information,No Information,No Information,No Information,No Information,10.22% above/0.0% below/0.0% below,10.72%/0.56%/3.8%,"70.35%, 78.81%",11 months/1.2 month/3.7 months,2027-07-03/2026-05-04/2026-08-20,-7.02%,-6.0%,-1.02%,-0.18,-0.19,117.756/124.4458/141.85/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,68.03/58.7667/103.0748/88.3098/105.7643/103.3733/74.94,89.4%/151/4.7 months (Across ALL Assets),75.28%/267/3.6 months (Across ALL Assets)
FRACTAL TRACK,"SFTBY, Short, 2026-03-13 (Price: 11.05)",No Exit Yet,"-0.0%, 0 days","100.0%, Past 13 years, 4","Quarterly, is CONFIRMED on 2026-03-13",No Cancellation Possible,"2026-03-13 (Price: 11.05), 0.0% below",0 days,14.2475,No Information,No Information,No Information,"50.0% (Price: 12.16), 9.13% below, Upmove Break Below","2012-12-31 (Price: 1.82), 2025-12-31 (Price: 22.5)",No Information,18.34%/16.72%/17.41%,"0.0%, 18.34%",3.1 months/3.1 months/3.1 months,2026-07-25 (Max),12.53%,5.4%,7.13%,1.47,0.38,9.9284/9.1262/-1.36/4.205/10.9987/9.1801/No EMA 200 Target,No support/4.205/10.9987/9.1801/No support/8.1123/No support,100.0%/1/2.4 months (Across ALL Assets),33.33%/9/2.7 months (Across ALL Assets)
DELTADRIFT,"DBC, Short, 2026-03-13 (Price: 28.71)",No Exit Yet,"-0.0%, 0 days","100.0%, Past 4 years, 6","Daily, is CONFIRMED on 2026-03-13",Already confirmed,"2026-03-13 (Price: 28.71), 0.0% below",0 days,28.52,No Information,No Information,No Information,No Information,No Information,No Information,3.7%/0.55%/1.7%,"0%, 3.7%",9 days/1 day/4 days,2026-03-26/2026-03-14/2026-03-18,6.02%,3.82%,2.2%,1.24,0.37,27.151/28.2219/27.69/19.55/No F-Stack Support/No F-Stack Support/22.94,No support/19.55/No F-Stack Support/No F-Stack Support/25.8752/25.5552/No EMA 200 Support,86.67%/30/4 days (Across ALL Assets),68.93%/103/6 days (Across ALL Assets)
FRACTAL TRACK,"CSCO, Short, 2026-03-13 (Price: 78.33)",No Exit Yet,"-0.0%, 0 days","86.67%, Past 36 years, 15","Monthly, was CONFIRMED on 2026-03-09",No Cancellation Possible,"2026-03-13 (Price: 78.33), 0.0% below",0 days,78.745,No Information,No Information,No Information,"23.66% (Price: 77.8529), 0.61% above, Upmove Break Below","2024-08-31 (Price: 44.5), 2026-02-28 (Price: 88.19)",No Information,17.87%/3.2%/8.23%,"20.18%, 17.87%",3.1 months/1 month/1.8 month,2026-07-25/2026-04-25/2026-05-30,7.38%,5.5%,1.88%,0.56,0.68,79.7869/71.8834/52.12/40.92/73.1467/64.9561/72.24,No support/40.92/73.1467/64.9561/74.9901/66.8782/No EMA 200 Support,75.0%/8/1.4 month (Across ALL Assets),37.5%/16/1.4 month (Across ALL Assets)
