Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"^TNX, Long, 2026-02-19 (Price: 4.075)",2026-04-01 (Price: 4.319),"5.99%, 1.4 month","100.0%, Past 5 years, 13","Daily, was CONFIRMED on 2026-02-19",Already confirmed,"2026-04-01 (Price: 4.319), 5.99% above",1.4 month,4.104,No Information,No Information,No Information,"61.8% (Price: 4.086), 5.7% above, Upmove Bounce Back","2025-10-22 (Price: 3.947), 2026-01-20 (Price: 4.311)",No Information,12.7%/10.13%/11.1%,"-0.0%, 19.3%",9 months/15 days/2.8 months,2027-03-17/2026-03-12/2026-06-20,25.3%,14.08%,11.22%,0.0,0.7,4.335/4.5273/4.29/4.6918/17.4008/18.8284/4.19,4.05/1.6875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,91.75%/303/4.9 months (Across ALL Assets),60.59%/170/4.2 months (Across ALL Assets)
DELTADRIFT,"PERSISTENT.NS, Long, 2026-02-26 (Price: 4781.5)",2026-04-01 (Price: 5049.1001),"5.6%, 1.1 month","80.0%, Past 4 years, 10","Daily, was CONFIRMED on 2026-02-26",Already confirmed,"2026-04-01 (Price: 5049.1001), 5.6% above",1.1 month,4765.0,No Information,No Information,No Information,No Information,No Information,No Information,7.4%/3.1%/4.87%,"13.29%, 13.29%",24 days/5 days/14 days,2026-04-01/2026-03-05/2026-03-18,5.16%,25.21%,-20.05%,0.0,1.24,4939.2895/5014.3591/4976.82/6693.95/9957.5854/15965.083/5661.22,4662.0/1548.5125/3950.0879/2531.9096/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/168/13 days (Across ALL Assets),74.24%/621/15 days (Across ALL Assets)
TRENDPULSE,"AMZN, Long, 2020-12-31 (Price: 162.8465)",2026-04-01 (Price: 210.57),"29.31%, 5.3 years","100.0%, Past 28 years, 5","Quarterly, is CONFIRMED on 2020-12-31",Already confirmed,"2026-04-01 (Price: 210.57), 29.31% above",5.3 years,160.4,No Information,No Information,No Information,No Information,No Information,33.75% above/28.24% above/29.31% above,98.54%/43.24%/71.23%,"-0.0%, 44.95%",2.8 years/1.5 year/2.3 years,2024-12-28/2023-02-21/2024-04-11,13.39%,21.15%,-7.76%,0.0,0.72,200.4152/278.8421/257.16/No Horizontal Resistance/193.0625/213.1321/No EMA 200 Target,1.61/83.3704/132.2674/119.5138/No F-Track Level/No F-Track Level/143.87,100.0%/17/2.6 years (Across ALL Assets),0.0%/3/4.1 months (Across ALL Assets)
TRENDPULSE,"TSLA, Long, 2024-12-31 (Price: 403.84)",2026-04-01 (Price: 381.26),"-5.59%, 1.3 year","83.33%, Past 20 years, 6","Monthly, is CONFIRMED on 2024-12-31",Already confirmed,"2026-04-01 (Price: 381.26), 5.59% below",1.3 year,352.38,No Information,No Information,No Information,No Information,No Information,10.46% above/6.52% above/5.59% below,24.23%/7.79%/18.75%,"2.38%, 35.95%",1.9 year/8.2 months/1.1 year,2027-09-17/2025-12-20/2026-07-27,26.58%,27.35%,-0.77%,0.0,1.0,1013.1942/479.56/410.23/408.5817/541.282/564.9603/No EMA 200 Target,175.79/167.4534/353.8797/223.4247/No F-Track Level/No F-Track Level/238.84,93.41%/91/10.8 months (Across ALL Assets),65.48%/197/9.4 months (Across ALL Assets)
TRENDPULSE,"TSLA, Long, 2024-12-31 (Price: 403.84)",2026-04-01 (Price: 381.26),"-5.59%, 1.3 year","100.0%, Past 15 years, 4","Quarterly, is CONFIRMED on 2024-12-31",Already confirmed,"2026-04-01 (Price: 381.26), 5.59% below",1.3 year,262.67,No Information,No Information,No Information,No Information,No Information,5.59% below/32.14% above/5.59% below,548.64%/548.64%/548.64%,"-0.0%, 38.2%",1.3 year/1.3 year/1.3 year,2026-11-08 (Max),48.16%,27.35%,20.81%,0.0,0.87,1350.8448/2619.4678/410.23/408.5817/541.282/564.9603/No EMA 200 Target,123.18/167.4534/353.8797/223.4247/No F-Track Level/No F-Track Level/238.84,100.0%/17/2.6 years (Across ALL Assets),0.0%/3/4.1 months (Across ALL Assets)
TRENDPULSE,"SLV, Long, 2024-06-30 (Price: 26.57)",2026-04-01 (Price: 68.14),"156.45%, 1.8 year","100.0%, Past 19 years, 4","Quarterly, is CONFIRMED on 2024-06-30",Already confirmed,"2026-04-01 (Price: 68.14), 156.45% above",1.8 year,23.19,No Information,No Information,No Information,No Information,No Information,199.52% above/157.81% above/156.45% above,72.45%/72.45%/72.45%,"-0.0%, 28.77%",4.8 years/4.8 years/4.8 years,2031-05-07 (Max),9.33%,6.61%,2.72%,0.0,0.32,34.9289/45.82/27.42/27.685/47.5817/54.635/No EMA 200 Target,17.5/17.21/25.9024/No stop loss/No F-Track Level/No F-Track Level/22.87,100.0%/17/2.6 years (Across ALL Assets),0.0%/3/4.1 months (Across ALL Assets)
FRACTAL TRACK,"SLV, Long, 2026-03-08 (Price: 75.94)",2026-04-01 (Price: 68.14),"-10.27%, 24 days","100.0%, Past 19 years, 10","Weekly, was CONFIRMED on 2026-03-08",Already confirmed,"2026-04-01 (Price: 68.14), 10.27% below",24 days,81.17,No Information,No Information,No Information,"50% (Price: 64.4), 5.81% above, Upmove Bounce Back","2023-10-08 (Price: 18.97), 2026-02-01 (Price: 109.83)",No Information,27.39%/2.49%/15.01%,"0%, 72.45%",14.4 years/2.1 months/3.8 years,2046-09-27/2026-06-07/2031-08-10,3.37%,5.75%,-2.38%,0.0,0.3,98.9726/87.3386/130.46/No Horizontal Resistance/89.0774/103.171/No EMA 200 Target,27.08/18.99/73.9426/67.9787/No F-Track Level/No F-Track Level/52.68,88.33%/60/1.6 year (Across ALL Assets),52.69%/167/8 months (Across ALL Assets)
TRENDPULSE,"TSM, Long, 2025-10-31 (Price: 300.43)",2026-04-01 (Price: 341.49),"13.67%, 5.1 months","100.0%, Past 20 years, 21","Monthly, is CONFIRMED on 2025-10-31",Already confirmed,"2026-04-01 (Price: 341.49), 13.67% above",5.1 months,278.44,No Information,No Information,No Information,No Information,No Information,13.67% above/12.74% above/13.67% above,62.44%/6.14%/35.38%,"-0.0%, 49.81%",1.4 year/5 months/9.3 months,2027-10-29/2026-06-05/2026-12-09,9.27%,9.87%,-0.6%,0.0,0.49,400.5934/406.7221/473.42/No Horizontal Resistance/334.306/349.9895/No EMA 200 Target,166.0/83.575/274.027/233.1074/No F-Track Level/No F-Track Level/218.77,93.41%/91/10.8 months (Across ALL Assets),65.48%/197/9.4 months (Across ALL Assets)
TRENDPULSE,"TSM, Long, 2024-06-30 (Price: 173.81)",2026-04-01 (Price: 341.49),"96.47%, 1.8 year","71.43%, Past 28 years, 7","Quarterly, is CONFIRMED on 2024-06-30",Already confirmed,"2026-04-01 (Price: 341.49), 96.47% above",1.8 year,137.29,No Information,No Information,No Information,No Information,No Information,151.0% above/141.23% above/96.47% above,36.83%/26.32%/33.33%,"14.69%, 43.01%",2.3 years/1.3 year/1.9 year,2027-10-10/2026-05-08/2027-03-17,5.52%,11.68%,-6.16%,0.0,0.54,263.0093/231.7409/192.78/No Horizontal Resistance/No Target/217.8566/No EMA 200 Target,68.56/60.035/135.8936/108.0515/No F-Track Level/No F-Track Level/121.39,100.0%/17/2.6 years (Across ALL Assets),0.0%/3/4.1 months (Across ALL Assets)
TRENDPULSE,"TSM, Long, 2024-03-31 (Price: 136.05)",2026-04-01 (Price: 341.49),"151.0%, 2 years","71.43%, Past 28 years, 7","Quarterly, is CONFIRMED on 2024-03-31",Already confirmed,"2026-04-01 (Price: 341.49), 151.0% above",2 years,102.25,No Information,No Information,No Information,No Information,No Information,151.0% above/151.0% above/151.0% above,36.83%/26.32%/33.33%,"14.69%, 43.01%",2.3 years/1.3 year/1.9 year,2027-07-11/2026-02-06/2026-12-16,5.52%,11.68%,-6.16%,0.0,0.54,205.8709/181.3955/139.74/143.6/No Target/169.1372/No EMA 200 Target,68.56/60.035/108.0515/85.2377/No F-Track Level/No F-Track Level/104.41,100.0%/17/2.6 years (Across ALL Assets),0.0%/3/4.1 months (Across ALL Assets)
