Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"GS, Long, 2026-03-27 (Price: 802.89)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 13","Weekly, is CONFIRMED on 2026-03-27",Already confirmed,"2026-03-27 (Price: 802.89), 0.0% below",0 days,833.0,No Information,No Information,No Information,"23.66% (Price: 782.6791), 2.58% above, Upmove Bounce Back","2020-03-22 (Price: 130.85), 2026-01-18 (Price: 984.7)",No Information,25.08%/15.16%/18.88%,"0%, 50.45%",5 years/1.4 month/1.5 year,2033-05-16/2026-05-26/2028-05-17,11.71%,6.74%,4.97%,5.31,0.34,869.3693/954.4756/1315.2/No Horizontal Resistance/973.4919/1057.8628/804.34,782.21/288.555/728.9736/668.8811/No stop loss/719.0801/No EMA 200 Stop Loss,91.23%/57/1.5 year (Across ALL Assets),54.19%/155/7.7 months (Across ALL Assets)
FRACTAL TRACK,"JETS, Long, 2026-03-27 (Price: 24.13)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 7","Weekly, is CONFIRMED on 2026-03-27",Already confirmed,"2026-03-27 (Price: 24.13), 0.0% below",0 days,25.2,No Information,No Information,No Information,"50% (Price: 24.22), 0.37% below, Upmove Bounce Back","2025-04-13 (Price: 17.11), 2026-02-15 (Price: 31.33)",No Information,23.0%/17.86%/19.3%,"-0.0%, 17.18%",8.6 months/1.9 month/4.4 months,2027-04-04/2026-06-17/2026-10-04,12.57%,0.36%,12.21%,1.13,0.06,25.3823/28.7871/32.66/27.1773/36.0778/41.7471/26.0,24.05/14.732/No F-Stack Support/No F-Stack Support/No stop loss/No stop loss/No EMA 200 Stop Loss,91.23%/57/1.5 year (Across ALL Assets),54.19%/155/7.7 months (Across ALL Assets)
FRACTAL TRACK,"JPM, Long, 2026-03-27 (Price: 282.84)",No Exit Yet,"0.0%, 0 days","93.75%, Past 20 years, 16","Weekly, is CONFIRMED on 2026-03-27",Already confirmed,"2026-03-27 (Price: 282.84), 0.0% below",0 days,294.31,No Information,No Information,No Information,"23.66% (Price: 281.4195), 0.5% above, Upmove Bounce Back","2022-10-16 (Price: 101.28), 2026-01-11 (Price: 337.25)",No Information,22.59%/15.01%/17.15%,"6.94%, 37.49%",2.2 years/7 days/9.9 months,2029-05-17/2026-04-06/2027-05-31,15.25%,7.42%,7.83%,2.32,0.37,315.6494/331.3471/424.42/No Horizontal Resistance/349.5825/373.4732/301.92,210.28/125.7575/272.4366/242.2068/281.4195/247.1095/No EMA 200 Stop Loss,91.23%/57/1.5 year (Across ALL Assets),54.19%/155/7.7 months (Across ALL Assets)
DELTADRIFT,"BAC, Long, 2026-03-27 (Price: 46.97)",No Exit Yet,"0.0%, 0 days","85.71%, Past 15 years, 7","Weekly, is CONFIRMED on 2026-03-27",Already confirmed,"2026-03-27 (Price: 46.97), 0.0% below",0 days,48.34,No Information,No Information,No Information,No Information,No Information,No Information,26.29%/9.78%/15.79%,"25.71%, 33.38%",6.8 months/14 days/2.1 months,2027-01-16/2026-04-16/2026-06-26,7.64%,6.31%,1.33%,0.64,0.32,52.9587/54.3866/53.67/48.7833/60.5768/64.246/50.76,46.72/29.49/44.5293/38.6463/45.1006/41.255/No EMA 200 Stop Loss,71.43%/14/2.5 months (Across ALL Assets),82.46%/114/2.1 months (Across ALL Assets)
DELTADRIFT,"JETS, Long, 2026-03-27 (Price: 24.13)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 6","Weekly, is CONFIRMED on 2026-03-27",Already confirmed,"2026-03-27 (Price: 24.13), 0.0% below",0 days,25.2,No Information,No Information,No Information,No Information,No Information,No Information,29.2%/7.1%/12.46%,"0%, 22.83%",2.3 months/7 days/26 days,2026-07-04/2026-04-06/2026-05-03,11.65%,0.99%,10.66%,1.51,0.09,26.3693/27.1366/26.75/27.1773/36.0778/41.7471/26.0,24.05/14.732/No F-Stack Support/No F-Stack Support/No stop loss/No stop loss/No EMA 200 Stop Loss,71.43%/14/2.5 months (Across ALL Assets),82.46%/114/2.1 months (Across ALL Assets)
DELTADRIFT,"GNE.NZ, Long, 2026-03-27 (Price: 2.16)",No Exit Yet,"0.0%, 0 days","80.0%, Past 11 years, 5","Weekly, is CONFIRMED on 2026-03-27",Already confirmed,"2026-03-27 (Price: 2.16), 0.0% below",0 days,2.2,No Information,No Information,No Information,No Information,No Information,No Information,14.79%/4.18%/7.53%,"12.34%, 12.5%",6.1 months/14 days/1.9 month,2026-12-17/2026-04-16/2026-06-17,5.64%,2.2%,3.44%,0.38,0.05,2.2693/2.3226/2.3/3.3125/4.6908/5.9676/2.38,2.14/2.0733/No F-Stack Support/No F-Stack Support/No stop loss/No stop loss/No EMA 200 Stop Loss,71.43%/14/2.5 months (Across ALL Assets),82.46%/114/2.1 months (Across ALL Assets)
DELTADRIFT,"DOL.TO, Long, 2026-03-27 (Price: 166.76)",No Exit Yet,"0.0%, 0 days","80.0%, Past 4 years, 5","Daily, is CONFIRMED on 2026-03-27",Already confirmed,"2026-03-27 (Price: 166.76), 0.0% below",0 days,168.42,No Information,No Information,No Information,No Information,No Information,No Information,3.46%/2.44%/3.14%,"4.54%, 4.54%",22 days/3 days/8 days,2026-04-27/2026-03-31/2026-04-07,6.16%,20.38%,-14.22%,0.47,1.39,184.003/171.9963/178.0/197.56/252.753/384.8349/191.19,163.59/53.2967/120.6711/89.4908/No stop loss/No stop loss/No EMA 200 Stop Loss,69.57%/138/15 days (Across ALL Assets),71.1%/526/15 days (Across ALL Assets)
DELTADRIFT,"EFN.TO, Long, 2026-03-27 (Price: 30.11)",No Exit Yet,"0.0%, 0 days","75.0%, Past 15 years, 4","Weekly, is CONFIRMED on 2026-03-27",Already confirmed,"2026-03-27 (Price: 30.11), 0.0% below",0 days,30.73,No Information,No Information,No Information,No Information,No Information,No Information,22.27%/10.41%/15.26%,"43.16%, 45.87%",2.6 months/7 days/1.1 month,2026-07-17/2026-04-06/2026-05-13,-4.17%,10.41%,-14.58%,0.02,0.52,34.9125/34.7048/34.81/34.925/48.884/73.5584/35.35,27.54/12.67/24.2096/18.3848/29.9672/24.8709/No EMA 200 Stop Loss,71.43%/14/2.5 months (Across ALL Assets),82.46%/114/2.1 months (Across ALL Assets)
TRENDPULSE,"^TNX, Long, 2026-03-27 (Price: 4.44)",No Exit Yet,"0.0%, 0 days","94.12%, Past 10 years, 17","Weekly, is CONFIRMED on 2026-03-27",Already confirmed,"2026-03-27 (Price: 4.44), 0.0% below",0 days,4.376,No Information,No Information,No Information,No Information,No Information,3.62% above/0.54% above/0.0% below,36.67%/4.7%/14.0%,"6.49%, 39.8%",11.7 months/28 days/3 months,2027-08-17/2026-05-06/2026-08-04,12.28%,0.73%,11.55%,1.0,0.14,4.8844/5.0616/4.66/4.6918/18.6/21.2307/No EMA 200 Target,3.96/1.6875/3.9466/3.3776/No stop loss/No stop loss/4.19,88.51%/148/5.1 months (Across ALL Assets),74.62%/264/3.7 months (Across ALL Assets)
TRENDPULSE,"IFT.NZ, Long, 2026-03-27 (Price: 11.71)",No Exit Yet,"0.0%, 0 days","96.15%, Past 4 years, 26","Daily, is CONFIRMED on 2026-03-27",Already confirmed,"2026-03-27 (Price: 11.71), 0.0% below",0 days,11.39,No Information,No Information,No Information,No Information,No Information,4.74% above/0.0% below/0.0% below,9.48%/0.89%/4.11%,"10.91%, 28.9%",3.3 months/6 days/1.1 month,2026-08-17/2026-04-04/2026-05-13,15.16%,8.14%,7.02%,0.86,0.43,12.2405/12.1913/12.36/12.825/13.8771/15.9169/No EMA 200 Target,10.65/7.3167/9.6206/9.1203/No stop loss/No stop loss/11.52,91.84%/282/1.3 month (Across ALL Assets),80.04%/516/1.5 month (Across ALL Assets)
