Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
DELTADRIFT,"SUM.NZ, Long, 2026-02-19 (Price: 10.51)",Daily,2026-03-19 (Price: 9.43),No Price Target,2026-03-18 (Avg),14.65%/14.93%,"-10.75%, 29 days","2026-03-20 (Price: 9.38), 10.75% below",10.9062 (Avg % Gain of Historic Winning trades)/10.78 (Function Specific Target)/12.55 (Horizontal)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/11.4 (EMA 200)/11.0849 (Backtested Max)/10.7538 (Backtested Min),2026-05-16 (Max),10.42/9.1367/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"71.43%, Past 4 years, 14",10.41,No Information,No Information,No Information,No Information,No Information,No Information,5.47%/2.32%/3.77%,"6.69%, 10.0%",2 months/1 day/19 days,5.72%,-0.28%,6.0%,0.18,-0.09,74.13%/143/15 days (Across ALL Assets),73.26%/516/15 days (Across ALL Assets)
TRENDPULSE,"SUM.NZ, Long, 2024-11-30 (Price: 12.83)",Monthly,2026-03-20 (Price: 9.38),No Price Target,No Date Target,48.82%/49.72%,"-26.89%, 1.3 year","2026-03-20 (Price: 9.38), 26.89% below",13.959 (Historic Rise or Fall to Pivot)/15.7103 (Avg % Gain of Historic Winning trades)/14.55 (Function Specific Target)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/17.8452 (Backtested Max)/14.0437 (Backtested Min),2027-08-17 (Max)/2026-05-05 (Avg),8.14/9.246/11.0645/No stop loss/No F-Track Level/No F-Track Level/11.15,"83.33%, Past 20 years, 12",12.4,No Information,No Information,No Information,No Information,No Information,21.51% below/25.26% below/26.89% below,39.09%/9.46%/22.45%,"38.71%, 46.41%",1.9 year/5 months/1 year,7.79%,10.92%,-3.13%,0.19,0.59,92.21%/77/10.8 months (Across ALL Assets),59.84%/127/9.6 months (Across ALL Assets)
TRENDPULSE,"SUM.NZ, Long, 2024-10-31 (Price: 12.39)",Monthly,2026-03-20 (Price: 9.38),No Price Target,No Date Target,43.71%/44.59%,"-24.29%, 1.4 year","2026-03-20 (Price: 9.38), 24.29% below",13.4803 (Historic Rise or Fall to Pivot)/15.1716 (Avg % Gain of Historic Winning trades)/14.37 (Function Specific Target)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/17.2333 (Backtested Max)/13.5621 (Backtested Min),2027-07-18 (Max)/2026-04-05 (Avg),8.14/9.246/11.0645/No stop loss/No F-Track Level/No F-Track Level/10.96,"83.33%, Past 20 years, 12",11.89,No Information,No Information,No Information,No Information,No Information,21.51% below/24.29% below/24.29% below,39.09%/9.46%/22.45%,"38.71%, 46.41%",1.9 year/5 months/1 year,7.79%,10.92%,-3.13%,0.19,0.59,92.21%/77/10.8 months (Across ALL Assets),59.84%/127/9.6 months (Across ALL Assets)
TRENDPULSE,"SUM.NZ, Long, 2024-09-30 (Price: 11.95)",Monthly,2026-03-20 (Price: 9.38),No Price Target,No Date Target,38.61%/39.45%,"-21.51%, 1.5 year","2026-03-20 (Price: 9.38), 21.51% below",13.0016 (Historic Rise or Fall to Pivot)/14.6328 (Avg % Gain of Historic Winning trades)/14.19 (Function Specific Target)/19.8479 (F-Stack 1)/26.5969 (F-Stack 2)/16.6213 (Backtested Max)/13.0805 (Backtested Min),2027-06-17 (Max),8.14/9.246/11.0645/No stop loss/No F-Track Level/No F-Track Level/10.75,"83.33%, Past 20 years, 12",11.3,No Information,No Information,No Information,No Information,No Information,21.51% below/21.51% below/21.51% below,39.09%/9.46%/22.45%,"38.71%, 46.41%",1.9 year/5 months/1 year,7.79%,10.92%,-3.13%,0.19,0.59,92.21%/77/10.8 months (Across ALL Assets),59.84%/127/9.6 months (Across ALL Assets)
DELTADRIFT,"ORCL, Long, 2026-02-15 (Price: 160.14)",Weekly,No Exit Yet,No Price Target,2026-03-17 (Max),17.34%/20.04%,"-6.53%, 1.1 month","2026-03-20 (Price: 149.68), 6.53% below",214.1232 (Historic Rise or Fall to Pivot)/179.6771 (Avg % Gain of Historic Winning trades)/196.9 (Function Specific Target)/300.069 (F-Stack 1)/376.1425 (F-Stack 2)/220.03 (EMA 200)/182.3834 (Backtested Max)/175.6416 (Backtested Min),No Next Date Target,142.82/82.7925/152.3597/145.7273/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"75.0%, Past 15 years, 4",148.49,No Information,No Information,No Information,No Information,No Information,No Information,13.89%/9.68%/12.2%,"20.01%, 25.53%",21 days/7 days/16 days,5.26%,6.77%,-1.51%,0.27,0.34,71.43%/14/2.5 months (Across ALL Assets),84.35%/115/2.5 months (Across ALL Assets)
TRENDPULSE,"ORCL, Long, 2026-01-26 (Price: 182.44)",Daily,No Exit Yet,No Price Target,2026-03-19 (Avg),22.78%/29.1%,"-17.96%, 1.8 month","2026-03-20 (Price: 149.68), 17.96% below",194.3533 (Historic Rise or Fall to Pivot)/193.2404 (Avg % Gain of Historic Winning trades)/193.99 (Function Specific Target)/300.069 (F-Stack 1)/376.1425 (F-Stack 2)/218.9 (EMA 200)/207.2883 (Backtested Max)/183.7718 (Backtested Min),2026-06-14 (Max),173.88/82.7925/167.1709/152.3597/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"100.0%, Past 4 years, 19",179.1,No Information,No Information,No Information,No Information,No Information,15.51% below/17.96% below/17.96% below,13.62%/0.73%/5.92%,"-0.0%, 11.99%",3.2 months/6 days/1.2 month,18.7%,11.12%,7.58%,0.94,0.53,91.99%/287/1.3 month (Across ALL Assets),80.43%/516/1.4 month (Across ALL Assets)
TRENDPULSE,"GOOG, Long, 2025-10-31 (Price: 281.82)",Monthly,2026-03-20 (Price: 298.79),No Price Target,No Date Target,15.84%/38.11%,"6.02%, 4.7 months","2026-03-20 (Price: 298.79), 6.02% above",346.1313 (Historic Rise or Fall to Pivot)/412.669 (Avg % Gain of Historic Winning trades)/443.81 (Function Specific Target)/459.4793 (Backtested Max),2027-01-17 (Max)/2026-06-09 (Min)/2026-07-27 (Avg),156.23/84.6567/240.3589/219.0619/No F-Track Level/No F-Track Level/194.01,"100.0%, Past 20 years, 11",241.18,No Information,No Information,No Information,No Information,No Information,22.68% above/18.7% above/6.02% above,63.04%/12.61%/46.43%,"-0.0%, 18.92%",10.2 months/5.1 months/6.2 months,12.41%,17.09%,-4.68%,1.16,0.87,92.21%/77/10.8 months (Across ALL Assets),59.84%/127/9.6 months (Across ALL Assets)
TRENDPULSE,"AMZN, Long, 2024-12-31 (Price: 219.39)",Monthly,2026-03-20 (Price: 205.37),No Price Target,No Date Target,19.03%/27.37%,"-6.39%, 1.2 year","2026-03-20 (Price: 205.37), 6.39% below",276.9141 (Historic Rise or Fall to Pivot)/286.2381 (Avg % Gain of Historic Winning trades)/244.46 (Function Specific Target)/332.4197 (Backtested Max)/261.5787 (Backtested Min),2027-07-27 (Max)/2026-06-01 (Avg),84.0/81.3658/193.0625/132.2674/No F-Track Level/No F-Track Level/189.74,"100.0%, Past 20 years, 15",209.96,No Information,No Information,No Information,No Information,No Information,1.21% below/6.39% below/6.39% below,51.52%/19.23%/30.47%,"-0.0%, 23.74%",1.8 year/6.1 months/11.9 months,15.9%,18.33%,-2.43%,1.69,0.81,92.21%/77/10.8 months (Across ALL Assets),59.84%/127/9.6 months (Across ALL Assets)
TRENDPULSE,"SPY, Long, 2025-09-30 (Price: 666.18)",Monthly,No Exit Yet,No Price Target,2026-03-22 (Min),11.53%/14.27%,"-2.64%, 5.7 months","2026-03-20 (Price: 648.57), 2.64% below",761.9767 (Historic Rise or Fall to Pivot)/741.1252 (Avg % Gain of Historic Winning trades)/1004.58 (Function Specific Target)/969.1148 (F-Stack 1)/1522.3697 (F-Stack 2)/755.4481 (Backtested Max)/723.3382 (Backtested Min),2027-04-26 (Max)/2026-03-22 (Min)/2026-10-17 (Avg),554.54/412.1625/627.1849/415.8599/No F-Track Level/No F-Track Level/600.46,"80.0%, Past 20 years, 10",637.5,No Information,No Information,No Information,No Information,No Information,2.64% below/2.64% below/2.64% below,13.4%/8.58%/11.25%,"5.51%, 13.47%",1.1 year/4 months/8.8 months,5.38%,4.9%,0.48%,0.81,0.25,92.21%/77/10.8 months (Across ALL Assets),59.84%/127/9.6 months (Across ALL Assets)
DELTADRIFT,"ETH-USD, Long, 2026-02-03 (Price: 2227.5588)",Daily,No Exit Yet,No Price Target,2026-03-22 (Max),10.16%/12.76%,"-3.61%, 1.5 month","2026-03-20 (Price: 2147.2095), 3.61% below",2365.4447 (Historic Rise or Fall to Pivot)/2477.0454 (Avg % Gain of Historic Winning trades)/2421.25 (Function Specific Target)/4922.7188 (Horizontal)/4887.278 (F-Stack 1)/5344.0381 (F-Stack 2)/3194.96 (EMA 200)/2645.6716 (Backtested Max),2026-03-22 (Max),1472.55/1370.4997/1681.3515/1572.5258/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"86.67%, Past 4 years, 15",2344.4458,No Information,No Information,No Information,No Information,No Information,No Information,18.77%/4.94%/11.2%,"24.06%, 28.71%",1.1 month/1 day/9 days,24.3%,11.69%,12.61%,0.56,0.5,74.13%/143/15 days (Across ALL Assets),73.26%/516/15 days (Across ALL Assets)
