Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"AMD, Long, 2026-02-22 (Price: 200.15)",Weekly,No Exit Yet,No Price Target,2026-03-04 (Min),16.44%/21.11%,"-0.76%, 8 days","2026-03-02 (Price: 198.62), 0.76% below",262.3366 (Historic Rise or Fall to Pivot)/240.5403 (Avg % Gain of Historic Winning trades)/314.51 (Function Specific Target)/273.8526 (F-Stack 1)/307.9609 (F-Stack 2)/261.516 (Backtested Max)/231.2733 (Backtested Min),2028-09-17 (Max)/2026-03-04 (Min)/2027-04-10 (Avg),151.14/72.05/187.3421/170.075/No F-Track Level/No F-Track Level/187.01,"83.33%, Past 20 years, 12",202.145,No Information,No Information,No Information,"38.2% (Price: 194.2708), 2.24% above, Upmove Bounce Back","2025-04-13 (Price: 76.48), 2025-11-02 (Price: 267.08)",No Information,30.66%/15.55%/20.18%,"17.29%, 60.71%",1.8 year/7 days/9.5 months,11.53%,7.36%,4.17%,1.23,0.44,94.52%/73/1.2 year (Across ALL Assets),63.64%/132/7.5 months (Across ALL Assets)
TRENDPULSE,"AMD, Long, 2026-01-22 (Price: 253.73)",Daily,No Exit Yet,No Price Target,2026-03-03 (Avg),34.15%/36.27%,"-21.72%, 1.3 month","2026-03-02 (Price: 198.62), 21.72% below",270.6538 (Historic Rise or Fall to Pivot)/275.1194 (Avg % Gain of Historic Winning trades)/374.28 (Function Specific Target)/273.8526 (F-Stack 1)/307.9609 (F-Stack 2)/292.3731 (Backtested Max)/266.4419 (Backtested Min),2026-05-14 (Max)/2026-03-03 (Avg),203.17/72.05/251.3512/219.0648/No F-Track Level/No F-Track Level/170.96,"90.91%, Past 4 years, 22",251.75,No Information,No Information,No Information,No Information,No Information,20.49% below/21.72% below/21.72% below,15.23%/5.01%/8.43%,"17.18%, 48.49%",2.6 months/8 days/28 days,23.91%,15.87%,8.04%,0.65,0.71,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets)
TRENDPULSE,"AMD, Long, 2025-07-31 (Price: 176.31)",Monthly,2026-02-28 (Price: 200.21),No Price Target,No Date Target,26.55%/70.19%,"12.65%, 7.1 months","2026-03-02 (Price: 198.62), 12.65% above",338.0392 (Historic Rise or Fall to Pivot)/355.6878 (Avg % Gain of Historic Winning trades)/251.3512 (F-Stack 2)/512.4979 (Backtested Max),2029-02-23 (Max)/2026-03-09 (Min)/2026-11-12 (Avg),97.35/73.114/170.075/140.6278/No F-Track Level/No F-Track Level/123.49,"87.5%, Past 20 years, 16",138.77,No Information,No Information,No Information,No Information,No Information,79.37% above/37.78% above/12.65% above,190.68%/9.18%/101.74%,"0.02%, 94.83%",2.5 years/5.1 months/10.8 months,20.96%,6.33%,14.63%,1.29,0.43,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets)
TRENDPULSE,"AMD, Long, 2024-02-29 (Price: 192.53)",Monthly,2026-02-28 (Price: 200.21),No Price Target,No Date Target,85.85%/95.55%,"3.16%, 2 years","2026-03-02 (Price: 198.62), 3.16% above",369.1378 (Historic Rise or Fall to Pivot)/388.41 (Avg % Gain of Historic Winning trades)/559.6462 (Backtested Max),2027-09-24 (Max),60.06/27.54/140.6278/116.4823/No F-Track Level/No F-Track Level/124.45,"87.5%, Past 20 years, 16",169.27,No Information,No Information,No Information,No Information,No Information,34.74% above/9.22% above/3.16% above,190.68%/9.18%/101.74%,"0.02%, 94.83%",2.5 years/5.1 months/10.8 months,20.96%,6.33%,14.63%,1.29,0.43,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets)
TRENDPULSE,"AMD, Long, 2024-01-31 (Price: 167.69)",Monthly,2026-02-28 (Price: 200.21),No Price Target,No Date Target,61.87%/70.32%,"18.44%, 2.1 years","2026-03-02 (Price: 198.62), 18.44% above",321.512 (Historic Rise or Fall to Pivot)/338.2978 (Avg % Gain of Historic Winning trades)/487.4413 (Backtested Max),2027-08-26 (Max),60.06/27.54/140.6278/116.4823/No F-Track Level/No F-Track Level/116.01,"87.5%, Past 20 years, 16",144.28,No Information,No Information,No Information,No Information,No Information,34.74% above/35.87% above/18.44% above,190.68%/9.18%/101.74%,"0.02%, 94.83%",2.5 years/5.1 months/10.8 months,20.96%,6.33%,14.63%,1.29,0.43,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets)
FRACTAL TRACK,"DOL.TO, Long, 2026-02-03 (Price: 187.65)",Daily,No Exit Yet,No Price Target,2026-03-03 (Min),1.18%/3.7%,"7.75%, 27 days","2026-03-02 (Price: 202.2), 7.75% above",204.5948 (Avg % Gain of Historic Winning trades)/259.67 (Function Specific Target)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/209.6801 (Backtested Max),2027-01-29 (Max)/2026-03-03 (Min)/2026-06-13 (Avg),183.5/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/No EMA 200 Support,"85.19%, Past 5 years, 27",187.4,No Information,No Information,No Information,"23.66% (Price: 181.5609), 11.37% above, Upmove Bounce Back","2023-12-15 (Price: 89.93), 2025-12-11 (Price: 209.96)",No Information,11.74%/1.29%/9.03%,"4.51%, 11.58%",8.3 months/20 days/3 months,30.23%,20.61%,9.62%,1.18,1.4,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets)
TRENDPULSE,"DOL.TO, Long, 2026-02-24 (Price: 196.37)",Daily,No Exit Yet,No Price Target,2026-03-04 (Min),0.66%/0.78%,"2.97%, 6 days","2026-03-02 (Price: 202.2), 2.97% above",203.7731 (Historic Rise or Fall to Pivot)/203.5375 (Avg % Gain of Historic Winning trades)/204.52 (Function Specific Target)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/216.2426 (Backtested Max),2026-08-16 (Max)/2026-03-04 (Min)/2026-04-12 (Avg),183.5/53.2967/194.1559/132.3972/No F-Track Level/No F-Track Level/189.15,"100.0%, Past 4 years, 31",195.43,No Information,No Information,No Information,No Information,No Information,3.33% above/2.97% above/2.97% above,10.12%/0.29%/3.65%,"0%, 13.61%",4 months/6 days/1.1 month,18.43%,18.99%,-0.56%,1.15,1.18,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets)
TRENDPULSE,"DOL.TO, Long, 2025-05-31 (Price: 176.5)",Monthly,2026-02-28 (Price: 200.82),204.3517 (Avg % Gain of Historic Winning trades),No Date Target,3.81%/8.84%,"14.56%, 9.2 months","2026-03-02 (Price: 202.2), 14.56% above",209.8938 (Historic Rise or Fall to Pivot)/279.99 (Function Specific Target)/294.0831 (F-Stack 2)/220.0779 (Backtested Max),2026-11-03 (Max)/2026-07-09 (Avg),39.04/45.99/132.3972/94.2286/No F-Track Level/No F-Track Level/147.05,"100.0%, Past 20 years, 9",170.49,No Information,No Information,No Information,No Information,No Information,14.56% above/17.91% above/14.56% above,24.69%/6.61%/15.78%,"0%, 12.12%",1 year/5 months/9.3 months,8.62%,19.19%,-10.57%,2.59,1.27,95.89%/73/1 year (Across ALL Assets),73.02%/126/9.3 months (Across ALL Assets)
SIGMASHELL,"DOL.TO, Long, 2026-02-02 (Price: 187.0)",Daily,No Exit Yet,203.4186 (Backtested Min),No Date Target,2.89%/7.72%,"8.13%, 28 days","2026-03-02 (Price: 202.2), 8.13% above",208.0375 (Avg % Gain of Historic Winning trades)/294.0831 (Function Specific Target)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/217.8176 (Backtested Max),2026-06-21 (Max)/2026-04-25 (Min)/2026-05-12 (Avg),183.5/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 5 years, 5",184.41,"-3.82, 100.0%",No Information,No Information,No Information,No Information,No Information,16.48%/8.78%/11.25%,"-0.0%, 7.51%",3.2 months/1.9 month/2.3 months,14.73%,19.58%,-4.85%,1.4,1.24,75.47%/53/4.6 months (Across ALL Assets),71.43%/224/3.8 months (Across ALL Assets)
FRACTAL TRACK,"FPH.NZ, Long, 2026-02-19 (Price: 37.6)",Daily,No Exit Yet,40.9296 (F-Stack 1),No Date Target,1.17%/17.8%,"9.65%, 11 days","2026-03-02 (Price: 41.23), 9.65% above",49.7 (Function Specific Target)/48.5677 (F-Stack 2)/41.7134 (Backtested Max),2030-11-05 (Max)/2026-03-31 (Min)/2027-09-15 (Avg),35.68/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/37.35,"90.0%, Past 5 years, 10",37.0,No Information,No Information,No Information,"23.66% (Price: 35.6878), 15.53% above, Upmove Bounce Back","2023-10-30 (Price: 20.29), 2025-11-26 (Price: 40.46)",No Information,10.94%/2.55%/7.81%,"1.6%, 46.76%",3.3 years/28 days/1.1 year,8.47%,1.81%,6.66%,1.1,0.09,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets)
