"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"META, Long, 2026-03-31 (Price: 572.13)",No Exit Yet,"0.0%, 0 days","72.73%, Past 4 years, 11","Daily, is CONFIRMED on 2026-03-31",Already confirmed,"2026-03-31 (Price: 572.13), 0.0% below",0 days,14.76%/3.27%/7.84%,"19.19%, 19.41%",29 days/1 day/11 days,2026-05-12/2026-04-01/2026-04-15,4.74%,13.76%,-9.02%,0.09,0.64,612.9801/616.985/614.98/742.455/915.851/1095.6891/686.21,525.72/276.89/491.5059/449.4805/525.7329/442.17/No EMA 200 Stop Loss,71.63%/141/15 days (Across ALL Assets),73.23%/523/15 days (Across ALL Assets),549.98
"NZDUSD=X, Long, 2026-03-31 (Price: 0.5747)",No Exit Yet,"0.0%, 0 days","77.78%, Past 4 years, 18","Daily, is CONFIRMED on 2026-03-31",Already confirmed,"2026-03-31 (Price: 0.5747), 0.0% below",0 days,2.12%/0.9%/1.27%,"4.65%, 5.12%",2.6 months/1 day/20 days,2026-07-21/2026-04-01/2026-04-28,4.07%,-2.62%,6.69%,0.13,-0.74,0.5873/0.582/0.58/0.7234/No Next Fib Ext/No Next Fib Ext/0.59,0.57/0.5528/No F-Stack Support/No F-Stack Support/No stop loss/No stop loss/No EMA 200 Stop Loss,71.63%/141/15 days (Across ALL Assets),73.23%/523/15 days (Across ALL Assets),0.5745
"IHI, Long, 2026-03-31 (Price: 53.35)",No Exit Yet,"0.0%, 0 days","85.0%, Past 4 years, 20","Daily, is CONFIRMED on 2026-03-31",Already confirmed,"2026-03-31 (Price: 53.35), 0.0% below",0 days,5.45%/1.28%/2.72%,"9.31%, 10.0%",19 days/1 day/7 days,2026-04-27/2026-04-01/2026-04-10,10.24%,1.25%,8.99%,0.38,-0.05,56.8284/54.8011/55.81/65.682/No Next Fib Ext/No Next Fib Ext/60.61,52.6/46.725/No F-Stack Support/No F-Stack Support/No stop loss/No stop loss/No EMA 200 Stop Loss,71.63%/141/15 days (Across ALL Assets),73.23%/523/15 days (Across ALL Assets),53.0
"HDB, Long, 2026-03-31 (Price: 24.88)",No Exit Yet,"0.0%, 0 days","100.0%, Past 15 years, 7","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price below 24.4436 or above 29.0537 prior to 2026-04-03,"2026-03-31 (Price: 24.88), 0.0% below",0 days,16.81%/7.78%/10.62%,"0%, 13.44%",2.1 months/7 days/1.3 month,2026-06-30/2026-04-10/2026-05-26,17.22%,7.31%,9.91%,3.65,0.38,28.1069/27.5223/27.81/39.3812/45.6752/50.9526/34.86,24.35/No Horizontal Support/20.8126/19.1693/No stop loss/No stop loss/No EMA 200 Stop Loss,76.92%/13/2.5 months (Across ALL Assets),80.0%/120/2 months (Across ALL Assets),24.11
"INDY, Long, 2026-03-31 (Price: 42.24)",No Exit Yet,"0.0%, 0 days","85.71%, Past 15 years, 7","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price below 41.0108 or above 45.1983 prior to 2026-04-03,"2026-03-31 (Price: 42.24), 0.0% below",0 days,15.72%/4.17%/7.44%,"18.57%, 22.76%",2.8 months/21 days/1.8 month,2026-07-30/2026-04-30/2026-06-17,4.45%,2.66%,1.79%,0.24,0.07,45.1123/45.3827/45.25/54.474/58.2617/61.7585/50.53,41.24/40.5875/No F-Stack Support/No F-Stack Support/No stop loss/No stop loss/No EMA 200 Stop Loss,76.92%/13/2.5 months (Across ALL Assets),80.0%/120/2 months (Across ALL Assets),41.04
"DIS, Long, 2026-03-31 (Price: 96.38)",No Exit Yet,"0.0%, 0 days","88.89%, Past 15 years, 9","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price below 94.014 or above 99.6498 prior to 2026-04-03,"2026-03-31 (Price: 96.38), 0.0% below",0 days,18.7%/4.98%/9.06%,"22.55%, 25.06%",3 months/7 days/1.5 month,2026-08-08/2026-04-10/2026-06-04,7.62%,4.2%,3.42%,0.49,0.2,112.1478/105.112/108.63/168.455/236.8799/281.3125/111.74,92.42/79.415/90.2921/80.4539/No stop loss/89.6423/No EMA 200 Stop Loss,76.92%/13/2.5 months (Across ALL Assets),80.0%/120/2 months (Across ALL Assets),92.89
"IHI, Long, 2026-03-31 (Price: 53.35)",No Exit Yet,"0.0%, 0 days","100.0%, Past 15 years, 4","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price below 52.6011 or above 55.9067 prior to 2026-04-03,"2026-03-31 (Price: 53.35), 0.0% below",0 days,12.18%/4.5%/7.68%,"0%, 14.78%",1.2 year/7 days/4.3 months,2027-12-16/2026-04-10/2026-10-03,8.77%,8.66%,0.11%,1.99,0.55,60.803/57.4473/59.13/65.682/No Next Fib Ext/No Next Fib Ext/60.61,53.18/46.725/No F-Stack Support/No F-Stack Support/No stop loss/No stop loss/No EMA 200 Stop Loss,76.92%/13/2.5 months (Across ALL Assets),80.0%/120/2 months (Across ALL Assets),53.29
"XLF, Long, 2026-03-31 (Price: 49.37)",No Exit Yet,"0.0%, 0 days","100.0%, Past 15 years, 7","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price below 47.0521 or above 49.4655 prior to 2026-04-03,"2026-03-31 (Price: 49.37), 0.0% below",0 days,19.04%/3.93%/9.4%,"0%, 9.53%",2.6 months/7 days/1.2 month,2026-07-21/2026-04-10/2026-05-22,9.44%,6.66%,2.78%,1.74,0.36,56.3805/54.0108/55.2/51.78/59.6731/64.3957/52.71,47.81/30.1167/43.6866/39.3186/No stop loss/46.2327/No EMA 200 Stop Loss,76.92%/13/2.5 months (Across ALL Assets),80.0%/120/2 months (Across ALL Assets),48.23
"XLY, Long, 2026-03-31 (Price: 108.98)",No Exit Yet,"0.0%, 0 days","100.0%, Past 15 years, 5","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price below 105.0999 or above 109.4787 prior to 2026-04-03,"2026-03-31 (Price: 108.98), 0.0% below",0 days,15.44%/7.22%/11.12%,"0%, 11.49%",2.6 months/7 days/1.1 month,2026-07-21/2026-04-10/2026-05-17,9.62%,9.06%,0.56%,4.04,0.55,132.8139/121.0986/126.96/122.0862/125.4815/133.9156/116.08,105.68/66.775/86.1124/56.5683/No stop loss/101.3222/No EMA 200 Stop Loss,76.92%/13/2.5 months (Across ALL Assets),80.0%/120/2 months (Across ALL Assets),106.61
"INDA, Long, 2026-03-31 (Price: 46.84)",No Exit Yet,"0.0%, 0 days","100.0%, Past 14 years, 8","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price below 45.7584 or above 48.8585 prior to 2026-04-03,"2026-03-31 (Price: 46.84), 0.0% below",0 days,14.81%/3.63%/7.2%,"0%, 6.26%",3 months/7 days/1.2 month,2026-08-08/2026-04-10/2026-05-22,8.01%,3.36%,4.65%,2.2,0.12,53.4117/50.2125/51.81/55.3975/60.4014/73.8934/52.99,45.82/39.0425/41.6131/No stop loss/No stop loss/No stop loss/No EMA 200 Stop Loss,76.92%/13/2.5 months (Across ALL Assets),80.0%/120/2 months (Across ALL Assets),45.42
"MSFT, Long, 2026-03-30 (Price: 358.96)",2026-03-31 (Price: 370.17),"3.12%, 1 day","75.0%, Past 4 years, 12","Daily, was CONFIRMED on 2026-03-30",Already confirmed,"2026-03-31 (Price: 370.17), 3.12% above",1 day,5.23%/2.02%/3.49%,"8.2%, 14.53%",2.4 months/1 day/11 days,2026-07-12/2026-03-31/2026-04-14,5.6%,7.01%,-1.41%,0.17,0.37,372.421/371.4877/371.95/554.585/553.3726/615.9924/477.97,356.77/216.39/350.287/331.7514/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,71.63%/141/15 days (Across ALL Assets),73.23%/523/15 days (Across ALL Assets),361.895
"BAC, Long, 2026-03-29 (Price: 46.97)",No Exit Yet,"3.79%, 2 days","85.71%, Past 15 years, 7","Weekly, was CONFIRMED on 2026-03-29",Already confirmed,"2026-03-31 (Price: 48.75), 3.79% above",2 days,26.29%/9.78%/15.79%,"25.71%, 33.38%",6.8 months/14 days/2.1 months,2027-01-18/2026-04-18/2026-06-28,7.64%,6.31%,1.33%,0.64,0.32,52.9587/54.3866/53.67/48.7833/72.41/85.2389/50.79,46.72/29.49/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,76.92%/13/2.5 months (Across ALL Assets),80.0%/120/2 months (Across ALL Assets),48.34
"JETS, Long, 2026-03-29 (Price: 24.13)",No Exit Yet,"2.07%, 2 days","100.0%, Past 10 years, 6","Weekly, was CONFIRMED on 2026-03-29",Already confirmed,"2026-03-31 (Price: 24.63), 2.07% above",2 days,29.2%/7.1%/12.46%,"0%, 22.83%",2.3 months/7 days/26 days,2026-07-06/2026-04-08/2026-05-05,11.65%,0.99%,10.66%,1.51,0.09,26.3693/27.1366/26.75/27.1773/No Next Fib Ext/No Next Fib Ext/26.01,24.05/14.732/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,76.92%/13/2.5 months (Across ALL Assets),80.0%/120/2 months (Across ALL Assets),25.2
"GNE.NZ, Long, 2026-03-29 (Price: 2.16)",No Exit Yet,"0.93%, 2 days","80.0%, Past 11 years, 5","Weekly, was CONFIRMED on 2026-03-29",Already confirmed,"2026-03-31 (Price: 2.18), 0.93% above",2 days,14.79%/4.18%/7.53%,"12.34%, 12.5%",6.1 months/14 days/1.9 month,2026-12-19/2026-04-18/2026-06-19,5.64%,2.2%,3.44%,0.38,0.05,2.2693/2.3226/2.3/3.3125/No Next Fib Ext/No Next Fib Ext/2.38,2.14/2.0733/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,76.92%/13/2.5 months (Across ALL Assets),80.0%/120/2 months (Across ALL Assets),2.2
