Function,Strategy,Interval,Signal Type,Total Analysed Trades,Win Percentage,Holding Period (days) (Max./Min./Avg.),Profit [%] (Best/Worst/Avg.),Avg Backtested Win Rate [%],Avg Backtested Holding Period (days),Percentage of Open Trades
Forward Testing,FRACTAL TRACK,Monthly,Long,100,76.0%,760 days/0 days/206 days,41.11%/-41.43%/11.45%,91.05%,902 days,4.0%
Forward Testing,FRACTAL TRACK,Monthly,Short,18,38.89%,327 days/0 days/73 days,20.46%/-20.37%/0.65%,90.24%,72 days,0.0%
Forward Testing,FRACTAL TRACK,Quarterly,Long,13,69.23%,611 days/0 days/280 days,43.26%/-46.21%/13.49%,96.87%,1570 days,53.85%
Forward Testing,FRACTAL TRACK,Quarterly,Short,15,53.33%,260 days/64 days/92 days,34.84%/-28.92%/-0.16%,93.99%,90 days,6.67%
Forward Testing,OSCILLATOR DELTA,Daily,Long,353,63.74%,330 days/0 days/43 days,23.28%/-25.08%/0.51%,79.45%,42 days,0.0%
Forward Testing,OSCILLATOR DELTA,Daily,Short,35,62.86%,22 days/1 days/4 days,8.67%/-8.2%/-0.15%,90.49%,5 days,0.0%
Forward Testing,PULSEGAUGE,Weekly,Long,124,72.58%,624 days/19 days/147 days,30.25%/-30.33%/8.42%,82.79%,206 days,1.61%
Forward Testing,PULSEGAUGE,Weekly,Short,50,34.0%,244 days/4 days/39 days,10.59%/-14.59%/-3.54%,78.32%,30 days,0.0%
Forward Testing,SIGMASHELL,Daily,Long,230,74.78%,456 days/19 days/78 days,112.86%/-59.62%/6.74%,84.39%,87 days,1.74%
Forward Testing,TRENDPULSE,Daily,Long,637,82.89%,219 days/0 days/28 days,39.76%/-30.07%/2.68%,87.68%,18 days,0.63%
Forward Testing,TRENDPULSE,Daily,Short,7,71.43%,21 days/3 days/10 days,7.68%/-4.52%/3.08%,100.0%,8 days,0.0%
Forward Testing,TRENDPULSE,Weekly,Long,266,78.95%,409 days/0 days/76 days,60.02%/-37.52%/4.19%,87.11%,72 days,0.75%
