Report Type,Symbol,Today price,New Highest
New High,SOXX,$393.3400,√ $393.5400
New High,^BVSP,$198000.7031,√ $198173.3906
New High,TD,$102.0400,√ $102.0800
New High,USCI,$96.5000,√ $97.7500
New High,NA.TO,$197.5400,√ $198.1500
New High,TD.TO,$140.6700,√ $140.7600
New High,,,
