Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"GILD, Long, 2026-03-02 (Price: 150.03)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 14","Daily, is CONFIRMED on 2026-03-02",Already confirmed,"2026-03-02 (Price: 150.03), 0.0% below",0 days,147.87,No Information,No Information,No Information,"38.2% (Price: 141.841), 5.77% above, Upmove Bounce Back","2026-01-05 (Price: 116.88), 2026-02-11 (Price: 157.27)",No Information,17.08%/2.06%/9.98%,"0%, 27.82%",1.8 year/28 days/5.7 months,2028-09-25/2026-04-11/2026-11-04,29.7%,11.0%,18.7%,2.35,0.63,162.4525/165.003/174.26/No Horizontal Resistance/147.6277/164.839/No EMA 200 Target,143.77/57.18/135.1689/124.0112/110.7288/108.1488/120.37,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets)
FRACTAL TRACK,"SJ.TO, Long, 2026-03-02 (Price: 95.38)",No Exit Yet,"0.0%, 0 days","93.75%, Past 5 years, 16","Daily, is CONFIRMED on 2026-03-02",Already confirmed,"2026-03-02 (Price: 95.38), 0.0% below",0 days,93.2,No Information,No Information,No Information,"23.66% (Price: 88.9737), 7.2% above, Upmove Bounce Back","2023-03-27 (Price: 49.17), 2026-02-11 (Price: 101.31)",No Information,14.92%/10.1%/11.67%,"0.73%, 33.9%",1.8 year/1 month/5.3 months,2028-09-25/2026-04-14/2026-10-18,26.35%,9.97%,16.38%,1.63,0.54,102.9246/106.5108/126.66/No Horizontal Resistance/108.5192/133.8092/No EMA 200 Target,92.72/38.015/50.2755/47.8005/92.0708/86.3929/82.59,93.09%/304/4.8 months (Across ALL Assets),67.74%/62/5.1 months (Across ALL Assets)
TRENDPULSE,"NFLX, Long, 2026-03-02 (Price: 97.09)",No Exit Yet,"0.0%, 0 days","94.44%, Past 4 years, 18","Daily, is CONFIRMED on 2026-03-02",Already confirmed,"2026-03-02 (Price: 97.09), 0.0% below",0 days,95.26,No Information,No Information,No Information,No Information,No Information,0.88% above/0.0% below/0.0% below,7.15%/0.45%/3.37%,"0.57%, 20.2%",2.6 months/7 days/1.2 month,2026-06-22/2026-03-12/2026-04-23,15.4%,9.17%,6.23%,1.08,0.47,98.5463/100.3619/113.66/No Horizontal Resistance/138.686/152.7047/110.06,75.86/34.8663/77.3488/70.5306/No support/No support/No EMA 200 Support,92.11%/304/1.2 month (Across ALL Assets),82.2%/528/1.4 month (Across ALL Assets)
SIGMASHELL,"GOOG, Long, 2026-03-02 (Price: 306.36)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 10","Daily, is CONFIRMED on 2026-03-02",Already confirmed,"2026-03-02 (Price: 306.36), 0.0% below",0 days,302.965,"-3.95, 85.0%",No Information,No Information,No Information,No Information,No Information,29.4%/0.45%/12.07%,"0%, 17.88%",4 months/1.2 month/2.6 months,2026-08-22/2026-04-23/2026-06-22,31.27%,17.17%,14.1%,1.36,0.88,323.8532/343.3377/480.687/No Horizontal Resistance/480.687/701.5153/No EMA 200 Target,302.82/84.51/243.1061/191.2921/No support/No support/251.06,75.47%/53/4.6 months (Across ALL Assets),71.43%/224/3.8 months (Across ALL Assets)
SIGMASHELL,"HDFCBANK.NS, Long, 2026-03-02 (Price: 879.4)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 6","Daily, is CONFIRMED on 2026-03-02",Already confirmed,"2026-03-02 (Price: 879.4), 0.0% below",0 days,876.2,"-3.0, 69.44%",No Information,No Information,No Information,No Information,No Information,9.79%/0.8%/5.39%,"0%, 22.66%",5.4 months/1.8 month/3.7 months,2026-10-22/2026-05-19/2026-08-09,11.48%,13.06%,-1.58%,1.43,0.69,915.4554/926.7997/1299.7536/1009.6/1299.7536/1565.406/973.52,878.85/640.9/762.8018/626.4465/No support/No support/No EMA 200 Support,75.47%/53/4.6 months (Across ALL Assets),71.43%/224/3.8 months (Across ALL Assets)
SIGMASHELL,"FXI, Long, 2026-03-02 (Price: 36.9)",No Exit Yet,"0.0%, 0 days","77.78%, Past 5 years, 18","Daily, is CONFIRMED on 2026-03-02",Already confirmed,"2026-03-02 (Price: 36.9), 0.0% below",0 days,36.455,"-4.17, 69.23%",No Information,No Information,No Information,No Information,No Information,31.2%/0.18%/13.68%,"12.76%, 36.5%",1.6 year/1.7 month/4.1 months,2028-06-13/2026-05-14/2026-08-25,28.08%,2.64%,25.44%,0.67,0.15,38.0956/41.9479/77.6857/42.665/77.6857/94.2202/38.7,36.83/20.865/No F-Stack Support/No F-Stack Support/No support/No support/No EMA 200 Support,75.47%/53/4.6 months (Across ALL Assets),71.43%/224/3.8 months (Across ALL Assets)
SIGMASHELL,"GS, Long, 2026-03-02 (Price: 861.7)",No Exit Yet,"0.0%, 0 days","80.0%, Past 5 years, 5","Daily, is CONFIRMED on 2026-03-02",Already confirmed,"2026-03-02 (Price: 861.7), 0.0% below",0 days,840.0,"-4.55, 90.62%",No Information,No Information,No Information,No Information,No Information,31.4%/4.55%/14.0%,"5.83%, 31.34%",5.7 months/1.9 month/3.8 months,2026-11-04/2026-05-23/2026-08-14,15.52%,6.65%,8.87%,0.67,0.35,868.8521/982.338/973.4919/No Horizontal Resistance/973.4919/1057.8628/No EMA 200 Target,859.57/288.555/818.1554/728.9736/855.6773/776.3878/783.97,75.47%/53/4.6 months (Across ALL Assets),71.43%/224/3.8 months (Across ALL Assets)
SIGMASHELL,"INDA, Long, 2026-03-02 (Price: 50.95)",No Exit Yet,"0.0%, 0 days","71.43%, Past 5 years, 7","Daily, is CONFIRMED on 2026-03-02",Already confirmed,"2026-03-02 (Price: 50.95), 0.0% below",0 days,50.97,"-3.38, 83.33%",No Information,No Information,No Information,No Information,No Information,11.2%/3.71%/6.93%,"10.28%, 20.14%",1.4 year/1.5 month/5.6 months,2028-02-28/2026-05-06/2026-10-31,4.26%,3.68%,0.58%,0.38,0.16,52.3562/54.4808/60.4014/55.3975/60.4014/73.8934/53.65,49.13/39.06/48.6731/41.6131/No support/No support/No EMA 200 Support,75.47%/53/4.6 months (Across ALL Assets),71.43%/224/3.8 months (Across ALL Assets)
SIGMASHELL,"TCEHY, Long, 2026-03-02 (Price: 65.55)",No Exit Yet,"0.0%, 0 days","72.73%, Past 5 years, 22","Daily, is CONFIRMED on 2026-03-02",Already confirmed,"2026-03-02 (Price: 65.55), 0.0% below",0 days,65.02,"-9.19, 67.86%",No Information,No Information,No Information,No Information,No Information,46.44%/1.1%/15.08%,"21.76%, 52.94%",5.7 months/1.4 month/2.6 months,2026-11-04/2026-05-01/2026-06-22,35.6%,13.47%,22.13%,0.51,0.64,68.3031/75.4349/99.3611/73.21/99.3611/116.6601/74.75,63.12/36.36/58.6593/42.6896/No support/No support/No EMA 200 Support,75.47%/53/4.6 months (Across ALL Assets),71.43%/224/3.8 months (Across ALL Assets)
TRENDPULSE,"XIU.TO, Long, 2026-03-01 (Price: 49.71)",No Exit Yet,"0.7%, 1 day","93.75%, Past 10 years, 16","Weekly, is CONFIRMED on 2026-02-27",Already confirmed,"2026-03-02 (Price: 50.06), 0.7% above",1 day,49.56,No Information,No Information,No Information,No Information,No Information,0.99% above/0.7% above/0.7% above,5.21%/1.57%/3.94%,"2.16%, 32.4%",1.1 year/28 days/6.6 months,2027-09-25/2026-04-10/2026-12-12,4.69%,4.03%,0.66%,1.63,0.17,50.5054/51.6686/67.44/No Horizontal Resistance/53.8646/79.5406/No EMA 200 Target,35.35/27.9467/37.996/28.1885/No F-Track Level/No F-Track Level/44.14,91.56%/154/4.6 months (Across ALL Assets),80.3%/269/3.6 months (Across ALL Assets)
