Symbol,Interval,Latest Horizontal,Current Price,Difference (%),Type
NZDUSD=X,Daily,0.6082,0.6056,0.43,Resistance
NZDCAD=X,Weekly,0.8305,0.8192,1.36,Resistance
NZDCAD=X,Daily,0.8068,0.8192,1.53,Resistance
EURUSD=X,Daily,1.168,1.1891,1.81,Resistance
CAD=X,Weekly,1.3242,1.353,2.17,Support
CAD=X,Daily,1.3289,1.353,1.81,Support
GBPUSD=X,Weekly,1.3445,1.372,2.05,Resistance
GBPUSD=X,Daily,1.3631,1.372,0.65,Resistance
GBPSGD=X,Weekly,1.7483,1.7413,0.4,Resistance
GBPSGD=X,Daily,1.7306,1.7413,0.62,Resistance
GNE.NZ,Daily,2.39,2.43,1.67,Resistance
MEL.NZ,Daily,5.725,5.65,1.31,Resistance
MEL.NZ,Weekly,5.73,5.65,1.4,Resistance
MCY.NZ,Daily,6.2083,6.33,1.96,Support
C6L.SI,Daily,6.2267,6.35,1.98,Support
AIA.NZ,Daily,8.365,8.26,1.26,Support
AIA.NZ,Weekly,8.295,8.26,0.42,Resistance
CEN.NZ,Daily,9.365,9.35,0.16,Support
CNU.NZ,Weekly,9.3875,9.5,1.2,Resistance
SUM.NZ,Daily,11.5825,11.57,0.11,Support
FRW.NZ,Daily,14.785,14.6,1.25,Resistance
INFY,Daily,17.818,17.58,1.34,Support
DBC,Weekly,24.8925,24.43,1.86,Resistance
PFE,Daily,26.76,26.44,1.2,Resistance
PFE,Weekly,26.4516,26.44,0.04,Resistance
JD,Daily,28.38,28.48,0.35,Support
RINF,Daily,32.3671,32.293,0.23,Resistance
HDB,Daily,31.83,32.38,1.73,Support
ASHR,Daily,34.08,33.44,1.88,Support
EFN.TO,Daily,34.925,34.5,1.22,Resistance
KWEB,Weekly,36.11,35.38,2.02,Support
FPH.NZ,Daily,39.407,38.91,1.26,Resistance
MTY.TO,Daily,42.77,42.41,0.84,Resistance
ENZL,Daily,47.5017,46.9408,1.18,Resistance
INDY,Weekly,46.71,47.08,0.79,Support
INDY,Daily,46.432,47.08,1.4,Support
NOVA.F,Daily,49.75,49.45,0.6,Support
CNQ.TO,Daily,51.51,50.63,1.71,Resistance
INDA,Daily,51.335,51.74,0.79,Support
IHI,Daily,59.115,60.08,1.63,Support
BTI,Weekly,60.8175,60.68,0.23,Resistance
MFT.NZ,Daily,66.0371,67.15,1.69,Support
ATD.TO,Daily,72.2367,70.84,1.93,Support
CVS,Daily,73.33,74.52,1.62,Support
USO,Daily,78.45,79.52,1.36,Resistance
NFLX,Daily,82.231,83.49,1.53,Support
TLT,Daily,85.475,87.13,1.94,Support
SBUX,Daily,91.3633,91.95,0.64,Support
JNK,Daily,96.8482,97.82,1.0,Support
JNK,Weekly,96.515,97.82,1.35,Resistance
UPS,Daily,107.93,106.22,1.58,Support
UPS,Weekly,106.345,106.22,0.12,Resistance
DIS,Weekly,114.645,112.8,1.61,Resistance
IEI,Weekly,119.345,119.35,0.0,Support
IEI,Daily,119.6471,119.35,0.25,Resistance
XLY,Daily,121.1117,121.17,0.05,Support
ABNB,Daily,127.482,129.37,1.48,Support
KXS.TO,Daily,139.8917,137.5,1.71,Support
PG,Daily,150.27,151.77,1.0,Resistance
BYD.TO,Daily,221.66,223.17,0.68,Support
WIPRO.NS,Daily,237.845,236.9,0.4,Support
AMZN,Daily,239.3,239.3,0.0,Resistance
MSFT,Daily,436.335,433.5,0.65,Support
BRK-B,Daily,473.386,480.53,1.51,Support
HDFCBANK.NS,Daily,939.55,929.25,1.1,Support
RELIANCE.NS,Daily,1423.075,1395.4,1.94,Support
TCS.NS,Daily,3129.79,3123.8999,0.19,Support
^NZ50,Weekly,13418.2035,13423.1797,0.04,Support
