Symbol,Interval,Latest Horizontal,Today price,Difference (%),Type
NZDUSD=X,Weekly,0.5829,0.5747,1.4,Resistance
NZDUSD=X,Quarterly,0.5854,0.5747,1.83,Resistance
NZDUSD=X,Monthly,0.5854,0.5747,1.83,Resistance
NZDUSD=X,Daily,0.5837,0.5747,1.54,Resistance
NZDCAD=X,Daily,0.7935,0.7961,0.32,Support
NZDCAD=X,Weekly,0.7974,0.7961,0.16,Resistance
USDCHF=X,Weekly,0.798,0.7999,0.23,Support
USDCHF=X,Daily,0.8095,0.7999,1.19,Resistance
EURUSD=X,Daily,1.1455,1.1558,0.9,Support
EURUSD=X,Weekly,1.1786,1.1558,1.94,Resistance
GBPUSD=X,Weekly,1.3303,1.3173,0.98,Resistance
GBPUSD=X,Quarterly,1.3404,1.3173,1.72,Resistance
GBPUSD=X,Daily,1.2972,1.3173,1.55,Support
CAD=X,Monthly,1.3912,1.3928,0.12,Support
CAD=X,Weekly,1.3924,1.3928,0.03,Support
CAD=X,Quarterly,1.3845,1.3928,0.6,Support
CAD=X,Daily,1.3921,1.3928,0.05,Support
GBPSGD=X,Monthly,1.7403,1.7018,2.21,Resistance
GBPSGD=X,Daily,1.6858,1.7018,0.95,Support
TWR.NZ,Monthly,1.8131,1.855,2.31,Support
GNE.NZ,Quarterly,2.245,2.18,2.9,Resistance
GNE.NZ,Monthly,2.1975,2.18,0.8,Resistance
GNE.NZ,Weekly,2.195,2.18,0.68,Resistance
FBU.NZ,Monthly,3.0297,2.95,2.63,Resistance
^TNX,Weekly,4.322,4.311,0.25,Resistance
^TNX,Daily,4.3327,4.311,0.5,Resistance
MEL.NZ,Monthly,5.6667,5.53,2.41,Resistance
MCY.NZ,Daily,6.1767,6.24,1.03,Support
MCY.NZ,Weekly,6.2483,6.24,0.13,Resistance
C6L.SI,Daily,6.48,6.6,1.85,Support
C6L.SI,Quarterly,6.6554,6.6,0.83,Resistance
AIA.NZ,Daily,8.0183,7.97,0.6,Resistance
AIA.NZ,Weekly,7.8575,7.97,1.43,Support
FSF.NZ,Monthly,8.245,8.2,0.55,Resistance
FSF.NZ,Weekly,8.1133,8.2,1.07,Support
SUM.NZ,Monthly,9.08,8.88,2.2,Resistance
CEN.NZ,Monthly,8.9946,9.25,2.84,Support
CEN.NZ,Quarterly,9.083,9.25,1.84,Support
CEN.NZ,Daily,9.365,9.25,1.23,Resistance
CNU.NZ,Monthly,9.4062,9.38,0.28,Resistance
CNU.NZ,Quarterly,9.4062,9.38,0.28,Resistance
IFT.NZ,Weekly,11.925,11.65,2.31,Resistance
SFTBY,Daily,11.9025,12.09,1.58,Support
LYFT,Weekly,12.9775,13.3,2.49,Support
BYDDY,Weekly,13.632,13.64,0.06,Support
BYDDY,Monthly,13.9472,13.64,2.2,Resistance
SONY,Monthly,20.182,20.7,2.57,Support
SONY,Weekly,20.2613,20.7,2.17,Support
EBO.NZ,Weekly,22.6475,22.25,1.76,Resistance
JETS,Weekly,25.1975,24.63,2.25,Resistance
HDB,Monthly,25.6325,24.88,2.94,Resistance
HDB,Quarterly,25.6925,24.88,3.16,Resistance
^VIX,Weekly,24.885,25.25,1.47,Support
PFE,Weekly,28.3133,28.08,0.82,Resistance
PFE,Monthly,28.042,28.08,0.14,Support
PFE,Daily,27.61,28.08,1.7,Support
GLXY.TO,Weekly,27.865,28.26,1.42,Support
KWEB,Weekly,28.439,28.43,0.03,Resistance
JD,Weekly,29.955,29.57,1.29,Resistance
EFN.TO,Daily,30.265,30.17,0.31,Resistance
NOVA.F,Weekly,30.8125,31.55,2.39,Support
NOVA.F,Monthly,31.0,31.55,1.77,Support
RINF,Monthly,31.2333,31.7637,1.7,Support
RINF,Daily,32.3212,31.7637,1.73,Resistance
RINF,Weekly,31.2144,31.7637,1.76,Support
ASHR,Weekly,32.35,32.64,0.9,Support
ASHR,Quarterly,33.8,32.64,3.43,Resistance
FXI,Weekly,36.1633,35.9,0.73,Resistance
NVO,Weekly,37.265,36.75,1.38,Resistance
FPH.NZ,Quarterly,38.695,37.39,3.37,Resistance
FPH.NZ,Monthly,36.648,37.39,2.02,Support
FPH.NZ,Weekly,37.084,37.39,0.83,Support
FPH.NZ,Daily,37.54,37.39,0.4,Resistance
INDY,Weekly,41.3533,42.24,2.14,Support
ENZL,Quarterly,43.725,42.6465,2.47,Resistance
ENZL,Monthly,43.745,42.6465,2.51,Resistance
INDA,Monthly,47.6433,46.84,1.69,Resistance
INDA,Weekly,47.06,46.84,0.47,Resistance
BAC,Quarterly,47.775,48.75,2.04,Support
BAC,Monthly,47.72,48.75,2.16,Support
BAC,Daily,48.475,48.75,0.57,Support
BAC,Weekly,48.834,48.75,0.17,Resistance
NKE,Weekly,52.3238,52.82,0.95,Support
NKE,Monthly,52.4667,52.82,0.67,Support
IHI,Daily,53.2325,53.35,0.22,Support
IHI,Monthly,53.31,53.35,0.08,Support
IHI,Weekly,52.8004,53.35,1.04,Support
BIPC.TO,Weekly,55.275,54.97,0.55,Resistance
EEM,Weekly,56.9267,56.79,0.24,Resistance
EEM,Monthly,57.0584,56.79,0.47,Resistance
MFT.NZ,Weekly,56.5825,57.79,2.13,Support
MFT.NZ,Daily,57.98,57.79,0.33,Resistance
BTI,Weekly,57.3963,58.47,1.87,Support
BTI,Daily,59.135,58.47,1.12,Resistance
TCEHY,Weekly,62.19,63.22,1.66,Support
TCEHY,Monthly,61.785,63.22,2.32,Support
CVS,Weekly,70.2043,71.82,2.3,Support
HYG,Daily,80.2044,79.56,0.8,Resistance
HYG,Weekly,80.9292,79.56,1.69,Resistance
HYG,Monthly,80.3525,79.56,0.99,Resistance
TLT,Quarterly,87.43,86.69,0.85,Resistance
TLT,Daily,86.035,86.69,0.76,Support
SBUX,Weekly,87.755,89.59,2.09,Support
SBUX,Daily,91.3633,89.59,1.94,Resistance
JNK,Weekly,94.27,95.72,1.54,Support
JNK,Daily,96.9467,95.72,1.27,Resistance
JNK,Quarterly,98.3,95.72,2.62,Resistance
JNK,Monthly,97.6225,95.72,1.95,Resistance
DIS,Daily,97.04,96.38,0.68,Resistance
DIS,Weekly,96.0975,96.38,0.29,Support
DIS,Monthly,98.0767,96.38,1.73,Resistance
XLY,Weekly,108.9975,108.98,0.02,Resistance
XLY,Daily,109.5683,108.98,0.54,Resistance
IEI,Weekly,120.9982,118.6,1.98,Resistance
IEI,Quarterly,119.232,118.6,0.53,Resistance
IEI,Daily,118.893,118.6,0.25,Resistance
BABA,Weekly,124.958,125.46,0.4,Support
TRI.TO,Weekly,124.6106,125.56,0.76,Support
ABNB,Daily,127.482,126.28,0.94,Resistance
USO,Weekly,127.36,127.25,0.09,Resistance
USO,Monthly,127.4,127.25,0.12,Resistance
KXS.TO,Weekly,140.215,140.4,0.13,Support
KXS.TO,Daily,139.8917,140.4,0.36,Support
CNR.TO,Monthly,140.195,143.18,2.13,Support
CNR.TO,Weekly,143.6733,143.18,0.34,Resistance
CNR.TO,Daily,144.4475,143.18,0.88,Resistance
PG,Weekly,143.8383,144.44,0.42,Support
PG,Monthly,144.185,144.44,0.18,Support
XLV,Monthly,143.86,146.61,1.91,Support
XLV,Weekly,149.295,146.61,1.8,Resistance
XLV,Daily,149.295,146.61,1.8,Resistance
ORCL,Weekly,149.505,147.11,1.6,Resistance
JPY=X,Weekly,159.617,159.841,0.14,Support
JPY=X,Daily,159.617,159.841,0.14,Support
JPY=X,Monthly,156.1598,159.841,2.36,Support
WIPRO.NS,Daily,187.6062,187.64,0.02,Support
WIPRO.NS,Monthly,190.4575,187.64,1.48,Resistance
WIPRO.NS,Quarterly,185.0312,187.64,1.41,Support
WIPRO.NS,Weekly,189.645,187.64,1.06,Resistance
IWM,Quarterly,241.3233,248.0,2.77,Support
IWM,Weekly,247.4033,248.0,0.24,Support
BPCL.NS,Monthly,275.1375,281.0,2.13,Support
BPCL.NS,Daily,278.775,281.0,0.8,Support
MSFT,Monthly,361.705,370.17,2.34,Support
TSLA,Weekly,378.26,371.75,1.72,Resistance
BRK-B,Daily,480.3875,479.2,0.25,Resistance
BRK-B,Weekly,480.3875,479.2,0.25,Resistance
MA,Daily,494.96,499.66,0.95,Support
MA,Weekly,494.96,499.66,0.95,Support
VGT,Daily,704.335,697.72,0.94,Resistance
HDFCBANK.NS,Weekly,723.125,731.55,1.17,Support
RELIANCE.NS,Daily,1339.3145,1343.9,0.34,Support
RELIANCE.NS,Weekly,1334.0141,1343.9,0.74,Support
RELIANCE.NS,Monthly,1334.0141,1343.9,0.74,Support
ETH-USD,Weekly,2144.0975,2101.5071,1.99,Resistance
ETH-USD,Daily,2128.2922,2101.5071,1.26,Resistance
ETH-USD,Monthly,2144.0975,2101.5071,1.99,Resistance
^NZ50,Quarterly,13041.9167,12779.0996,2.02,Resistance
