Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"GOOG, Long, 2026-03-11 (Price: 308.42)",No Exit Yet,"0.0%, 0 days","91.67%, Past 5 years, 12","Daily, is CONFIRMED on 2026-03-11",Already confirmed,"2026-03-11 (Price: 308.42), 0.0% below",0 days,306.285,No Information,No Information,No Information,"23.66% (Price: 289.2563), 6.63% above, Upmove Bounce Back","2023-03-14 (Price: 92.78), 2026-02-03 (Price: 350.15)",No Information,14.46%/1.56%/10.0%,"3.48%, 43.86%",2 years/25 days/5.4 months,2029-01-16/2026-04-16/2026-10-31,22.02%,19.29%,2.73%,1.63,0.99,347.7127/339.262/462.84/No Horizontal Resistance/480.687/701.5153/No EMA 200 Target,298.3/84.51/306.4481/243.1061/301.0579/270.8888/255.82,94.22%/294/5.4 months (Across ALL Assets),50.0%/54/4.8 months (Across ALL Assets)
FRACTAL TRACK,"SOXX, Long, 2026-03-11 (Price: 342.09)",No Exit Yet,"0.0%, 0 days","85.71%, Past 5 years, 14","Daily, is CONFIRMED on 2026-03-11",Already confirmed,"2026-03-11 (Price: 342.09), 0.0% below",0 days,340.745,No Information,No Information,No Information,"23.66% (Price: 312.6772), 9.41% above, Upmove Bounce Back","2023-04-27 (Price: 131.53), 2026-02-25 (Price: 368.82)",No Information,14.15%/2.41%/10.74%,"10.44%, 40.81%",1.4 year/13 days/4.2 months,2028-03-08/2026-03-29/2026-09-09,24.17%,12.97%,11.2%,1.2,0.63,369.9019/378.8305/484.46/No Horizontal Resistance/358.5021/395.2114/No EMA 200 Target,323.51/110.475/320.8469/267.2317/304.2566/264.5798/282.71,94.22%/294/5.4 months (Across ALL Assets),50.0%/54/4.8 months (Across ALL Assets)
FRACTAL TRACK,"^DJI, Long, 2026-03-11 (Price: 47417.2695)",No Exit Yet,"0.0%, 0 days","94.12%, Past 5 years, 17","Daily, is CONFIRMED on 2026-03-11",Already confirmed,"2026-03-11 (Price: 47417.2695), 0.0% below",0 days,47690.7617,No Information,No Information,No Information,"23.66% (Price: 47223.8106), 0.41% above, Upmove Bounce Back","2025-04-07 (Price: 36611.7812), 2026-02-10 (Price: 50512.7891)",No Information,10.6%/3.85%/8.98%,"1.17%, 21.94%",2.4 years/1.7 month/11.5 months,2029-08-13/2026-05-23/2027-07-23,18.13%,6.69%,11.44%,1.91,0.44,48787.6286/51675.3403/55757.87/No Horizontal Resistance/50924.8674/68852.5953/No EMA 200 Target,45752.26/32614.5825/39844.8882/32997.1394/47223.8106/45202.6041/46414.84,94.22%/294/5.4 months (Across ALL Assets),50.0%/54/4.8 months (Across ALL Assets)
FRACTAL TRACK,"BNS.TO, Long, 2026-03-11 (Price: 96.94)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 6","Daily, is CONFIRMED on 2026-03-11",Already confirmed,"2026-03-11 (Price: 96.94), 0.0% below",0 days,97.05,No Information,No Information,No Information,"23.66% (Price: 94.2784), 2.82% above, Upmove Bounce Back","2023-10-27 (Price: 55.2), 2026-02-23 (Price: 106.39)",No Information,11.46%/10.3%/10.88%,"-0.0%, 19.75%",1.5 year/1.4 month/7.1 months,2028-05-01/2026-05-10/2027-01-13,15.96%,4.96%,11.0%,2.04,0.25,96.3584/107.4871/127.65/No Horizontal Resistance/105.6031/114.0496/No EMA 200 Target,96.23/62.2517/95.6649/90.1456/94.2784/86.8354/89.59,94.22%/294/5.4 months (Across ALL Assets),50.0%/54/4.8 months (Across ALL Assets)
FRACTAL TRACK,"ACWX, Long, 2026-03-11 (Price: 70.22)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 11","Daily, is CONFIRMED on 2026-03-11",Already confirmed,"2026-03-11 (Price: 70.22), 0.0% below",0 days,70.12,No Information,No Information,No Information,"23.66% (Price: 67.8149), 3.55% above, Upmove Bounce Back","2023-10-27 (Price: 44.89), 2026-02-25 (Price: 74.92)",No Information,10.95%/0.24%/9.51%,"0%, 31.47%",3.9 years/2.1 months/1 year,2031-10-04/2026-06-10/2027-08-14,15.62%,3.37%,12.25%,3.17,0.11,71.4067/76.8979/88.24/No Horizontal Resistance/76.2652/83.5436/No EMA 200 Target,69.3/45.07/67.4663/60.1332/66.3764/61.126/65.48,94.22%/294/5.4 months (Across ALL Assets),50.0%/54/4.8 months (Across ALL Assets)
FRACTAL TRACK,"WPM.TO, Long, 2026-03-11 (Price: 202.06)",No Exit Yet,"0.0%, 0 days","95.0%, Past 5 years, 20","Daily, is CONFIRMED on 2026-03-11",Already confirmed,"2026-03-11 (Price: 202.06), 0.0% below",0 days,201.98,No Information,No Information,No Information,"38.2% (Price: 189.6298), 6.55% above, Upmove Bounce Back","2025-10-28 (Price: 129.69), 2026-03-02 (Price: 226.68)",No Information,14.62%/2.13%/10.44%,"0.62%, 39.55%",1.1 year/13 days/4.4 months,2027-10-05/2026-03-29/2026-09-18,33.25%,15.97%,17.28%,1.94,0.81,214.2038/223.1551/260.25/No Horizontal Resistance/255.4169/268.433/No EMA 200 Target,199.72/52.782/196.4576/184.9838/185.3862/160.0095/152.04,94.22%/294/5.4 months (Across ALL Assets),50.0%/54/4.8 months (Across ALL Assets)
FRACTAL TRACK,"C6L.SI, Long, 2026-03-11 (Price: 6.67)",No Exit Yet,"0.0%, 0 days","85.71%, Past 5 years, 14","Daily, is CONFIRMED on 2026-03-11",Already confirmed,"2026-03-11 (Price: 6.67), 0.0% below",0 days,6.65,No Information,No Information,No Information,"78.6% (Price: 6.4376), 3.61% above, Upmove Bounce Back","2025-12-10 (Price: 6.23), 2026-02-27 (Price: 7.2)",No Information,12.26%/1.45%/9.77%,"2.02%, 13.19%",1.2 year/24 days/5.9 months,2027-11-26/2026-04-14/2026-11-22,20.99%,5.6%,15.39%,1.09,0.29,6.7907/7.3217/7.25/6.826/15.4629/16.7442/6.69,6.49/4.7975/No F-Stack Support/No F-Stack Support/No support/No support/No EMA 200 Support,94.22%/294/5.4 months (Across ALL Assets),50.0%/54/4.8 months (Across ALL Assets)
FRACTAL TRACK,"CSCO, Long, 2026-03-11 (Price: 78.1)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 13","Daily, is CONFIRMED on 2026-03-11",Already confirmed,"2026-03-11 (Price: 78.1), 0.0% below",0 days,77.635,No Information,No Information,No Information,"78.6% (Price: 76.0935), 2.64% above, Upmove Bounce Back","2026-01-12 (Price: 72.8), 2026-02-10 (Price: 88.19)",No Information,13.58%/2.93%/10.01%,"0%, 37.04%",3.2 years/1 month/7.1 months,2030-10-04/2026-04-23/2027-01-13,22.72%,7.9%,14.82%,3.15,0.44,79.045/85.9178/87.33/No Horizontal Resistance/81.4336/89.7071/No EMA 200 Target,76.21/40.92/73.1467/64.9561/77.8529/71.5004/72.09,94.22%/294/5.4 months (Across ALL Assets),50.0%/54/4.8 months (Across ALL Assets)
FRACTAL TRACK,"DIA, Long, 2026-03-11 (Price: 474.81)",No Exit Yet,"0.0%, 0 days","94.44%, Past 5 years, 18","Daily, is CONFIRMED on 2026-03-11",Already confirmed,"2026-03-11 (Price: 474.81), 0.0% below",0 days,477.4,No Information,No Information,No Information,"23.66% (Price: 472.4173), 0.51% above, Upmove Bounce Back","2025-04-07 (Price: 366.32), 2026-02-10 (Price: 505.3)",No Information,10.56%/4.34%/8.4%,"2.53%, 21.9%",2.4 years/1.7 month/10.7 months,2029-08-13/2026-05-23/2027-06-18,17.57%,6.62%,10.95%,2.06,0.43,488.3421/514.694/558.2/No Horizontal Resistance/508.5373/687.3389/No EMA 200 Target,458.1/326.1/398.0316/329.7358/472.4173/452.2096/464.35,94.22%/294/5.4 months (Across ALL Assets),50.0%/54/4.8 months (Across ALL Assets)
FRACTAL TRACK,"EEM, Long, 2026-03-11 (Price: 58.83)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 11","Daily, is CONFIRMED on 2026-03-11",Already confirmed,"2026-03-11 (Price: 58.83), 0.0% below",0 days,58.7,No Information,No Information,No Information,"38.2% (Price: 55.3519), 6.28% above, Upmove Bounce Back","2025-04-08 (Price: 38.19), 2026-02-27 (Price: 65.96)",No Information,10.77%/2.11%/8.51%,"-0.0%, 16.11%",1.9 year/1.9 month/8.3 months,2028-11-25/2026-06-01/2027-03-06,13.08%,0.95%,12.13%,1.69,-0.08,59.4712/63.8364/75.49/No Horizontal Resistance/64.643/69.5308/No EMA 200 Target,57.32/36.64/54.2403/No support/57.4755/52.2615/53.3,94.22%/294/5.4 months (Across ALL Assets),50.0%/54/4.8 months (Across ALL Assets)
