Symbol,Interval,Latest Horizontal,Today price,Difference (%),Type
NZDUSD=X,Daily,0.5837,0.5939,1.75,Support
NZDCAD=X,Daily,0.8068,0.8003,0.81,Support
NZDCAD=X,Weekly,0.791,0.8003,1.18,Resistance
EURUSD=X,Daily,1.1455,1.164,1.62,Support
EURUSD=X,Weekly,1.1452,1.164,1.64,Support
GBPUSD=X,Weekly,1.3445,1.3446,0.01,Resistance
GBPUSD=X,Daily,1.3685,1.3446,1.75,Support
CAD=X,Weekly,1.3785,1.3567,1.58,Support
CAD=X,Daily,1.3656,1.3567,0.65,Support
GBPSGD=X,Monthly,1.6701,1.7143,2.65,Support
GBPSGD=X,Daily,1.7306,1.7143,0.94,Resistance
GBPSGD=X,Weekly,1.7483,1.7143,1.95,Support
FBU.NZ,Daily,3.49,3.45,1.15,Support
^TNX,Daily,4.1085,4.136,0.67,Resistance
MEL.NZ,Daily,5.725,5.63,1.66,Support
MEL.NZ,Weekly,5.73,5.63,1.75,Support
C6L.SI,Monthly,6.5913,6.49,1.54,Support
C6L.SI,Daily,6.48,6.49,0.15,Support
AIA.NZ,Weekly,8.9125,8.74,1.94,Resistance
AIA.NZ,Daily,8.8963,8.74,1.76,Support
CNU.NZ,Weekly,9.3875,9.36,0.29,Support
CNU.NZ,Daily,9.18,9.36,1.96,Support
CEN.NZ,Daily,9.365,9.4,0.37,Resistance
IFT.NZ,Daily,10.78,10.84,0.56,Support
SFTBY,Daily,11.9025,11.88,0.19,Support
PFE,Daily,27.204,26.81,1.45,Support
PFE,Weekly,26.4516,26.81,1.35,Resistance
DBC,Daily,26.865,27.14,1.02,Resistance
HDB,Daily,30.1917,29.72,1.56,Support
RINF,Daily,32.3213,31.9302,1.21,Resistance
FPH.NZ,Daily,39.407,39.9,1.25,Resistance
BAC,Daily,48.475,47.9,1.19,Support
IHI,Weekly,58.545,57.34,2.06,Support
IHI,Daily,58.0829,57.34,1.28,Support
BTI,Daily,59.135,58.33,1.36,Support
BIPC.TO,Daily,63.478,62.75,1.15,Support
MX.TO,Weekly,70.755,71.94,1.67,Resistance
HYG,Weekly,79.3333,80.17,1.05,Support
HYG,Daily,79.6567,80.17,0.64,Support
ATD.TO,Daily,80.68,80.88,0.25,Support
JNK,Daily,96.9467,96.43,0.53,Support
JNK,Weekly,96.515,96.43,0.09,Support
SBUX,Daily,97.9,99.77,1.91,Resistance
UPS,Weekly,101.785,99.94,1.81,Support
IEI,Weekly,119.345,119.6,0.21,Resistance
IEI,Daily,118.9111,119.6,0.58,Support
CNR.TO,Daily,144.4475,146.63,1.51,Support
PG,Daily,152.498,155.22,1.78,Support
JPY=X,Daily,159.617,157.534,1.3,Resistance
DOL.TO,Daily,197.56,197.44,0.06,Resistance
BYD.TO,Daily,223.15,223.21,0.03,Support
MA,Daily,526.015,517.72,1.58,Resistance
HDFCBANK.NS,Daily,845.4,840.7,0.56,Support
RELIANCE.NS,Daily,1423.075,1424.0,0.07,Support
ETH-USD,Daily,2024.4983,2028.2628,0.19,Resistance
^NZ50,Weekly,13418.2035,13519.3496,0.75,Support
^NZ50,Daily,13741.665,13519.3496,1.62,Resistance
