"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Divergence Start/End (Date and Price [$]),Divergence Duration (days) (Max/Min/Avg),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"^NSEI, Long, 2026-04-08 (Price: 23997.3496)",No Exit Yet,"0.0%, 0 days","100.0%, Past 6 years, 11","Daily, is Confirmed on 2026-04-08",No Cancellation Possible,"2026-04-08 (Price: 23997.3496), 0.0% below",0 days,2026-03-13 (Price: 23112.0)/2026-03-16 (Price: 22955.25),20 days/1 day/8 days,7.56%/0.14%/1.96%,"0.0%, 8.71%",4.1 months/5 days/1.3 month,2026-10-01/2026-04-15/2026-06-03,8.67%,11.83%,-3.16%,0.0,0.96,25300.4057/24467.6977/25197.22/26106.6328/31657.0022/45908.3871/25184.94,No Recent Minima/16662.0827/22849.1349/17405.6173/No stop loss/22727.0667/No EMA 200 Stop Loss,87.86%/140/29 days (Across ALL Assets),78.27%/497/25 days (Across ALL Assets),23855.1504
"MEL.NZ, Long, 2026-04-08 (Price: 5.56)",No Exit Yet,"0.0%, 0 days","90.48%, Past 6 years, 21","Daily, is Confirmed on 2026-04-08",No Cancellation Possible,"2026-04-08 (Price: 5.56), 0.0% below",0 days,2026-03-16 (Price: 5.32)/2026-03-25 (Price: 5.32),22 days/1 day/7 days,12.66%/0.21%/3.64%,"10.64%, 13.4%",4 months/3 days/1 month,2026-09-28/2026-04-12/2026-05-21,9.84%,2.66%,7.18%,0.0,0.14,5.8374/5.7624/6.06/6.825/No Next Fib Ext/No Next Fib Ext/5.69,No Recent Minima/4.3875/No F-Stack Support/No F-Stack Support/No stop loss/No stop loss/No EMA 200 Stop Loss,87.86%/140/29 days (Across ALL Assets),78.27%/497/25 days (Across ALL Assets),5.58
"NIFTY_MIDCAP_100.NS, Long, 2026-04-07 (Price: 54600.5508)",No Exit Yet,"4.03%, 1 day","100.0%, Past 6 years, 11","Daily, is Confirmed on 2026-04-07",No Cancellation Possible,"2026-04-08 (Price: 56799.5), 4.03% above",1 day,2026-03-23 (Price: 52573.5508)/2026-04-02 (Price: 52032.8516),20 days/1 day/10 days,11.74%/1.13%/3.01%,"0.0%, 8.35%",3.2 months/8 days/1.3 month,2026-08-24/2026-04-18/2026-06-02,9.37%,19.35%,-9.98%,0.0,1.47,59203.3772/56244.0274/60060.61/60128.6094/69983.5191/76335.2565/58589.64,No Recent Minima/26608.2998/51648.171/44465.2214/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,87.86%/140/29 days (Across ALL Assets),78.27%/497/25 days (Across ALL Assets),54218.8984
"SUM.NZ, Long, 2026-04-07 (Price: 8.93)",No Exit Yet,"1.46%, 1 day","84.21%, Past 6 years, 19","Daily, is Confirmed on 2026-04-07",No Cancellation Possible,"2026-04-08 (Price: 9.06), 1.46% above",1 day,2026-03-23 (Price: 8.99)/2026-03-31 (Price: 8.82),13 days/1 day/6 days,8.53%/0.08%/2.55%,"11.53%, 11.95%",4.1 months/3 days/1.1 month,2026-09-30/2026-04-11/2026-05-24,3.69%,5.55%,-1.86%,0.0,0.28,9.2693/9.1577/9.64/12.55/19.8479/26.5969/11.29,No Recent Minima/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,87.86%/140/29 days (Across ALL Assets),78.27%/497/25 days (Across ALL Assets),8.93
"HDFCBANK.NS, Long, 2026-04-06 (Price: 771.0)",No Exit Yet,"5.85%, 2 days","80.0%, Past 6 years, 20","Daily, is Confirmed on 2026-04-06",No Cancellation Possible,"2026-04-08 (Price: 816.1), 5.85% above",2 days,2026-03-24 (Price: 747.7)/2026-03-30 (Price: 726.65),21 days/1 day/5 days,6.75%/0.15%/2.34%,"12.51%, 12.74%",3.3 months/3 days/1.1 month,2026-08-27/2026-04-10/2026-05-23,-0.37%,6.52%,-6.89%,0.0,0.35,802.3026/789.0414/817.26/1009.6/1098.0619/1180.6259/954.66,No Recent Minima/640.9/765.1075/697.8792/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,87.86%/140/29 days (Across ALL Assets),78.27%/497/25 days (Across ALL Assets),759.0
"TCS.NS, Long, 2026-04-06 (Price: 2473.8999)",No Exit Yet,"3.45%, 2 days","85.0%, Past 6 years, 20","Daily, is Confirmed on 2026-04-06",No Cancellation Possible,"2026-04-08 (Price: 2559.2), 3.45% above",2 days,2026-03-13 (Price: 2397.0)/2026-03-17 (Price: 2360.0),20 days/2 days/6 days,9.99%/0.02%/2.89%,"10.44%, 10.44%",1 month/6 days/17 days,2026-05-19/2026-04-14/2026-04-30,5.65%,3.94%,1.71%,1.18,0.18,2560.239/2545.3956/2597.59/4543.575/5901.7523/6711.0756/3033.11,No Recent Minima/No Horizontal Support/2286.8248/1821.1782/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,87.86%/140/29 days (Across ALL Assets),78.27%/497/25 days (Across ALL Assets),2474.0
"BDL.NS, Long, 2026-04-02 (Price: 1185.6)",2026-04-08 (Price: 1291.4),"8.92%, 6 days","80.0%, Past 6 years, 15","Daily, is Confirmed on 2026-04-02",No Cancellation Possible,"2026-04-08 (Price: 1291.4), 8.92% above",6 days,2026-03-24 (Price: 1153.0)/2026-03-30 (Price: 1086.0),16 days/1 day/6 days,8.19%/0.23%/4.41%,"13.23%, 14.91%",1.1 month/2 days/11 days,2026-05-19/2026-04-04/2026-04-17,5.26%,34.56%,-29.3%,0.0,1.44,1272.8602/1237.885/1256.74/1627.1/2336.9032/2616.0038/1504.94,No Recent Minima/184.5375/1101.1152/1023.7762/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,87.86%/140/29 days (Across ALL Assets),78.27%/497/25 days (Across ALL Assets),1174.0
"BN.TO, Long, 2026-03-25 (Price: 55.16)",2026-04-07 (Price: 56.7),"2.79%, 13 days","100.0%, Past 2 years, 6","Daily, is Confirmed on 2026-03-25",No Cancellation Possible,"2026-04-07 (Price: 56.7), 2.79% above",13 days,2026-03-16 (Price: 52.88)/2026-03-20 (Price: 52.04),9 days/2 days/4 days,7.72%/0.66%/5.0%,"-0.0%, 3.47%",21 days/6 days/13 days,2026-04-24/2026-04-02/2026-04-12,17.11%,17.9%,-0.79%,4.37,0.95,60.3285/57.918/57.92/68.4166/68.7243/74.8784/61.49,No Recent Minima/41.16/52.8663/46.8365/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,87.86%/140/29 days (Across ALL Assets),78.27%/497/25 days (Across ALL Assets),55.0
"EWJ, Long, 2026-03-25 (Price: 84.75)",2026-04-06 (Price: 85.57),"0.97%, 12 days","100.0%, Past 6 years, 18","Daily, is Confirmed on 2026-03-25",No Cancellation Possible,"2026-04-07 (Price: 85.51), 0.9% above",13 days,2026-03-16 (Price: 84.52)/2026-03-20 (Price: 80.855),27 days/1 day/8 days,7.26%/0.19%/2.0%,"0.0%, 8.76%",2.1 months/3 days/16 days,2026-06-24/2026-03-29/2026-04-17,10.06%,6.49%,3.57%,0.0,0.37,89.0045/86.445/88.99/No Horizontal Resistance/95.5508/104.8752/No EMA 200 Target,No Recent Minima/53.915/83.4752/68.8472/No F-Track Level/No F-Track Level/81.72,87.86%/140/29 days (Across ALL Assets),78.27%/497/25 days (Across ALL Assets),84.97
"^BVSP, Long, 2026-03-24 (Price: 182509.0)",2026-04-07 (Price: 188258.9062),"3.15%, 14 days","87.5%, Past 6 years, 16","Daily, is Confirmed on 2026-03-24",No Cancellation Possible,"2026-04-07 (Price: 188258.9062), 3.15% above",14 days,2026-03-16 (Price: 177656.0)/2026-03-20 (Price: 175039.0),21 days/1 day/9 days,12.47%/0.77%/3.77%,"11.51%, 11.76%",1.4 month/7 days/24 days,2026-05-23/2026-04-03/2026-04-27,7.29%,11.07%,-3.78%,0.0,0.74,190867.9122/189389.5893/191634.45/No Horizontal Resistance/192289.6/275648.698/No EMA 200 Target,No Recent Minima/96132.0/173653.968/121313.6/No F-Track Level/No F-Track Level/156371.64,87.86%/140/29 days (Across ALL Assets),78.27%/497/25 days (Across ALL Assets),181932.0
