Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"FPH.NZ, Long, 2026-03-12 (Price: 38.9)",No Exit Yet,"0.0%, 0 days","90.0%, Past 5 years, 10","Daily, is CONFIRMED on 2026-03-12",Already confirmed,"2026-03-12 (Price: 38.9), 0.0% below",0 days,38.84,No Information,No Information,No Information,"38.2% (Price: 38.8597), 0.1% above, Upmove Bounce Back","2025-10-23 (Price: 34.75), 2026-03-03 (Price: 41.4)",No Information,10.94%/2.55%/7.81%,"1.6%, 46.76%",3.3 years/28 days/1.1 year,2030-11-26/2026-04-21/2027-10-06,8.47%,1.81%,6.66%,1.1,0.09,39.9114/41.9381/42.89/39.407/40.9296/48.5677/No EMA 200 Target,38.07/22.5167/30.9793/26.1935/35.8683/32.4688/37.49,94.22%/294/5.5 months (Across ALL Assets),50.0%/54/4.8 months (Across ALL Assets)
DELTADRIFT,"BPCL.NS, Long, 2026-03-12 (Price: 326.35)",No Exit Yet,"0.0%, 0 days","80.0%, Past 4 years, 10","Daily, is CONFIRMED on 2026-03-12",Already confirmed,"2026-03-12 (Price: 326.35), 0.0% below",0 days,318.7,No Information,No Information,No Information,No Information,No Information,No Information,5.64%/2.52%/4.01%,"9.33%, 10.91%",1.2 month/2 days/9 days,2026-05-03/2026-03-14/2026-03-25,6.09%,8.96%,-2.87%,0.22,0.48,349.7819/339.4366/344.61/378.775/420.2463/457.942/345.01,325.05/145.35/313.3339/299.553/No support/312.83/No EMA 200 Support,82.98%/141/14 days (Across ALL Assets),74.18%/519/15 days (Across ALL Assets)
SIGMASHELL,"NVO, Long, 2026-03-12 (Price: 38.02)",No Exit Yet,"0.0%, 0 days","81.82%, Past 5 years, 11","Daily, is CONFIRMED on 2026-03-12",Already confirmed,"2026-03-12 (Price: 38.02), 0.0% below",0 days,38.68,"-7.52, 87.5%",No Information,No Information,No Information,No Information,No Information,22.44%/14.95%/18.7%,"28.06%, 44.04%",6.4 months/2.4 months/4.4 months,2026-12-15/2026-06-24/2026-09-19,-0.56%,9.2%,-9.76%,-0.04,0.47,38.8222/45.1297/159.2295/139.01/159.2295/189.8872/55.89,36.66/No Horizontal Support/35.0006/32.645/No support/No support/No EMA 200 Support,70.0%/40/4.3 months (Across ALL Assets),65.83%/240/3.7 months (Across ALL Assets)
FRACTAL TRACK,"GOOG, Long, 2026-03-11 (Price: 308.42)",No Exit Yet,"-1.69%, 1 day","91.67%, Past 5 years, 12","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-12 (Price: 303.21), 1.69% below",1 day,306.285,No Information,No Information,No Information,"23.66% (Price: 289.2563), 4.82% above, Upmove Bounce Back","2023-03-14 (Price: 92.78), 2026-02-03 (Price: 350.15)",No Information,14.46%/1.56%/10.0%,"3.48%, 43.86%",2 years/25 days/5.4 months,2029-01-16/2026-04-16/2026-10-31,22.02%,19.29%,2.73%,1.63,0.99,347.7127/339.262/462.84/No Horizontal Resistance/345.4418/365.3613/No EMA 200 Target,298.3/84.51/285.4807/240.3589/No F-Track Level/No F-Track Level/256.49,94.22%/294/5.5 months (Across ALL Assets),50.0%/54/4.8 months (Across ALL Assets)
FRACTAL TRACK,"SOXX, Long, 2026-03-11 (Price: 342.09)",No Exit Yet,"-3.48%, 1 day","85.71%, Past 5 years, 14","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-12 (Price: 330.19), 3.48% below",1 day,340.745,No Information,No Information,No Information,"23.66% (Price: 312.6772), 5.6% above, Upmove Bounce Back","2023-04-27 (Price: 131.53), 2026-02-25 (Price: 368.82)",No Information,14.15%/2.41%/10.74%,"10.44%, 40.81%",1.4 year/13 days/4.2 months,2028-03-08/2026-03-29/2026-09-09,24.17%,12.97%,11.2%,1.2,0.63,369.9019/378.8305/484.46/No Horizontal Resistance/411.0319/449.8184/No EMA 200 Target,323.51/110.475/301.3628/285.4342/No F-Track Level/No F-Track Level/283.35,94.22%/294/5.5 months (Across ALL Assets),50.0%/54/4.8 months (Across ALL Assets)
FRACTAL TRACK,"^DJI, Long, 2026-03-11 (Price: 47417.2695)",No Exit Yet,"-1.56%, 1 day","94.12%, Past 5 years, 17","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-12 (Price: 46677.8516), 1.56% below",1 day,47690.7617,No Information,No Information,No Information,"23.66% (Price: 47223.8106), 1.16% below, Upmove Bounce Back","2025-04-07 (Price: 36611.7812), 2026-02-10 (Price: 50512.7891)",No Information,10.6%/3.85%/8.98%,"1.17%, 21.94%",2.4 years/1.7 month/11.5 months,2029-08-13/2026-05-23/2027-07-23,18.13%,6.69%,11.44%,1.91,0.44,48787.6286/51675.3403/55757.87/No Horizontal Resistance/54129.8938/83218.843/No EMA 200 Target,45752.26/32614.5825/36151.8794/25040.9446/No F-Track Level/No F-Track Level/46440.22,94.22%/294/5.5 months (Across ALL Assets),50.0%/54/4.8 months (Across ALL Assets)
FRACTAL TRACK,"BNS.TO, Long, 2026-03-11 (Price: 96.94)",No Exit Yet,"-1.63%, 1 day","100.0%, Past 5 years, 6","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-12 (Price: 95.36), 1.63% below",1 day,97.05,No Information,No Information,No Information,"23.66% (Price: 94.2784), 1.15% above, Upmove Bounce Back","2023-10-27 (Price: 55.2), 2026-02-23 (Price: 106.39)",No Information,11.46%/10.3%/10.88%,"-0.0%, 19.75%",1.5 year/1.4 month/7.1 months,2028-05-01/2026-05-10/2027-01-13,15.96%,4.96%,11.0%,2.04,0.25,96.3584/107.4871/127.65/No Horizontal Resistance/113.9126/137.6923/No EMA 200 Target,96.23/62.2517/92.969/69.3218/No F-Track Level/No F-Track Level/89.71,94.22%/294/5.5 months (Across ALL Assets),50.0%/54/4.8 months (Across ALL Assets)
FRACTAL TRACK,"ACWX, Long, 2026-03-11 (Price: 70.22)",No Exit Yet,"-2.01%, 1 day","100.0%, Past 5 years, 11","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-12 (Price: 68.81), 2.01% below",1 day,70.12,No Information,No Information,No Information,"23.66% (Price: 67.8149), 1.47% above, Upmove Bounce Back","2023-10-27 (Price: 44.89), 2026-02-25 (Price: 74.92)",No Information,10.95%/0.24%/9.51%,"0%, 31.47%",3.9 years/2.1 months/1 year,2031-10-04/2026-06-10/2027-08-14,15.62%,3.37%,12.25%,3.17,0.11,71.4067/76.8979/88.24/No Horizontal Resistance/76.9985/87.9979/No EMA 200 Target,69.3/45.07/69.6679/61.9685/No F-Track Level/No F-Track Level/65.52,94.22%/294/5.5 months (Across ALL Assets),50.0%/54/4.8 months (Across ALL Assets)
FRACTAL TRACK,"WPM.TO, Long, 2026-03-11 (Price: 202.06)",No Exit Yet,"-1.59%, 1 day","95.0%, Past 5 years, 20","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-12 (Price: 198.85), 1.59% below",1 day,201.98,No Information,No Information,No Information,"38.2% (Price: 189.6298), 4.86% above, Upmove Bounce Back","2025-10-28 (Price: 129.69), 2026-03-02 (Price: 226.68)",No Information,14.62%/2.13%/10.44%,"0.62%, 39.55%",1.1 year/13 days/4.4 months,2027-10-05/2026-03-29/2026-09-18,33.25%,15.97%,17.28%,1.94,0.81,214.2038/223.1551/260.25/No Horizontal Resistance/235.0118/253.398/No EMA 200 Target,199.72/52.782/174.4202/158.548/No F-Track Level/No F-Track Level/152.44,94.22%/294/5.5 months (Across ALL Assets),50.0%/54/4.8 months (Across ALL Assets)
FRACTAL TRACK,"C6L.SI, Long, 2026-03-11 (Price: 6.67)",No Exit Yet,"0.0%, 1 day","85.71%, Past 5 years, 14","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-12 (Price: 6.67), 0.0% below",1 day,6.65,No Information,No Information,No Information,"78.6% (Price: 6.4376), 3.61% above, Upmove Bounce Back","2025-12-10 (Price: 6.23), 2026-02-27 (Price: 7.2)",No Information,12.26%/1.45%/9.77%,"2.02%, 13.19%",1.2 year/24 days/5.9 months,2027-11-26/2026-04-14/2026-11-22,20.99%,5.6%,15.39%,1.09,0.29,6.7907/7.3217/7.25/6.826/15.377/16.6022/6.69,6.49/4.7975/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,94.22%/294/5.5 months (Across ALL Assets),50.0%/54/4.8 months (Across ALL Assets)
