Symbol,Interval,Latest Horizontal,Current Price,Difference (%),Type
NZDUSD=X,Daily,0.5837,0.5758,1.35,Resistance
NZDCAD=X,Daily,0.7834,0.7897,0.8,Support
NZDCAD=X,Weekly,0.791,0.7897,0.16,Resistance
USDCHF=X,Daily,0.798,0.7924,0.7,Resistance
EURUSD=X,Daily,1.175,1.175,0.0,Support
GBPUSD=X,Daily,1.3631,1.3474,1.15,Resistance
GBPUSD=X,Weekly,1.3445,1.3474,0.22,Support
CAD=X,Daily,1.3921,1.3687,1.68,Resistance
CAD=X,Weekly,1.3724,1.3687,0.27,Resistance
GBPSGD=X,Weekly,1.7483,1.7286,1.13,Resistance
GBPSGD=X,Daily,1.7443,1.7286,0.9,Resistance
GNE.NZ,Weekly,2.3525,2.4,2.02,Support
^TNX,Daily,4.1085,4.163,1.33,Support
MEL.NZ,Weekly,5.73,5.6,2.27,Resistance
C6L.SI,Daily,6.48,6.4,1.23,Resistance
C6L.SI,Monthly,6.5913,6.4,2.9,Resistance
MCY.NZ,Daily,6.575,6.48,1.44,Resistance
AIA.NZ,Weekly,8.295,8.33,0.42,Support
AIA.NZ,Daily,8.365,8.33,0.42,Resistance
CEN.NZ,Daily,9.4367,9.25,1.98,Resistance
CNU.NZ,Weekly,9.3875,9.4,0.13,Support
ATM.NZ,Daily,10.965,10.78,1.69,Resistance
IFT.NZ,Daily,10.87,11.08,1.93,Support
BYDDY,Weekly,12.0509,12.11,0.49,Support
INFY,Daily,17.818,17.82,0.01,Support
DBC,Weekly,21.835,22.36,2.4,Support
GLXY,Daily,22.14,22.36,0.99,Support
EBO.NZ,Daily,28.005,27.62,1.37,Resistance
JD,Daily,28.38,28.7,1.13,Support
RINF,Daily,32.33,32.205,0.39,Resistance
KWEB,Daily,34.595,34.05,1.58,Resistance
FPH.NZ,Daily,37.54,37.75,0.56,Support
FXI,Weekly,37.755,38.29,1.42,Support
XLE,Daily,43.9862,44.71,1.65,Support
CNQ.TO,Daily,46.105,46.49,0.84,Support
INDY,Daily,49.0133,49.29,0.56,Support
NVO,Daily,50.3825,50.88,0.99,Support
PYPL,Daily,58.475,58.38,0.16,Resistance
IHI,Daily,62.445,62.15,0.47,Resistance
BIPC.TO,Daily,63.1517,62.31,1.33,Resistance
HYG,Weekly,78.975,80.63,2.1,Support
HYG,Daily,80.075,80.63,0.69,Support
UBER,Daily,82.12,81.71,0.5,Resistance
SJ.TO,Daily,84.3925,85.13,0.87,Support
TLT,Daily,85.9033,87.16,1.46,Support
JNK,Weekly,96.515,97.21,0.72,Support
JNK,Daily,96.8482,97.21,0.37,Support
DIS,Weekly,114.645,113.77,0.76,Resistance
IEI,Weekly,119.345,119.35,0.0,Support
IEI,Daily,118.72,119.35,0.53,Support
XLY,Daily,121.1117,119.41,1.41,Resistance
GILD,Daily,120.895,122.74,1.53,Support
CNR.TO,Daily,138.38,135.75,1.9,Resistance
TFII.TO,Daily,141.86,141.87,0.01,Support
PG,Daily,142.22,143.31,0.77,Support
KXS.TO,Daily,171.3157,173.08,1.03,Support
IWM,Weekly,244.72,246.16,0.59,Support
MCD,Weekly,300.87,305.63,1.58,Support
BPCL.NS,Daily,378.775,384.0,1.38,Support
HDFCBANK.NS,Daily,1009.6,991.2,1.82,Resistance
^NZ50,Weekly,13418.2035,13548.4199,0.97,Support
^NSEI,Daily,25973.3496,26129.5996,0.6,Support
NIFTY_MIDCAP_100.NS,Daily,60182.9323,60484.5,0.5,Support
