Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"^GSPC, Long, 2026-04-01 (Price: 6575.3198)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 19","Daily, is CONFIRMED on 2026-04-01",Already confirmed,"2026-04-01 (Price: 6575.3198), 0.0% below",0 days,6556.5601,No Information,No Information,No Information,"23.66% (Price: 6303.3634), 4.31% above, Upmove Bounce Back","2023-05-04 (Price: 4048.28), 2026-01-28 (Price: 7002.2798)",No Information,11.26%/5.29%/10.12%,"-0.0%, 25.43%",2.4 years/1.6 month/9.9 months,2029-09-03/2026-06-09/2027-06-05,23.29%,7.01%,16.28%,0.0,0.44,6783.7574/7240.7422/8347.72/6961.3098/7259.3705/8120.6965/6641.85,6343.72/4106.4632/6483.7743/5939.2254/6171.6483/5661.1925/No EMA 200 Stop Loss,91.75%/303/4.9 months (Across ALL Assets),60.59%/170/4.2 months (Across ALL Assets)
FRACTAL TRACK,"JETS, Long, 2026-04-01 (Price: 25.27)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 12","Daily, is CONFIRMED on 2026-04-01",Already confirmed,"2026-04-01 (Price: 25.27), 0.0% below",0 days,25.07,No Information,No Information,No Information,"50% (Price: 23.01), 9.82% above, Upmove Bounce Back","2023-10-31 (Price: 14.69), 2026-02-11 (Price: 31.33)",No Information,14.59%/0.97%/10.68%,"-0.0%, 40.54%",3.2 years/2.4 months/1.2 year,2030-10-25/2026-07-14/2027-12-17,16.78%,-1.3%,18.08%,0.0,-0.04,26.9328/27.9688/35.25/27.1773/36.0778/41.7471/26.03,23.64/14.732/No F-Stack Support/No F-Stack Support/23.6594/21.29/No EMA 200 Stop Loss,91.75%/303/4.9 months (Across ALL Assets),60.59%/170/4.2 months (Across ALL Assets)
FRACTAL TRACK,"SPY, Long, 2026-04-01 (Price: 655.24)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 20","Daily, is CONFIRMED on 2026-04-01",Already confirmed,"2026-04-01 (Price: 655.24), 0.0% below",0 days,653.9,No Information,No Information,No Information,"23.66% (Price: 628.2559), 4.3% above, Upmove Bounce Back","2023-05-04 (Price: 403.74), 2026-01-28 (Price: 697.84)",No Information,11.32%/6.98%/10.07%,"-0.0%, 25.36%",2.4 years/1.4 month/9.5 months,2029-09-03/2026-05-31/2027-05-18,24.06%,7.0%,17.06%,0.0,0.43,675.8801/721.2227/831.7/693.77/737.061/912.7117/662.31,631.97/412.1625/594.461/499.7412/615.0939/564.2431/No EMA 200 Stop Loss,91.75%/303/4.9 months (Across ALL Assets),60.59%/170/4.2 months (Across ALL Assets)
TRENDPULSE,"SLV, Long, 2026-04-01 (Price: 68.14)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 10","Daily, is CONFIRMED on 2026-04-01",Already confirmed,"2026-04-01 (Price: 68.14), 0.0% below",0 days,67.96,No Information,No Information,No Information,No Information,No Information,7.27% above/0.0% below/0.0% below,9.5%/2.69%/4.47%,"0%, 15.17%",3 months/8 days/29 days,2026-08-09/2026-04-12/2026-05-13,13.74%,21.25%,-7.51%,0.0,1.01,79.7988/71.1859/78.42/No Horizontal Resistance/94.8082/101.3904/No EMA 200 Target,60.77/18.99/67.0665/48.8956/64.4/53.6785/52.68,91.82%/330/1.3 month (Across ALL Assets),77.65%/783/1.6 month (Across ALL Assets)
TRENDPULSE,"MAR, Long, 2026-04-01 (Price: 333.46)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 18","Daily, is CONFIRMED on 2026-04-01",Already confirmed,"2026-04-01 (Price: 333.46), 0.0% below",0 days,329.64,No Information,No Information,No Information,No Information,No Information,1.95% above/0.0% below/0.0% below,7.63%/1.46%/3.56%,"0%, 12.09%",2.9 months/6 days/29 days,2026-08-05/2026-04-09/2026-05-13,21.38%,19.83%,1.55%,0.0,0.95,362.7711/345.3312/355.38/No Horizontal Resistance/355.3234/374.3581/No EMA 200 Target,317.54/129.12/313.5051/297.0775/331.0556/307.1228/292.56,91.82%/330/1.3 month (Across ALL Assets),77.65%/783/1.6 month (Across ALL Assets)
SIGMASHELL,"NZDCAD=X, Long, 2026-04-01 (Price: 0.7998)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 11","Daily, is CONFIRMED on 2026-04-01",Already confirmed,"2026-04-01 (Price: 0.7998), 0.0% below",0 days,0.7999,"-6.11, 76.93%",No Information,No Information,No Information,No Information,No Information,7.66%/0.38%/3.08%,"0%, 12.49%",10.6 months/1.6 month/4.3 months,2027-07-05/2026-06-09/2026-10-04,8.0%,-0.2%,8.2%,0.0,-0.45,0.8084/0.8244/No Target/0.8902/No Next Fib Ext/No Next Fib Ext/0.81,0.79/0.7834/No F-Stack Support/No F-Stack Support/No stop loss/No stop loss/No EMA 200 Stop Loss,64.0%/50/4.5 months (Across ALL Assets),59.47%/301/3.6 months (Across ALL Assets)
SIGMASHELL,"SPY, Long, 2026-04-01 (Price: 655.24)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 9","Daily, is CONFIRMED on 2026-04-01",Already confirmed,"2026-04-01 (Price: 655.24), 0.0% below",0 days,653.9,"-4.8, 90.62%",No Information,No Information,No Information,No Information,No Information,11.94%/1.85%/7.88%,"0%, 14.73%",4.2 months/1.2 month/2.5 months,2026-09-30/2026-05-23/2026-07-18,21.71%,5.84%,15.87%,0.0,0.32,666.3791/706.8729/737.061/693.77/737.061/912.7117/662.31,631.97/412.1625/594.461/499.7412/No stop loss/No stop loss/No EMA 200 Stop Loss,64.0%/50/4.5 months (Across ALL Assets),59.47%/301/3.6 months (Across ALL Assets)
SIGMASHELL,"DOL.TO, Long, 2026-04-01 (Price: 171.3)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 6","Daily, is CONFIRMED on 2026-04-01",Already confirmed,"2026-04-01 (Price: 171.3), 0.0% below",0 days,173.34,"-7.08, 100.0%",No Information,No Information,No Information,No Information,No Information,16.48%/8.81%/10.99%,"-0.0%, 7.51%",3.2 months/1.3 month/2.2 months,2026-08-18/2026-05-27/2026-07-05,15.04%,18.28%,-3.24%,0.0,1.14,177.4839/190.1259/252.753/197.56/252.753/384.8349/190.84,166.76/53.2967/171.1219/120.6711/No stop loss/No stop loss/No EMA 200 Stop Loss,64.0%/50/4.5 months (Across ALL Assets),59.47%/301/3.6 months (Across ALL Assets)
SIGMASHELL,"EFN.TO, Long, 2026-04-01 (Price: 30.49)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 4","Daily, is CONFIRMED on 2026-04-01",Already confirmed,"2026-04-01 (Price: 30.49), 0.0% below",0 days,30.24,"-6.37, 68.19%",No Information,No Information,No Information,No Information,No Information,18.68%/7.29%/12.3%,"-0.0%, 21.09%",7.7 months/3.3 months/5.5 months,2027-03-01/2026-08-22/2026-11-25,10.28%,9.51%,0.77%,0.0,0.48,31.8468/34.2403/48.884/34.925/48.884/73.5584/35.31,29.95/12.67/24.2096/18.3848/No stop loss/No stop loss/No EMA 200 Stop Loss,64.0%/50/4.5 months (Across ALL Assets),59.47%/301/3.6 months (Across ALL Assets)
SIGMASHELL,"AVGO, Long, 2026-04-01 (Price: 313.49)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 6","Daily, is CONFIRMED on 2026-04-01",Already confirmed,"2026-04-01 (Price: 313.49), 0.0% below",0 days,313.365,"-3.06, 76.39%",No Information,No Information,No Information,No Information,No Information,66.15%/7.36%/28.25%,"-0.0%, 41.48%",10.4 months/1.2 month/3.9 months,2027-06-26/2026-05-23/2026-09-17,34.72%,24.65%,10.07%,0.0,1.13,321.5153/402.0509/614.017/No Horizontal Resistance/614.017/964.4454/327.53,293.41/64.6905/263.5886/180.8638/No stop loss/No stop loss/No EMA 200 Stop Loss,64.0%/50/4.5 months (Across ALL Assets),59.47%/301/3.6 months (Across ALL Assets)
