"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"GS, Long, 2026-03-27 (Price: 802.89)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 13","Weekly, is CONFIRMED on 2026-03-27",Already confirmed,"2026-03-27 (Price: 802.89), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 782.6791),2.58% above,"2020-03-22 (Price: 130.85), 2026-01-18 (Price: 984.7)",25.08%/15.16%/18.88%,"0%, 50.45%",5 years/1.4 month/1.5 year,2033-05-16/2026-05-26/2028-05-17,11.71%,6.74%,4.97%,5.31,0.34,869.3693/954.4756/1315.2/No Horizontal Resistance/973.4919/1057.8628/804.34,782.21/288.555/728.9736/668.8811/No stop loss/719.0801/No EMA 200 Stop Loss,91.23%/57/1.5 year (Across ALL Assets),54.19%/155/7.7 months (Across ALL Assets),833.0
"JETS, Long, 2026-03-27 (Price: 24.13)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 7","Weekly, is CONFIRMED on 2026-03-27",Already confirmed,"2026-03-27 (Price: 24.13), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 24.22),0.37% below,"2025-04-13 (Price: 17.11), 2026-02-15 (Price: 31.33)",23.0%/17.86%/19.3%,"-0.0%, 17.18%",8.6 months/1.9 month/4.4 months,2027-04-04/2026-06-17/2026-10-04,12.57%,0.36%,12.21%,1.13,0.06,25.3823/28.7871/32.66/27.1773/36.0778/41.7471/26.0,24.05/14.732/No F-Stack Support/No F-Stack Support/No stop loss/No stop loss/No EMA 200 Stop Loss,91.23%/57/1.5 year (Across ALL Assets),54.19%/155/7.7 months (Across ALL Assets),25.2
"JPM, Long, 2026-03-27 (Price: 282.84)",No Exit Yet,"0.0%, 0 days","93.75%, Past 20 years, 16","Weekly, is CONFIRMED on 2026-03-27",Already confirmed,"2026-03-27 (Price: 282.84), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 281.4195),0.5% above,"2022-10-16 (Price: 101.28), 2026-01-11 (Price: 337.25)",22.59%/15.01%/17.15%,"6.94%, 37.49%",2.2 years/7 days/9.9 months,2029-05-17/2026-04-06/2027-05-31,15.25%,7.42%,7.83%,2.32,0.37,315.6494/331.3471/424.42/No Horizontal Resistance/349.5825/373.4732/301.92,210.28/125.7575/272.4366/242.2068/281.4195/247.1095/No EMA 200 Stop Loss,91.23%/57/1.5 year (Across ALL Assets),54.19%/155/7.7 months (Across ALL Assets),294.31
"PG, Long, 2026-03-27 (Price: 142.71)",No Exit Yet,"0.0%, 0 days","79.17%, Past 39 years, 24","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 137.62 prior to 2026-03-31,"2026-03-27 (Price: 142.71), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 137.9487),3.45% above,"1962-06-30 (Price: 0.8809), 2024-11-30 (Price: 180.43)",28.68%/2.46%/20.12%,"29.44%, 32.8%",5.2 years/4.1 months/1.4 year,2033-08-28/2026-09-19/2028-03-24,5.59%,5.32%,0.27%,0.88,0.27,154.9973/171.4233/250.44/179.4533/202.162/210.6287/152.35,126.25/130.72/124.1296/103.7096/No stop loss/134.6455/No EMA 200 Stop Loss,92.11%/38/1.6 year (Across ALL Assets),62.26%/53/9.7 months (Across ALL Assets),165.29
"ASHR, Long, 2026-03-26 (Price: 31.91)",No Exit Yet,"0.28%, 1 day","100.0%, Past 5 years, 12","Daily, was CONFIRMED on 2026-03-26",Already confirmed,"2026-03-27 (Price: 32.0), 0.28% above",1 day,Upmove Bounce Back,23.66% (Price: 31.7285),0.86% above,"2025-04-07 (Price: 23.27), 2026-01-12 (Price: 34.35)",17.94%/2.73%/10.86%,"-0.0%, 32.83%",2.3 years/1.7 month/10.3 months,2029-07-05/2026-06-07/2027-06-16,18.64%,-2.16%,20.8%,1.79,-0.19,No Target/35.3754/38.56/39.9467/60.2967/80.3432/No EMA 200 Target,31.79/23.36/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/31.78,91.54%/272/5.5 months (Across ALL Assets),48.08%/52/5.4 months (Across ALL Assets),32.09
"FRW.NZ, Long, 2026-03-26 (Price: 12.58)",No Exit Yet,"-2.23%, 1 day","88.89%, Past 5 years, 9","Daily, was CONFIRMED on 2026-03-26",Already confirmed,"2026-03-27 (Price: 12.3), 2.23% below",1 day,Upmove Bounce Back,38.2% (Price: 12.2169),0.68% above,"2023-10-30 (Price: 7.31), 2026-02-12 (Price: 15.25)",13.53%/1.54%/10.4%,"4.41%, 40.87%",3.7 years/3.6 months/1.2 year,2031-07-07/2026-08-29/2027-12-11,11.59%,4.86%,6.73%,1.04,0.24,12.9071/13.8883/17.34/14.94/16.2179/21.849/13.08,12.35/7.405/11.0078/7.8689/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,91.54%/272/5.5 months (Across ALL Assets),48.08%/52/5.4 months (Across ALL Assets),12.41
"BTI, Long, 2026-03-25 (Price: 58.45)",No Exit Yet,"-1.11%, 2 days","100.0%, Past 5 years, 12","Daily, was CONFIRMED on 2026-03-25",Already confirmed,"2026-03-27 (Price: 57.8), 1.11% below",2 days,Upmove Bounce Back,50% (Price: 58.2488),0.77% below,"2026-01-07 (Price: 53.28), 2026-02-25 (Price: 63.2176)",11.33%/1.41%/8.86%,"-0.0%, 37.23%",3.3 years/1.4 month/1.2 year,2030-12-09/2026-05-24/2027-12-10,11.0%,5.81%,5.19%,1.67,0.3,63.1786/63.6287/64.41/59.135/82.226/92.0468/No EMA 200 Target,57.37/28.5067/52.4418/49.3734/No F-Track Level/No F-Track Level/55.44,91.54%/272/5.5 months (Across ALL Assets),48.08%/52/5.4 months (Across ALL Assets),58.145
"BPCL.NS, Long, 2026-03-25 (Price: 284.55)",No Exit Yet,"-0.65%, 2 days","86.67%, Past 5 years, 15","Daily, was CONFIRMED on 2026-03-25",Already confirmed,"2026-03-27 (Price: 282.7), 0.65% below",2 days,Upmove Bounce Back,50% (Price: 273.6375),3.31% above,"2023-10-26 (Price: 165.725), 2025-11-17 (Price: 381.55)",12.45%/1.92%/10.29%,"11.24%, 36.83%",2.2 years/1.2 month/9.6 months,2029-05-15/2026-05-16/2027-05-16,15.95%,8.45%,7.5%,1.08,0.45,301.3385/313.8302/414.05/383.0667/393.108/467.0257/343.81,271.3/145.35/248.4289/232.8593/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,91.54%/272/5.5 months (Across ALL Assets),48.08%/52/5.4 months (Across ALL Assets),288.2
"GILD, Long, 2026-03-25 (Price: 138.26)",No Exit Yet,"-2.9%, 2 days","100.0%, Past 5 years, 14","Daily, was CONFIRMED on 2026-03-25",Already confirmed,"2026-03-27 (Price: 134.25), 2.9% below",2 days,Upmove Bounce Back,23.66% (Price: 134.7457),0.37% below,"2024-05-31 (Price: 62.07), 2026-02-11 (Price: 157.27)",17.08%/2.06%/9.98%,"0%, 27.82%",1.8 year/28 days/5.7 months,2028-10-18/2026-05-04/2026-11-27,29.7%,11.0%,18.7%,2.35,0.63,149.7079/152.0583/195.38/No Horizontal Resistance/154.7608/163.0355/No EMA 200 Target,137.21/57.18/121.083/104.5806/No F-Track Level/No F-Track Level/123.67,91.54%/272/5.5 months (Across ALL Assets),48.08%/52/5.4 months (Across ALL Assets),139.76
"FPH.NZ, Long, 2026-03-25 (Price: 37.19)",No Exit Yet,"0.03%, 2 days","90.0%, Past 5 years, 10","Daily, was CONFIRMED on 2026-03-25",Already confirmed,"2026-03-27 (Price: 37.2), 0.03% above",2 days,Upmove Bounce Back,23.66% (Price: 36.4054),2.18% above,"2023-10-27 (Price: 20.29), 2026-03-03 (Price: 41.4)",10.94%/2.55%/7.81%,"1.6%, 46.76%",3.3 years/28 days/1.1 year,2030-12-09/2026-05-04/2027-10-19,8.47%,1.81%,6.66%,1.1,0.09,38.1569/40.0945/49.86/39.407/40.9296/48.5677/37.56,36.18/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,91.54%/272/5.5 months (Across ALL Assets),48.08%/52/5.4 months (Across ALL Assets),36.46
"MSE.PA, Long, 2026-03-25 (Price: 63.19)",No Exit Yet,"-2.61%, 2 days","100.0%, Past 5 years, 15","Daily, was CONFIRMED on 2026-03-25",Already confirmed,"2026-03-27 (Price: 61.54), 2.61% below",2 days,Upmove Bounce Back,23.66% (Price: 59.315),3.75% above,"2023-10-23 (Price: 41.94), 2025-11-13 (Price: 64.7)",10.86%/2.75%/8.53%,"0%, 23.33%",1.6 year/1.3 month/5.5 months,2028-07-06/2026-05-20/2026-11-18,22.9%,9.15%,13.75%,2.88,0.6,65.2184/68.5801/76.85/No Horizontal Resistance/81.1364/93.8009/No EMA 200 Target,61.5/33.6667/58.4776/52.627/No F-Track Level/No F-Track Level/62.6,91.54%/272/5.5 months (Across ALL Assets),48.08%/52/5.4 months (Across ALL Assets),63.35
"XIU.TO, Long, 2026-03-24 (Price: 47.07)",No Exit Yet,"-0.06%, 3 days","100.0%, Past 5 years, 11","Daily, was CONFIRMED on 2026-03-24",Already confirmed,"2026-03-27 (Price: 47.04), 0.06% below",3 days,Upmove Bounce Back,23.66% (Price: 46.2447),1.72% above,"2025-04-09 (Price: 33.87), 2026-03-02 (Price: 50.08)",11.01%/2.15%/7.15%,"0%, 17.58%",2.5 years/1.3 month/11.5 months,2029-10-17/2026-05-19/2027-08-05,11.71%,8.23%,3.48%,2.2,0.67,48.934/50.4355/56.8/No Horizontal Resistance/53.8646/57.8672/No EMA 200 Target,46.23/27.9467/44.2067/37.996/No F-Track Level/No F-Track Level/44.99,91.54%/272/5.5 months (Across ALL Assets),48.08%/52/5.4 months (Across ALL Assets),46.71
"ACWX, Long, 2026-03-24 (Price: 67.5)",No Exit Yet,"-1.73%, 3 days","100.0%, Past 5 years, 11","Daily, was CONFIRMED on 2026-03-24",Already confirmed,"2026-03-27 (Price: 66.33), 1.73% below",3 days,Upmove Bounce Back,38.2% (Price: 65.0147),2.02% above,"2025-04-08 (Price: 48.99), 2026-02-25 (Price: 74.92)",10.95%/0.24%/9.51%,"0%, 31.47%",3.9 years/2.1 months/1 year,2031-10-17/2026-06-23/2027-08-27,15.62%,3.37%,12.25%,3.17,0.11,68.6407/73.9192/83.06/No Horizontal Resistance/76.9985/87.9979/No EMA 200 Target,66.37/45.07/61.9685/No stop loss/No F-Track Level/No F-Track Level/65.96,91.54%/272/5.5 months (Across ALL Assets),48.08%/52/5.4 months (Across ALL Assets),66.8
"ASML, Long, 2026-03-24 (Price: 1399.42)",No Exit Yet,"-6.93%, 3 days","100.0%, Past 5 years, 16","Daily, was CONFIRMED on 2026-03-24",Already confirmed,"2026-03-27 (Price: 1302.47), 6.93% below",3 days,Upmove Bounce Back,23.66% (Price: 1314.59),0.92% below,"2023-09-28 (Price: 564.0), 2026-02-25 (Price: 1547.2198)",15.95%/4.96%/10.87%,"-0.0%, 53.28%",2.2 years/13 days/6.5 months,2029-05-14/2026-04-11/2026-12-31,24.72%,12.44%,12.28%,3.0,0.59,1523.9684/1551.537/1989.35/No Horizontal Resistance/1508.8624/1630.5302/No EMA 200 Target,1317.25/576.784/1338.7292/1224.19/No F-Track Level/No F-Track Level/1041.38,91.54%/272/5.5 months (Across ALL Assets),48.08%/52/5.4 months (Across ALL Assets),1348.6801
"EEM, Long, 2026-03-24 (Price: 56.52)",No Exit Yet,"-2.34%, 3 days","100.0%, Past 5 years, 11","Daily, was CONFIRMED on 2026-03-24",Already confirmed,"2026-03-27 (Price: 55.2), 2.34% below",3 days,Upmove Bounce Back,38.2% (Price: 54.6604),0.99% above,"2023-10-23 (Price: 36.38), 2026-02-27 (Price: 65.96)",10.77%/2.11%/8.51%,"-0.0%, 16.11%",1.9 year/1.9 month/8.3 months,2028-12-08/2026-06-14/2027-03-19,13.08%,0.95%,12.13%,1.69,-0.08,57.1361/61.3299/74.27/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,55.64/36.64/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/53.94,91.54%/272/5.5 months (Across ALL Assets),48.08%/52/5.4 months (Across ALL Assets),56.13
"CNR.TO, Long, 2026-03-24 (Price: 139.03)",No Exit Yet,"1.29%, 3 days","100.0%, Past 5 years, 13","Daily, was CONFIRMED on 2026-03-24",Already confirmed,"2026-03-27 (Price: 140.82), 1.29% above",3 days,Upmove Bounce Back,78.6% (Price: 133.7381),5.3% above,"2025-11-24 (Price: 128.05), 2026-03-02 (Price: 154.63)",11.26%/0.33%/9.09%,"-0.0%, 14.35%",1.3 year/18 days/7.1 months,2028-01-30/2026-04-19/2027-01-26,16.8%,-0.9%,17.7%,0.98,-0.19,No Target/151.6678/154.98/171.0825/218.156/349.4971/No EMA 200 Target,135.45/127.6867/136.9828/86.815/No F-Track Level/No F-Track Level/136.37,91.54%/272/5.5 months (Across ALL Assets),48.08%/52/5.4 months (Across ALL Assets),137.04
"SOXX, Long, 2026-03-23 (Price: 336.59)",No Exit Yet,"-3.89%, 4 days","85.71%, Past 5 years, 14","Daily, was CONFIRMED on 2026-03-23",Already confirmed,"2026-03-27 (Price: 323.48), 3.89% below",4 days,Upmove Bounce Back,38.2% (Price: 327.4188),1.2% below,"2025-11-21 (Price: 260.44), 2026-02-25 (Price: 368.82)",14.15%/2.41%/10.74%,"10.44%, 40.81%",1.4 year/13 days/4.2 months,2028-03-20/2026-04-10/2026-09-21,24.17%,12.97%,11.2%,1.2,0.63,363.9548/372.7398/401.62/No Horizontal Resistance/411.0319/449.8184/No EMA 200 Target,323.51/110.475/301.3628/285.4342/No F-Track Level/No F-Track Level/290.06,91.54%/272/5.5 months (Across ALL Assets),48.08%/52/5.4 months (Across ALL Assets),340.115
"NU, Long, 2026-03-23 (Price: 14.68)",No Exit Yet,"-7.36%, 4 days","100.0%, Past 4 years, 12","Daily, was CONFIRMED on 2026-03-23",Already confirmed,"2026-03-27 (Price: 13.6), 7.36% below",4 days,Upmove Bounce Back,38.2% (Price: 13.3875),1.59% above,"2023-04-03 (Price: 4.34), 2026-01-29 (Price: 18.98)",14.19%/10.08%/11.27%,"0%, 32.54%",9.7 months/3 days/2 months,2027-05-18/2026-03-27/2026-06-17,42.11%,9.45%,32.66%,9.27,0.53,15.9395/16.3344/23.46/16.285/No Next Fib Ext/No Next Fib Ext/15.24,13.89/5.54/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,91.54%/272/5.5 months (Across ALL Assets),48.08%/52/5.4 months (Across ALL Assets),14.315
