Symbol,Interval,Latest Horizontal,Today price,Difference (%),Type
NZDUSD=X,Daily,0.6082,0.6051,0.51,Resistance
NZDCAD=X,Daily,0.8327,0.8203,1.48,Resistance
NZDCAD=X,Weekly,0.8305,0.8203,1.23,Resistance
EURUSD=X,Daily,1.168,1.1857,1.52,Resistance
GBPUSD=X,Weekly,1.3445,1.3569,0.93,Resistance
GBPUSD=X,Daily,1.3631,1.3569,0.45,Support
CAD=X,Daily,1.3856,1.3634,1.61,Support
CAD=X,Weekly,1.3785,1.3634,1.09,Support
GBPSGD=X,Monthly,1.6701,1.7121,2.51,Support
GBPSGD=X,Weekly,1.7483,1.7121,2.07,Support
GBPSGD=X,Daily,1.7279,1.7121,0.91,Support
FBU.NZ,Daily,3.49,3.5,0.29,Support
^TNX,Daily,4.1085,4.052,1.38,Support
MEL.NZ,Weekly,5.73,5.6,2.27,Resistance
MCY.NZ,Daily,6.2083,6.22,0.19,Support
C6L.SI,Daily,7.0067,7.0,0.1,Resistance
AIA.NZ,Weekly,8.295,8.41,1.39,Resistance
AIA.NZ,Daily,8.2767,8.41,1.61,Resistance
CNU.NZ,Daily,9.1117,9.11,0.02,Support
CEN.NZ,Daily,9.365,9.2,1.76,Support
SUM.NZ,Daily,10.56,10.46,0.95,Support
FRW.NZ,Daily,14.785,14.52,1.79,Resistance
DBC,Daily,23.34,23.59,1.07,Support
PFE,Daily,27.204,27.37,0.61,Resistance
RINF,Daily,32.3213,32.01,0.96,Support
KWEB,Daily,32.2483,32.72,1.46,Support
ASHR,Daily,34.08,33.86,0.65,Resistance
FXI,Daily,37.97,38.52,1.45,Support
FXI,Weekly,37.755,38.52,2.03,Support
XLF,Daily,51.78,52.2,0.81,Support
IHI,Weekly,58.545,58.58,0.06,Support
IHI,Daily,58.0829,58.58,0.86,Support
BTI,Daily,59.135,58.91,0.38,Support
BIPC.TO,Weekly,67.1133,67.12,0.01,Resistance
BIPC.TO,Daily,67.0533,67.12,0.1,Resistance
HYG,Weekly,78.975,80.81,2.32,Resistance
HYG,Daily,79.5127,80.81,1.63,Resistance
JNK,Weekly,96.515,97.39,0.91,Resistance
JNK,Daily,96.8482,97.39,0.56,Resistance
DIS,Daily,106.468,105.44,0.97,Resistance
IEI,Weekly,119.345,120.08,0.62,Resistance
IEI,Daily,119.2687,120.08,0.68,Resistance
JPY=X,Daily,151.585,153.432,1.22,Support
XLV,Daily,159.7267,157.37,1.48,Resistance
PG,Daily,158.58,159.55,0.61,Resistance
BYD.TO,Daily,231.6533,229.34,1.0,Resistance
MCD,Daily,321.444,327.62,1.92,Resistance
BPCL.NS,Daily,378.775,374.95,1.01,Support
BRK-B,Daily,512.255,503.41,1.73,Resistance
MA,Daily,526.015,521.93,0.78,Support
HDFCBANK.NS,Daily,939.55,925.7,1.47,Support
RELIANCE.NS,Daily,1423.075,1423.0,0.01,Support
ETH-USD,Daily,2024.4983,1998.178,1.3,Support
^NZ50,Daily,13075.415,13126.5303,0.39,Support
^NZ50,Weekly,13418.2035,13126.5303,2.17,Support
^NSEI,Daily,26106.6328,25725.4004,1.46,Support
NIFTY_MIDCAP_100.NS,Daily,60128.6094,59881.6992,0.41,Resistance
