Symbol,Today price,New Highest
XIU.TO,$49.4100,√ $49.7900
BNS.TO,$104.0100,√ $106.3900
ACWX,$73.6500,√ $74.1700
XLE,$55.1500,√ $55.9300
^BVSP,$188853.4844,√ $191002.5469
NA.TO,$178.4500,√ $180.3900
MSE.PA,$68.3100,√ $68.7300
^STI,$5041.3301,√ $5041.3301
,,
