Symbol,Today price,New Highest
XLU,$47.2000,√ $47.2300
ACWX,$74.0900,√ $74.2650
TSM,$385.7500,√ $389.1800
ASML,$1497.8000,√ $1507.1700
WPM.TO,$215.6600,√ $216.8900
^BVSP,$191490.4062,√ $191780.7656
EEM,$62.6200,√ $62.8355
MCD,$333.0500,√ $336.0000
RHHBY,$60.5500,√ $60.8500
,,
