Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
FRACTAL TRACK,"AMD, Long, 2026-03-20 (Price: 201.33)",No Exit Yet,"0.0%, 0 days","83.33%, Past 20 years, 12","Weekly, is CONFIRMED on 2026-03-20",Already confirmed,"2026-03-20 (Price: 201.33), 0.0% below",0 days,194.845,No Information,No Information,No Information,"38.2% (Price: 185.9012), 8.3% above, Upmove Bounce Back","2022-10-16 (Price: 54.57), 2025-11-02 (Price: 267.08)",No Information,30.66%/15.55%/20.18%,"17.29%, 60.71%",1.8 year/7 days/9.5 months,2028-10-13/2026-03-30/2027-05-06,11.53%,7.36%,4.17%,1.23,0.44,263.8832/241.9584/328.84/267.02/269.2327/285.0259/No EMA 200 Target,192.43/72.05/180.4437/167.3766/194.2708/171.78/192.97,94.03%/67/1.4 year (Across ALL Assets),58.33%/144/7.7 months (Across ALL Assets)
FRACTAL TRACK,"BDGI.TO, Long, 2026-03-20 (Price: 60.74)",No Exit Yet,"0.0%, 0 days","88.24%, Past 20 years, 17","Weekly, is CONFIRMED on 2026-03-20",Already confirmed,"2026-03-20 (Price: 60.74), 0.0% below",0 days,62.15,No Information,No Information,No Information,"38.2% (Price: 59.6385), 1.85% above, Upmove Bounce Back","2022-03-20 (Price: 22.54), 2026-01-25 (Price: 82.57)",No Information,21.77%/15.35%/17.68%,"9.21%, 50.73%",4.6 years/21 days/11.9 months,2032-10-11/2026-04-19/2027-08-19,12.68%,9.34%,3.34%,1.94,0.47,69.5655/71.4788/96.76/No Horizontal Resistance/87.1484/97.3919/64.16,35.59/24.32/55.1508/48.4155/58.095/52.3189/No EMA 200 Stop Loss,94.03%/67/1.4 year (Across ALL Assets),58.33%/144/7.7 months (Across ALL Assets)
FRACTAL TRACK,"^VIX, Long, 2026-03-20 (Price: 26.78)",No Exit Yet,"0.0%, 0 days","93.33%, Past 5 years, 15","Daily, is CONFIRMED on 2026-03-20",Already confirmed,"2026-03-20 (Price: 26.78), 0.0% below",0 days,24.46,No Information,No Information,No Information,"61.8% (Price: 21.7534), 23.11% above, Upmove Bounce Back","2025-12-24 (Price: 13.38), 2026-03-09 (Price: 35.3)",No Information,77.41%/10.77%/23.38%,"21.12%, 55.28%",1.7 year/2 days/3.8 months,2028-08-22/2026-03-22/2026-09-01,56.13%,-4.23%,60.36%,0.74,0.78,No Target/33.0412/39.93/35.1/64.9295/70.0504/No EMA 200 Target,22.37/11.665/22.8782/11.7677/No stop loss/No stop loss/17.73,92.11%/279/5.4 months (Across ALL Assets),44.44%/54/5.2 months (Across ALL Assets)
FRACTAL TRACK,"FSF.NZ, Long, 2026-03-19 (Price: 8.245)",No Exit Yet,"-0.18%, 1 day","100.0%, Past 5 years, 11","Daily, was CONFIRMED on 2026-03-19",Already confirmed,"2026-03-20 (Price: 8.23), 0.18% below",1 day,8.24,No Information,No Information,No Information,"23.66% (Price: 8.2474), 0.21% below, Upmove Bounce Back","2025-11-24 (Price: 7.51), 2026-03-06 (Price: 8.476)",No Information,12.99%/0.21%/9.27%,"-0.0%, 31.25%",2.9 years/6 days/6.4 months,2030-05-09/2026-03-27/2026-12-22,19.15%,8.37%,10.78%,1.51,0.45,9.1445/9.0093/8.82/No Horizontal Resistance/8.4284/9.7443/No EMA 200 Target,8.12/2.942/6.3611/No stop loss/No F-Track Level/No F-Track Level/7.62,92.11%/279/5.4 months (Across ALL Assets),44.44%/54/5.2 months (Across ALL Assets)
DELTADRIFT,"INFY, Long, 2026-03-19 (Price: 13.05)",No Exit Yet,"0.54%, 1 day","78.57%, Past 4 years, 14","Daily, was CONFIRMED on 2026-03-19",Already confirmed,"2026-03-20 (Price: 13.12), 0.54% above",1 day,12.69,No Information,No Information,No Information,No Information,No Information,No Information,6.12%/2.34%/3.66%,"11.63%, 13.01%",24 days/2 days/10 days,2026-04-22/2026-03-21/2026-04-02,7.26%,0.48%,6.78%,0.2,-0.0,13.2875/13.5276/13.41/23.796/31.8515/41.1179/17.01,12.92/No Horizontal Support/13.0115/No stop loss/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,74.13%/143/15 days (Across ALL Assets),73.26%/516/15 days (Across ALL Assets)
SIGMASHELL,"HDB, Long, 2026-03-19 (Price: 26.14)",No Exit Yet,"-2.87%, 1 day","90.0%, Past 5 years, 10","Daily, was CONFIRMED on 2026-03-19",Already confirmed,"2026-03-20 (Price: 25.39), 2.87% below",1 day,25.895,"-3.05, 100.0%",No Information,No Information,No Information,No Information,No Information,14.28%/3.41%/7.62%,"4.9%, 29.32%",5.2 months/1.1 month/2.7 months,2026-10-30/2026-05-05/2026-07-14,15.6%,11.87%,3.73%,0.95,0.57,26.736/28.1319/40.717/39.3812/40.717/51.346/35.32,No Recent Minima/25.6925/21.1884/14.0692/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,60.53%/38/4.6 months (Across ALL Assets),65.69%/239/3.7 months (Across ALL Assets)
TRENDPULSE,"RINF, Long, 2026-03-18 (Price: 32.3103)",No Exit Yet,"-0.68%, 2 days","73.33%, Past 4 years, 15","Daily, is CONFIRMED on 2026-03-18",Already confirmed,"2026-03-20 (Price: 32.09), 0.68% below",2 days,32.31,No Information,No Information,No Information,No Information,No Information,0.25% below/0.68% below/0.68% below,3.92%/0.3%/1.33%,"6.5%, 14.15%",17 days/6 days/10 days,2026-04-11/2026-03-26/2026-04-01,4.94%,2.3%,2.64%,-0.17,-0.01,33.1665/32.74/33.13/35.1525/41.8158/48.2716/32.51,31.79/28.7133/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,91.99%/287/1.3 month (Across ALL Assets),80.43%/516/1.4 month (Across ALL Assets)
TRENDPULSE,"MCY.NZ, Long, 2026-03-18 (Price: 6.46)",No Exit Yet,"0.77%, 2 days","91.89%, Past 4 years, 37","Daily, is CONFIRMED on 2026-03-18",Already confirmed,"2026-03-20 (Price: 6.51), 0.77% above",2 days,6.4,No Information,No Information,No Information,No Information,No Information,0.77% above/0.77% above/0.77% above,6.24%/1.3%/4.25%,"14.39%, 20.6%",5.6 months/8 days/1.5 month,2026-11-16/2026-03-29/2026-05-22,15.72%,2.24%,13.48%,0.7,0.11,6.6364/6.7345/6.76/7.2/7.7971/8.9053/No EMA 200 Target,6.2/5.13/5.8309/4.54/No F-Track Level/No F-Track Level/6.39,91.99%/287/1.3 month (Across ALL Assets),80.43%/516/1.4 month (Across ALL Assets)
FRACTAL TRACK,"NIFTY_MIDCAP_100.NS, Long, 2026-03-18 (Price: 56289.8516)",No Exit Yet,"-2.55%, 2 days","92.86%, Past 5 years, 14","Daily, was CONFIRMED on 2026-03-18",Already confirmed,"2026-03-20 (Price: 54855.5), 2.55% below",2 days,55289.1016,No Information,No Information,No Information,"23.66% (Price: 53895.1604), 1.78% above, Upmove Bounce Back","2023-03-28 (Price: 29200.1992), 2026-01-07 (Price: 61548.8516)",No Information,11.12%/5.89%/9.55%,"0.28%, 21.42%",1.6 year/1 month/6.4 months,2028-06-29/2026-04-30/2026-12-21,20.49%,16.66%,3.83%,1.2,1.27,60826.8136/61665.5324/75699.04/60128.6094/69983.5191/76335.2565/58785.95,54614.95/26608.2998/51648.171/44465.2214/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,92.11%/279/5.4 months (Across ALL Assets),44.44%/54/5.2 months (Across ALL Assets)
FRACTAL TRACK,"CEN.NZ, Long, 2026-03-18 (Price: 9.35)",No Exit Yet,"-3.1%, 2 days","90.91%, Past 5 years, 11","Daily, was CONFIRMED on 2026-03-18",Already confirmed,"2026-03-20 (Price: 9.06), 3.1% below",2 days,9.22,No Information,No Information,No Information,"88.6% (Price: 9.2275), 1.82% below, Upmove Bounce Back","2025-12-17 (Price: 9.15), 2026-02-12 (Price: 9.83)",No Information,12.03%/1.09%/6.9%,"3.1%, 17.16%",2.9 years/1.3 month/11 months,2030-05-08/2026-05-13/2027-07-08,8.13%,2.77%,5.36%,0.86,0.1,9.4201/9.9951/9.76/9.85/11.2606/15.4512/No EMA 200 Target,9.16/6.86/8.6706/No stop loss/No F-Track Level/No F-Track Level/9.25,92.11%/279/5.4 months (Across ALL Assets),44.44%/54/5.2 months (Across ALL Assets)
