Symbol,Interval,Latest Horizontal,Current Price,Difference (%),Type
NZDCAD=X,Weekly,0.791,0.8019,1.38,Support
NZDCAD=X,Daily,0.7945,0.8019,0.93,Support
USDCHF=X,Daily,0.7933,0.8081,1.87,Support
EURUSD=X,Daily,1.1686,1.1519,1.43,Resistance
EURUSD=X,Weekly,1.1452,1.1519,0.59,Support
GBPUSD=X,Daily,1.2999,1.3135,1.05,Support
GBPUSD=X,Weekly,1.3359,1.3135,1.67,Resistance
CAD=X,Weekly,1.3845,1.4055,1.51,Support
CAD=X,Daily,1.3828,1.4055,1.64,Support
GBPSGD=X,Monthly,1.6701,1.7139,2.62,Support
GBPSGD=X,Weekly,1.7483,1.7139,1.97,Resistance
GBPSGD=X,Daily,1.7306,1.7139,0.97,Resistance
GNE.NZ,Daily,2.495,2.52,1.0,Support
FBU.NZ,Daily,3.32,3.34,0.6,Support
^TNX,Daily,4.1085,4.089,0.47,Resistance
MEL.NZ,Daily,6.0367,6.03,0.11,Resistance
MCY.NZ,Weekly,6.7075,6.59,1.75,Resistance
MCY.NZ,Daily,6.6808,6.59,1.36,Resistance
C6L.SI,Weekly,6.6638,6.6,0.96,Resistance
C6L.SI,Daily,6.53,6.6,1.07,Support
C6L.SI,Monthly,6.5913,6.6,0.13,Support
AIA.NZ,Weekly,8.295,8.19,1.27,Resistance
CNU.NZ,Weekly,9.3875,9.47,0.88,Support
CEN.NZ,Daily,9.4367,9.53,0.99,Support
SUM.NZ,Daily,11.6867,11.85,1.4,Support
BYDDY,Weekly,12.0509,12.29,1.98,Support
INFY,Weekly,16.0833,16.3,1.35,Support
INFY,Daily,16.074,16.3,1.41,Support
^VIX,Daily,18.668,19.0,1.78,Support
DBC,Daily,23.2371,22.89,1.49,Resistance
JETS,Daily,23.6,23.99,1.65,Support
RINF,Daily,32.38,32.3081,0.22,Resistance
HDB,Daily,35.675,36.24,1.58,Support
FPH.NZ,Daily,37.54,37.0,1.44,Resistance
KWEB,Daily,38.78,39.05,0.7,Support
KWEB,Weekly,38.6033,39.05,1.16,Support
FXI,Daily,39.255,39.37,0.29,Support
RHHBY,Daily,40.575,40.53,0.11,Resistance
XLF,Daily,52.13,52.42,0.56,Support
PYPL,Daily,66.986,66.08,1.35,Resistance
USO,Daily,71.282,71.93,0.91,Support
HYG,Daily,80.0929,80.15,0.07,Support
HYG,Weekly,78.975,80.15,1.49,Support
XLE,Daily,87.9725,87.19,0.89,Resistance
PPH,Daily,91.08,92.75,1.83,Support
JNK,Weekly,96.515,96.56,0.05,Support
JNK,Daily,96.9656,96.56,0.42,Resistance
IEI,Daily,118.72,119.46,0.62,Support
IEI,Weekly,119.345,119.46,0.1,Support
GILD,Daily,120.895,123.0,1.74,Support
XLV,Daily,142.39,145.1,1.9,Support
XLV,Weekly,142.595,145.1,1.76,Support
JPY=X,Daily,151.585,154.204,1.73,Support
BYD.TO,Daily,223.15,223.5,0.16,Support
WIPRO.NS,Daily,237.845,237.92,0.03,Support
XLY,Daily,241.84,238.16,1.52,Resistance
IWM,Weekly,244.72,241.2,1.44,Resistance
MAR,Daily,276.35,272.24,1.49,Resistance
MCD,Weekly,300.87,299.21,0.55,Resistance
MCD,Daily,297.775,299.21,0.48,Support
BRK-B,Daily,488.245,487.66,0.12,Resistance
HDFCBANK.NS,Daily,1004.15,985.25,1.88,Resistance
TCS.NS,Daily,2999.4,2990.2,0.31,Resistance
ETH-USD,Daily,3567.0178,3602.3081,0.99,Support
^NZ50,Weekly,13418.2035,13562.29,1.07,Support
^NSEI,Daily,25973.3496,25597.6504,1.45,Resistance
NIFTY_MIDCAP_100.NS,Daily,60182.9323,60037.1992,0.24,Resistance
