Report Type,Symbol,Today price,New Highest
New High,SOXX,$386.6000,√ $389.6000
New High,^BVSP,$197323.8750,√ $197553.6406
New High,TD,$100.7100,√ $100.9400
New High,NA.TO,$195.7200,√ $195.8100
New High,TD.TO,$139.2800,√ $139.6200
New High,,,
