Symbol,Interval,Latest Horizontal,Current Price,Difference (%),Type
NZDUSD=X,Daily,0.5837,0.5739,1.67,Resistance
NZDCAD=X,Weekly,0.791,0.8011,1.28,Support
NZDCAD=X,Daily,0.7945,0.8011,0.83,Support
USDCHF=X,Daily,0.7933,0.8033,1.26,Support
EURUSD=X,Daily,1.1628,1.1628,0.0,Support
EURUSD=X,Weekly,1.1452,1.1628,1.54,Support
GBPUSD=X,Weekly,1.3358,1.324,0.89,Resistance
CAD=X,Daily,1.3828,1.3969,1.02,Support
CAD=X,Weekly,1.3845,1.3969,0.89,Support
GBPSGD=X,Monthly,1.6701,1.7152,2.7,Support
GBPSGD=X,Weekly,1.7483,1.7152,1.9,Resistance
GBPSGD=X,Daily,1.7443,1.7152,1.67,Resistance
GNE.NZ,Weekly,2.3525,2.38,1.17,Support
FBU.NZ,Daily,3.49,3.47,0.57,Resistance
^TNX,Daily,4.1085,4.086,0.55,Resistance
MEL.NZ,Weekly,5.73,5.61,2.09,Resistance
MCY.NZ,Daily,6.2083,6.3,1.48,Support
C6L.SI,Daily,6.53,6.49,0.61,Resistance
C6L.SI,Monthly,6.5913,6.49,1.54,Resistance
AIA.NZ,Weekly,8.295,8.09,2.47,Resistance
AIA.NZ,Daily,7.965,8.09,1.57,Support
CNU.NZ,Daily,9.1375,9.11,0.3,Resistance
CEN.NZ,Daily,9.4367,9.35,0.92,Resistance
IFT.NZ,Daily,11.925,11.75,1.47,Resistance
DBC,Daily,23.2371,23.02,0.93,Resistance
PFE,Daily,25.65,25.15,1.95,Resistance
JETS,Weekly,26.9582,26.65,1.14,Resistance
JETS,Daily,27.045,26.65,1.46,Resistance
RINF,Daily,32.33,32.3688,0.12,Support
HDB,Daily,35.59,35.84,0.7,Support
MTY.TO,Weekly,37.07,37.68,1.65,Support
MTY.TO,Daily,37.115,37.68,1.52,Support
FPH.NZ,Daily,37.54,38.0,1.23,Support
FXI,Daily,39.255,39.49,0.6,Support
CNQ.TO,Daily,46.105,46.94,1.81,Support
MX.TO,Daily,52.9,52.06,1.59,Resistance
XLF,Daily,52.13,52.84,1.36,Support
IHI,Daily,62.445,63.17,1.16,Support
MFT.NZ,Daily,66.0371,67.05,1.53,Support
USO,Daily,71.282,70.2,1.52,Resistance
ATD.TO,Daily,73.26,74.44,1.61,Support
HYG,Weekly,78.975,80.62,2.08,Support
HYG,Daily,79.5127,80.62,1.39,Support
SJ.TO,Daily,84.3925,83.49,1.07,Resistance
JNK,Daily,97.4671,97.11,0.37,Resistance
JNK,Weekly,96.515,97.11,0.62,Support
IEI,Weekly,119.345,119.66,0.26,Support
IEI,Daily,118.72,119.66,0.79,Support
KXS.TO,Daily,172.025,173.77,1.01,Support
TRI.TO,Daily,186.5008,186.42,0.04,Resistance
DOL.TO,Daily,197.56,196.89,0.34,Resistance
IWM,Weekly,244.72,245.17,0.18,Support
MCD,Weekly,300.87,300.72,0.05,Resistance
MCD,Daily,296.628,300.72,1.38,Support
HDFCBANK.NS,Daily,1009.6,989.8,1.96,Resistance
RELIANCE.NS,Daily,1531.725,1546.3,0.95,Support
TCS.NS,Daily,3174.2166,3135.7,1.21,Resistance
^NZ50,Weekly,13418.2035,13462.1299,0.33,Support
^NSEI,Daily,25973.3496,26032.1992,0.23,Support
NIFTY_MIDCAP_100.NS,Daily,60182.9323,60910.4492,1.21,Support
