Symbol,Interval,Latest Horizontal,Today's price,Difference (%),Type
NZDUSD=X,Daily,0.6059,0.6016,0.71,Resistance
NZDCAD=X,Weekly,0.8305,0.8196,1.31,Resistance
NZDCAD=X,Daily,0.8068,0.8196,1.58,Resistance
EURUSD=X,Daily,1.1852,1.1823,0.24,Support
GBPUSD=X,Daily,1.3631,1.3609,0.16,Support
GBPUSD=X,Weekly,1.3445,1.3609,1.22,Resistance
CAD=X,Weekly,1.3845,1.3629,1.56,Support
GBPSGD=X,Weekly,1.7483,1.7299,1.05,Resistance
GBPSGD=X,Daily,1.7443,1.7299,0.83,Support
GNE.NZ,Daily,2.495,2.46,1.4,Resistance
MEL.NZ,Weekly,5.73,5.71,0.35,Resistance
MEL.NZ,Daily,5.725,5.71,0.26,Resistance
C6L.SI,Monthly,6.5913,6.7,1.65,Support
C6L.SI,Weekly,6.6638,6.7,0.54,Resistance
C6L.SI,Daily,6.826,6.7,1.85,Resistance
AIA.NZ,Weekly,8.295,8.4,1.27,Resistance
AIA.NZ,Daily,8.365,8.4,0.42,Resistance
CNU.NZ,Weekly,9.3875,9.55,1.73,Resistance
BYDDY,Weekly,12.0509,11.94,0.92,Support
BYDDY,Daily,11.8111,11.94,1.09,Support
FRW.NZ,Daily,14.785,14.64,0.98,Resistance
DBC,Daily,24.2867,24.05,0.97,Support
PFE,Weekly,26.4516,26.49,0.15,Resistance
RINF,Daily,32.3213,32.2388,0.26,Support
ASHR,Daily,34.08,33.4799,1.76,Support
HDB,Daily,33.7517,34.085,0.99,Resistance
FPH.NZ,Daily,39.407,39.9,1.25,Resistance
MTY.TO,Daily,43.9967,43.18,1.86,Resistance
ENZL,Daily,47.5017,47.44,0.13,Resistance
INDY,Daily,49.0133,48.28,1.5,Resistance
IHI,Weekly,58.545,58.2,0.59,Support
IHI,Daily,58.0829,58.2,0.2,Support
BIPC.TO,Daily,67.0533,67.88,1.23,Resistance
BIPC.TO,Weekly,67.1133,67.88,1.14,Resistance
USO,Daily,78.45,77.24,1.54,Resistance
HYG,Weekly,78.975,80.6474,2.12,Support
HYG,Daily,79.5127,80.6474,1.43,Support
NFLX,Daily,82.231,80.87,1.66,Support
SBUX,Daily,97.9,96.07,1.87,Resistance
JNK,Weekly,96.515,97.23,0.74,Support
JNK,Daily,96.8482,97.23,0.39,Support
DIS,Daily,106.468,104.97,1.41,Support
IEI,Daily,118.9111,119.2869,0.32,Resistance
IEI,Weekly,119.345,119.2869,0.05,Support
KXS.TO,Daily,127.09,126.72,0.29,Support
CNR.TO,Daily,138.38,137.72,0.48,Resistance
COIN,Daily,144.35,146.12,1.23,Support
XLV,Daily,159.295,156.235,1.92,Support
JPY=X,Daily,159.6618,156.882,1.74,Resistance
PG,Daily,156.3162,158.61,1.47,Resistance
BYD.TO,Daily,241.62,237.55,1.68,Resistance
MCD,Daily,321.444,323.48,0.63,Resistance
BPCL.NS,Daily,378.775,384.35,1.47,Resistance
MSFT,Daily,385.97,393.67,1.99,Support
BRK-B,Daily,512.255,508.585,0.72,Resistance
HDFCBANK.NS,Daily,939.55,942.7,0.34,Resistance
RELIANCE.NS,Daily,1423.075,1446.3,1.63,Resistance
TCS.NS,Daily,2915.2334,2918.7,0.12,Support
^NZ50,Weekly,13418.2035,13444.0195,0.19,Support
^NSEI,Daily,25973.3496,25693.6992,1.08,Resistance
NIFTY_MIDCAP_100.NS,Daily,59773.5488,59502.6992,0.45,Resistance
