"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"FRW.NZ, Long, 2026-03-09 (Price: 13.96)",No Exit Yet,"0.0%, 0 days","88.89%, Past 5 years, 9","Daily, is CONFIRMED on 2026-03-09",Already confirmed,"2026-03-09 (Price: 13.96), 0.0% below",0 days,Upmove Bounce Back,61.8% (Price: 14.0449),0.6% below,"2025-12-16 (Price: 13.3), 2026-02-12 (Price: 15.25)",13.53%/1.54%/10.4%,"4.41%, 40.87%",3.7 years/3.6 months/1.2 year,2031-06-20/2026-08-12/2027-11-24,11.59%,4.86%,6.73%,1.04,0.24,14.323/15.4118/15.13/14.785/14.9925/16.4712/No EMA 200 Target,13.75/7.405/12.995/12.2806/12.7066/11.1435/12.93,94.02%/301/5.3 months (Across ALL Assets),55.56%/54/4.8 months (Across ALL Assets),13.96
"BRK-B, Long, 2026-03-09 (Price: 497.2)",No Exit Yet,"0.0%, 0 days","80.0%, Past 29 years, 15","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 471.91 prior to 2026-03-31,"2026-03-09 (Price: 497.2), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 475.2967),4.61% above,"2022-10-31 (Price: 259.85), 2025-05-31 (Price: 542.07)",27.51%/12.01%/21.3%,"16.03%, 41.66%",4.6 years/7.1 months/1.5 year,2032-09-30/2027-01-11/2028-04-29,8.18%,7.84%,0.34%,0.89,0.47,627.0189/603.1036/666.53/512.255/537.7909/627.804/No EMA 200 Target,267.02/268.082/475.0642/401.0818/475.2967/434.262/491.91,90.48%/42/1.6 year (Across ALL Assets),66.13%/62/9.6 months (Across ALL Assets),495.225
"NFLX, Long, 2026-03-09 (Price: 98.32)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 13","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 75.01 prior to 2026-03-13,"2026-03-09 (Price: 98.32), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 75.193),30.76% above,"2022-05-15 (Price: 16.271), 2025-07-06 (Price: 134.115)",29.59%/15.11%/21.93%,"0%, 70.87%",2.7 years/21 days/8.2 months,2030-01-14/2026-04-08/2027-02-26,15.04%,21.83%,-6.79%,4.76,0.9,125.8398/119.8816/169.03/No Horizontal Resistance/138.686/152.7047/109.57,76.87/34.8663/77.3488/70.5306/89.0986/75.193/No EMA 200 Support,95.45%/66/1.4 year (Across ALL Assets),56.34%/142/7.5 months (Across ALL Assets),97.69
"MA, Long, 2026-03-09 (Price: 517.72)",No Exit Yet,"0.0%, 0 days","88.89%, Past 19 years, 18","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 490.0 prior to 2026-03-13,"2026-03-09 (Price: 517.72), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 500.0604),3.53% above,"2018-12-30 (Price: 171.89), 2025-08-24 (Price: 601.77)",20.8%/7.86%/16.28%,"10.74%, 25.66%",1.6 year/1.4 month/6.4 months,2028-06-20/2026-05-08/2026-12-12,14.25%,18.73%,-4.48%,1.65,0.96,562.1404/602.0048/775.65/592.095/716.5814/751.3605/560.24,517.21/305.0867/515.4888/442.8637/No support/477.6582/No EMA 200 Support,95.45%/66/1.4 year (Across ALL Assets),56.34%/142/7.5 months (Across ALL Assets),516.27
"PG, Long, 2026-03-09 (Price: 155.22)",No Exit Yet,"0.0%, 0 days","79.17%, Past 39 years, 24","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 137.62 prior to 2026-03-31,"2026-03-09 (Price: 155.22), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 137.9487),12.52% above,"1962-06-30 (Price: 0.8809), 2024-11-30 (Price: 180.43)",28.68%/2.46%/20.12%,"29.44%, 32.8%",5.2 years/4.1 months/1.4 year,2033-08-10/2026-09-01/2028-03-06,5.59%,5.32%,0.27%,0.88,0.27,168.5844/186.4503/262.95/179.4533/198.7009/220.9395/No EMA 200 Target,143.31/132.4233/147.1065/128.0678/No support/151.305/153.64,90.48%/42/1.6 year (Across ALL Assets),66.13%/62/9.6 months (Across ALL Assets),165.29
"AMZN, Long, 2026-03-08 (Price: 213.21)",No Exit Yet,"0.13%, 1 day","93.75%, Past 20 years, 16","Weekly, was CONFIRMED on 2026-03-08",Already confirmed,"2026-03-09 (Price: 213.49), 0.13% above",1 day,Upmove Bounce Back,23.66% (Price: 200.6016),6.42% above,"2018-12-30 (Price: 65.35), 2025-02-09 (Price: 242.52)",31.25%/0.75%/16.86%,"0.32%, 56.17%",2.8 years/28 days/7.4 months,2030-03-05/2026-04-17/2027-01-23,13.55%,17.13%,-3.58%,1.66,0.81,251.2893/249.1572/319.51/241.71/317.6152/339.3352/224.53,198.79/86.995/213.1321/193.0625/No F-Track Level/No F-Track Level/No EMA 200 Support,95.45%/66/1.4 year (Across ALL Assets),56.34%/142/7.5 months (Across ALL Assets),204.55
"SLV, Long, 2026-03-08 (Price: 75.94)",No Exit Yet,"3.06%, 1 day","100.0%, Past 19 years, 11","Weekly, was CONFIRMED on 2026-03-08",Already confirmed,"2026-03-09 (Price: 78.26), 3.06% above",1 day,Upmove Bounce Back,50% (Price: 64.4),21.52% above,"2023-10-08 (Price: 18.97), 2026-02-01 (Price: 109.83)",27.39%/2.49%/14.94%,"0%, 72.45%",14.4 years/2.1 months/3.5 years,2046-09-27/2026-06-07/2031-03-07,2.66%,4.57%,-1.91%,1.86,0.24,93.5733/87.2854/130.46/No Horizontal Resistance/89.0774/103.171/No EMA 200 Target,27.08/18.99/73.9426/67.9787/No F-Track Level/No F-Track Level/49.55,95.45%/66/1.4 year (Across ALL Assets),56.34%/142/7.5 months (Across ALL Assets),81.17
"CEN.NZ, Long, 2026-03-08 (Price: 9.4)",No Exit Yet,"0.0%, 1 day","87.5%, Past 20 years, 16","Weekly, was CONFIRMED on 2026-03-08",Already confirmed,"2026-03-09 (Price: 9.4), 0.0% below",1 day,Upmove Bounce Back,38.2% (Price: 9.1207),3.06% above,"2024-09-29 (Price: 7.86), 2025-11-30 (Price: 9.9)",21.39%/10.13%/17.13%,"4.94%, 48.33%",11.8 years/4 months/4.2 years,2043-01-10/2026-08-28/2032-03-06,0.12%,1.98%,-1.86%,1.07,0.04,9.5955/11.0102/10.62/9.85/11.2606/15.4512/No EMA 200 Target,9.25/6.86/8.6706/No support/No F-Track Level/No F-Track Level/9.24,95.45%/66/1.4 year (Across ALL Assets),56.34%/142/7.5 months (Across ALL Assets),9.25
"TWR.NZ, Long, 2026-03-08 (Price: 1.835)",No Exit Yet,"0.0%, 1 day","88.89%, Past 20 years, 9","Weekly, was CONFIRMED on 2026-03-08",Already confirmed,"2026-03-09 (Price: 1.835), 0.0% below",1 day,Upmove Bounce Back,23.66% (Price: 1.7809),3.04% above,"2023-05-14 (Price: 0.6222), 2026-01-18 (Price: 2.14)",19.96%/16.4%/17.75%,"5.18%, 29.49%",3.7 years/2.6 months/2.3 years,2031-06-19/2026-06-28/2029-06-17,5.69%,-0.45%,6.14%,0.96,-0.01,2.0269/2.1607/2.75/No Horizontal Resistance/7.3695/7.9211/No EMA 200 Target,1.35/0.6472/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/1.78,95.45%/66/1.4 year (Across ALL Assets),56.34%/142/7.5 months (Across ALL Assets),1.855
"^NZ50, Long, 2026-03-08 (Price: 13519.3496)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 8","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 13022.2998 prior to 2026-03-13,"2026-03-08 (Price: 13519.3496), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 12961.3876),4.3% above,"2022-06-19 (Price: 10392.0195), 2026-01-18 (Price: 13757.71)",16.08%/8.71%/14.43%,"-0.0%, 11.02%",1.7 year/2.8 months/10.4 months,2028-08-10/2026-07-07/2027-06-02,8.33%,5.06%,3.27%,1.43,0.3,13989.823/15470.1917/15538.76/No Horizontal Resistance/14773.8816/17170.3822/No EMA 200 Target,13198.18/10608.2731/12904.4271/10062.5272/No F-Track Level/No F-Track Level/13165.69,95.45%/66/1.4 year (Across ALL Assets),56.34%/142/7.5 months (Across ALL Assets),13656.6504
