"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"AMZN, Long, 2026-02-11 (Price: 203.88)",No Exit Yet,"0.0%, 0 days","80.0%, Past 4 years, 15","Daily, is CONFIRMED on 2026-02-11",Already confirmed,"2026-02-11 (Price: 203.88), 0.0% below",0 days,10.78%/1.99%/5.15%,"17.68%, 17.68%",26 days/1 day/8 days,2026-03-20/2026-02-12/2026-02-22,7.43%,4.18%,3.25%,0.18,0.24,216.9691/214.3798/215.67/239.3/257.1563/274.1043/223.5,200.99/86.995/194.9126/182.8127/No support/No support/No EMA 200 Support,No Data (Across ALL Assets),No Data (Across ALL Assets),208.07
"FSF.NZ, Long, 2026-02-11 (Price: 7.94)",No Exit Yet,"0.0%, 0 days","91.67%, Past 4 years, 12","Daily, is CONFIRMED on 2026-02-11",Already confirmed,"2026-02-11 (Price: 7.94), 0.0% below",0 days,6.77%/1.74%/3.76%,"9.98%, 9.98%",27 days/1 day/14 days,2026-03-22/2026-02-12/2026-03-03,10.19%,8.7%,1.49%,0.56,0.47,8.4688/8.2385/8.35/No Horizontal Resistance/10.9011/15.2218/No EMA 200 Target,7.7/2.942/6.5804/5.5604/7.1082/6.3143/7.33,No Data (Across ALL Assets),No Data (Across ALL Assets),8.001
"ORCL, Long, 2026-02-11 (Price: 157.16)",No Exit Yet,"0.0%, 0 days","75.0%, Past 15 years, 4","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < nan or > 179.1686 prior to 2026-02-13,"2026-02-11 (Price: 157.16), 0.0% below",0 days,13.89%/9.68%/12.2%,"20.01%, 25.53%",21 days/7 days/16 days,2026-03-13/2026-02-21/2026-03-06,5.26%,6.77%,-1.51%,0.27,0.34,210.1386/176.3335/193.24/No Horizontal Resistance/287.7444/314.8727/220.42,142.82/82.7925/140.8739/129.2165/144.722/No support/No EMA 200 Support,No Data (Across ALL Assets),No Data (Across ALL Assets),148.49
"TCS.NS, Long, 2026-02-10 (Price: 2984.6001)",No Exit Yet,"-2.51%, 1 day","86.67%, Past 4 years, 15","Daily, was CONFIRMED on 2026-02-10",Already confirmed,"2026-02-11 (Price: 2909.8), 2.51% below",1 day,5.68%/1.73%/3.28%,"4.58%, 4.96%",21 days/1 day/10 days,2026-03-12/2026-02-11/2026-02-24,12.04%,-0.2%,12.24%,0.76,-0.13,3185.1652/3082.495/3133.83/4543.575/5637.7577/6110.9256/3203.25,2941.6/2934.3251/2637.2425/2286.8248/No F-Track Level/No F-Track Level/No EMA 200 Support,No Data (Across ALL Assets),No Data (Across ALL Assets),2949.8
"SUM.NZ, Long, 2026-02-10 (Price: 11.25)",No Exit Yet,"-0.53%, 1 day","71.43%, Past 4 years, 14","Daily, was CONFIRMED on 2026-02-10",Already confirmed,"2026-02-11 (Price: 11.19), 0.53% below",1 day,5.47%/2.32%/3.77%,"6.69%, 10.0%",2 months/1 day/19 days,2026-05-07/2026-02-11/2026-03-09,5.72%,-0.28%,6.0%,0.18,-0.09,11.3951/11.6741/11.53/12.64/19.8479/26.5969/11.52,11.13/9.1367/11.0645/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,No Data (Across ALL Assets),No Data (Across ALL Assets),11.16
"SPOT, Long, 2026-02-09 (Price: 414.84)",2026-02-10 (Price: 476.02),"14.75%, 1 day","88.89%, Past 4 years, 9","Daily, was CONFIRMED on 2026-02-09",Already confirmed,"2026-02-11 (Price: 487.17), 17.44% above",2 days,13.46%/3.67%/6.77%,"8.88%, 11.98%",1.3 month/1 day/14 days,2026-04-06/2026-02-10/2026-03-01,11.53%,6.15%,5.38%,0.63,0.37,431.2677/442.9247/437.1/No Horizontal Resistance/854.3544/922.2645/643.26,412.75/118.6/410.2623/360.3797/No F-Track Level/No F-Track Level/No EMA 200 Support,No Data (Across ALL Assets),No Data (Across ALL Assets),430.82
"BTC-USD, Long, 2026-02-06 (Price: 70555.3906)",No Exit Yet,"-4.37%, 5 days","80.0%, Past 4 years, 15","Daily, was CONFIRMED on 2026-02-06",Already confirmed,"2026-02-11 (Price: 67471.8125), 4.37% below",5 days,11.7%/2.55%/5.96%,"26.18%, 26.18%",1.9 month/2 days/10 days,2026-04-29/2026-02-08/2026-02-20,6.02%,14.76%,-8.74%,0.14,0.5,72573.2748/74760.4919/73666.88/124582.2656/136097.3501/177421.0223/101566.84,62702.1/18304.4229/57447.2152/51395.9501/No F-Track Level/No F-Track Level/No EMA 200 Support,No Data (Across ALL Assets),No Data (Across ALL Assets),62704.4531
"UBER, Long, 2026-02-06 (Price: 74.77)",No Exit Yet,"-4.94%, 5 days","100.0%, Past 4 years, 9","Daily, was CONFIRMED on 2026-02-06",Already confirmed,"2026-02-11 (Price: 71.08), 4.94% below",5 days,10.1%/3.32%/5.97%,"0%, 11.17%",1.7 month/2 days/14 days,2026-04-20/2026-02-08/2026-02-26,15.68%,3.38%,12.3%,2.69,0.26,81.4694/79.2338/80.35/82.12/110.4084/120.7433/89.11,73.92/34.6025/63.3753/49.8327/No F-Track Level/No F-Track Level/No EMA 200 Support,No Data (Across ALL Assets),No Data (Across ALL Assets),75.49
"ABNB, Long, 2026-02-06 (Price: 122.18)",No Exit Yet,"-2.41%, 5 days","91.67%, Past 4 years, 12","Daily, was CONFIRMED on 2026-02-06",Already confirmed,"2026-02-11 (Price: 119.24), 2.41% below",5 days,14.03%/1.79%/6.57%,"12.41%, 13.94%",1.1 month/2 days/15 days,2026-03-25/2026-02-08/2026-02-27,17.54%,-6.79%,24.33%,0.79,-0.1,125.7354/130.2072/127.97/178.025/226.4968/256.334/128.51,121.27/99.795/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,No Data (Across ALL Assets),No Data (Across ALL Assets),121.27
"MSFT, Long, 2026-02-06 (Price: 401.14)",No Exit Yet,"0.69%, 5 days","75.0%, Past 4 years, 12","Daily, was CONFIRMED on 2026-02-06",Already confirmed,"2026-02-11 (Price: 403.9), 0.69% above",5 days,5.23%/2.02%/3.49%,"8.2%, 14.53%",2.4 months/1 day/11 days,2026-05-21/2026-02-07/2026-02-21,5.6%,7.01%,-1.41%,0.17,0.37,416.1827/415.1398/415.66/554.585/553.3726/615.9924/487.29,393.67/216.39/386.873/350.287/No F-Track Level/No F-Track Level/No EMA 200 Support,No Data (Across ALL Assets),No Data (Across ALL Assets),399.17
