Function,Symbol,Signal,Interval,Entry Date,Entry Price,Exit Date,Exit Price,Profit [%],Holding Period (days),Backtested Win Rate [%],Backtested Number of Trades,Avg Backtested Holding Period (days),Signal Open Price
SIGMASHELL,SUM.NZ,Long,Daily,2025-09-05,10.66,2025-10-30,11.6,8.818011257035641,39,72.73,11,57,
SIGMASHELL,SUM.NZ,Long,Daily,2025-05-01,10.7,2025-10-30,11.6,8.411214953271031,130,72.73,11,57,
SIGMASHELL,SUM.NZ,Long,Daily,2025-04-03,11.4,2025-07-11,11.63,2.0175438596491264,71,72.73,11,57,
