Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit
Buy,2020-01-17 - 2020-02-28,30 days,2020-03-04,0.9556,2023-07-14,0.8591,877 days,-10.1%,Rise by 3.46%,-10.1%
Buy,2020-03-05 - 2020-03-09,2 days,2020-03-11,0.9368,2020-03-20,0.9887,7 days,5.5%,Rise by 4.22%,-4.6%
Buy,2020-06-02 - 2020-06-05,3 days,2020-06-12,0.9441,2022-05-10,0.9927,497 days,5.1%,Rise by -2.79%,0.6%
Buy,2020-07-31 - 2020-08-05,3 days,2020-08-14,0.9097,2022-04-25,0.9556,441 days,5.0%,Rise by 0.89%,5.6%
Buy,2020-10-14 - 2020-10-21,5 days,2020-11-10,0.9127,2022-04-27,0.9622,381 days,5.4%,Rise by -1.6%,11.1%
Buy,2020-12-15 - 2020-12-31,12 days,2021-01-07,0.8781,2022-05-06,0.9852,346 days,12.2%,Rise by 2.95%,23.3%
Sell,2021-03-09 - 2021-03-26,13 days,2021-04-07,0.9314,2021-04-15,0.9227,6 days,0.9%,Fall by 3.84%,24.2%
Buy,2021-04-30 - 2021-05-12,8 days,2021-05-19,0.8974,2022-04-29,0.9717,247 days,8.3%,Rise by 3.18%,32.5%
Buy,2021-05-25 - 2021-06-09,11 days,2021-06-14,0.8977,2022-05-13,1.003,239 days,11.7%,Rise by 3.14%,44.2%
Buy,2021-07-13 - 2021-08-04,16 days,2021-08-06,0.9065,2025-04-17,0.8138,964 days,-10.2%,Rise by 3.06%,34.0%
Sell,2022-05-13 - 2022-05-16,1 days,2022-05-19,0.9871,2022-05-25,0.9602,4 days,2.7%,Fall by 3.33%,36.7%
Buy,2022-05-27 - 2022-06-29,23 days,2022-07-01,0.9551,2023-07-14,0.8591,270 days,-10.1%,Rise by 3.08%,26.6%
Sell,2022-07-13 - 2022-07-14,1 days,2022-07-19,0.9775,2022-07-20,0.9688,1 days,0.9%,Fall by 3.7%,27.5%
Sell,2022-09-05 - 2022-09-07,2 days,2022-09-12,0.9599,2022-09-23,0.9757,9 days,-1.6%,Fall by 3.7%,25.9%
Sell,2022-10-12 - 2022-10-13,1 days,2022-10-18,0.9955,2022-10-19,0.9937,1 days,0.2%,Fall by 7.14%,26.1%
Buy,2022-10-28 - 2022-11-10,9 days,2022-11-16,0.9429,2023-12-28,0.8423,291 days,-10.7%,Rise by -0.75%,15.4%
Buy,2022-12-16 - 2022-12-22,4 days,2023-01-02,0.9238,2025-04-11,0.8208,594 days,-11.1%,Rise by 0.44%,4.3%
Buy,2023-01-03 - 2023-01-09,4 days,2023-01-19,0.9159,2025-04-11,0.8208,581 days,-10.4%,Rise by 1.31%,-6.1%
Buy,2023-04-10 - 2023-04-13,3 days,2023-04-27,0.8908,2025-06-27,0.8009,566 days,-10.1%,Rise by 2.14%,-16.2%
Buy,2023-04-25 - 2023-05-04,7 days,2023-05-08,0.8912,2025-06-27,0.8009,559 days,-10.1%,Rise by 2.1%,-26.4%
Buy,2023-07-20 - 2023-07-27,5 days,2023-07-31,0.8698,2023-09-27,0.9158,42 days,5.3%,Rise by 5.89%,-21.1%
Sell,2023-08-29 - 2023-09-06,6 days,2023-09-11,0.892,2023-09-12,0.8912,1 days,0.1%,Fall by 0.16%,-21.0%
Sell,2023-09-20 - 2023-09-21,1 days,2023-10-05,0.9166,2023-10-13,0.9078,6 days,1.0%,Fall by 2.84%,-20.0%
Buy,2023-11-23 - 2023-11-29,4 days,2023-12-01,0.8747,2024-05-01,0.9195,108 days,5.1%,Rise by 1.45%,-14.9%
Buy,2023-12-26 - 2023-12-28,2 days,2024-01-08,0.8507,2024-03-22,0.8977,54 days,5.5%,Rise by 4.31%,-9.4%
Sell,2024-03-20 - 2024-03-22,2 days,2024-03-29,0.9011,2024-04-25,0.9144,19 days,-1.5%,Fall by 0.07%,-10.8%
Sell,2024-03-28 - 2024-04-03,4 days,2024-04-08,0.9032,2024-04-10,0.903,2 days,0.0%,Fall by 0.3%,-10.8%
Sell,2024-04-29 - 2024-05-01,2 days,2024-05-06,0.9059,2024-06-05,0.8899,22 days,1.8%,Fall by 2.4%,-9.1%
Buy,2024-07-22 - 2024-07-25,3 days,2024-08-06,0.8548,2024-12-19,0.9017,97 days,5.5%,Rise by -0.26%,-3.6%
Buy,2024-08-29 - 2024-09-06,6 days,2024-09-10,0.8494,2024-12-19,0.9017,72 days,6.2%,Rise by 4.84%,2.6%
Sell,2024-10-21 - 2024-10-23,2 days,2024-10-30,0.8672,2024-11-06,0.8624,5 days,0.6%,Fall by -1.29%,3.1%
Sell,2024-11-18 - 2024-11-22,4 days,2024-11-27,0.8863,2024-11-28,0.882,1 days,0.5%,Fall by 1.12%,3.6%
Sell,2024-12-20 - 2024-12-25,3 days,2025-01-06,0.9093,2025-01-07,0.905,1 days,0.5%,Fall by 3.62%,4.1%
Buy,2025-09-02 - 2025-09-09,5 days,2025-09-26,0.8,2025-09-26,0.8,0 days,0.0%,Rise by 0.52%,4.1%
Sell,2025-09-30 - 2025-10-10,8 days,2025-10-15,0.8015,2025-10-20,0.7936,3 days,1.0%,Fall by -0.34%,5.1%
