Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2021-01-05,43.8,2021-03-18,40.7,51 days,-7.080000%,-7.080000%,Rise by -12.330000%,-7.080000%
Buy,2021-09-03,50.73,2022-05-04,57.49,172 days,13.330000%,13.330000%,Rise by -2.480000%,6.250000%
Buy,2022-05-09,54.92,2022-08-24,58.02,76 days,5.640000%,5.640000%,Rise by 0.760000%,11.890000%
Buy,2022-09-26,54.82,2022-11-18,61.72,38 days,12.590000%,12.590000%,Rise by 14.740000%,24.480000%
Buy,2022-11-25,60.88,2023-03-02,63.57,68 days,4.420000%,4.420000%,Rise by 3.550000%,28.900000%
Buy,2023-03-15,60.94,2023-11-28,78.75,183 days,29.230000%,29.230000%,Rise by 11.500000%,58.120000%
Buy,2023-12-01,76.93,2024-03-06,83.57,67 days,8.630000%,8.630000%,Rise by 6.200000%,66.750000%
Buy,2024-03-25,77.77,2024-06-10,77.94,54 days,0.220000%,0.220000%,Rise by 0.050000%,66.970000%
Buy,2024-08-08,79.66,2025-07-31,72.0,254 days,-9.620000%,-9.620000%,Rise by -10.330000%,57.360000%
Buy,2025-10-31,71.28,2025-10-31,71.28,0 days,0.00%,0.00%,Rise by 0%,57.360000%
