Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2013-12-22,1.98,2022-09-04,6.01,2269 days,203.410000%,203.410000%,Rise by 13.350000%,203.410000%,
Buy,2023-09-24,6.21,2025-10-19,6.49,539 days,4.590000%,4.590000%,Rise by 8.140000%,208.010000%,
