Symbol,Target for which Price has achieved over 90 percent of gain %,Current Trading Date/Price[$],Entry Signal Date/Price[$],Number of Trades/Historic Win Rate [%],Next Two Target % from Latest Trading Price,"% Gain, Holding Period (days)",Backtested Returns(Win Trades) [%] (Best/Worst/Avg),Remaining Potential Exit Prices [$],Interval,Function,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),SignalType
^BVSP,142660.6127 (Historic Rise or Fall to Pivot),2025-10-15 (Price: 142603.6562),2025-10-14 (Price: 141683.0),22/95.45%,4.44%/6.1%,"0.65%, 1 days",10.39%/1.2%/5.12%,148937.1696 (Avg % Gain of Historic Winning trades)/151299.8 (Exit Rule)/173653.968 (F-Stack 1)/192289.6 (F-Stack 2),Daily,FRACTAL TRACK,88.67%/203/184 days (Across ALL Assets),74.39%/82/142 days (Across ALL Assets),target
