Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2011-08-21,9.24,2012-05-20,10.44,194 days,12.990000%,12.990000%,Rise by 9.440000%,12.990000%,
Buy,2015-10-11,19.2,2018-02-11,29.23,609 days,52.280000%,52.280000%,Rise by 7.270000%,65.280000%,
Buy,2019-01-06,32.56,2024-12-22,58.81,1554 days,80.650000%,80.650000%,Rise by 18.530000%,145.930000%,
Buy,2025-10-12,58.83,2025-10-12,58.83,0 days,0.00%,0.00%,Rise by 0%,145.930000%,
