Function,Symbol,Signal,Interval,Entry Date,Entry Price,Exit Date,Exit Price,Profit [%],Holding Period (days),Backtested Win Rate [%],Backtested Number of Trades,Avg Backtested Holding Period (days),Signal Open Price
TRENDPULSE,SFTBY,Long,Weekly,2025-08-17,55.7,2025-10-12,68.41,22.818671454219018,39,80.0,25,59,
TRENDPULSE,SFTBY,Long,Weekly,2025-07-06,37.0,2025-08-17,55.7,50.54054054054055,29,80.0,25,59,
