Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2020-12-14,48.55,2021-04-26,45.97,94 days,-5.310000%,-5.310000%,Rise by 2.280000%,-5.310000%
Buy,2021-06-18,45.06,2021-08-26,49.12,48 days,9.010000%,9.010000%,Rise by 12.040000%,3.700000%
Buy,2021-09-13,48.35,2021-11-12,49.25,43 days,1.860000%,1.860000%,Rise by 4.290000%,5.560000%
Buy,2021-11-18,47.72,2022-04-27,51.41,113 days,7.740000%,7.740000%,Rise by 1.820000%,13.300000%
Buy,2022-05-10,49.73,2022-07-26,40.66,54 days,-18.230000%,-18.230000%,Rise by -16.790000%,-4.940000%
Buy,2022-12-19,47.6,2023-05-02,50.39,95 days,5.870000%,5.870000%,Rise by 2.790000%,0.930000%
Buy,2023-05-23,49.44,2023-06-29,51.43,26 days,4.030000%,4.030000%,Rise by 6.350000%,4.960000%
Buy,2023-10-03,53.03,2024-07-26,69.78,212 days,31.590000%,31.590000%,Rise by 6.720000%,36.540000%
Buy,2024-08-02,68.46,2024-10-31,81.95,63 days,19.700000%,19.700000%,Rise by 18.900000%,56.250000%
Buy,2025-01-02,90.0,2025-05-12,96.75,91 days,7.500000%,7.500000%,Rise by 16.720000%,63.750000%
