Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2021-05-03,17.6075,2021-09-07,16.1575,Buy,91 Days,-3.55,Rise by -4.5%,-8.24%,-8.24%,
2022-03-04,14.67,2022-08-19,15.6725,Buy,120 Days,-5.63,Rise by 15.8%,6.83%,-1.4%,
2022-05-09,13.155,2022-08-19,15.6725,Buy,74 Days,-3.86,Rise by 6.39%,19.14%,17.74%,
2023-05-04,17.8525,2023-06-12,19.2475,Buy,27 Days,-3.12,Rise by 10.54%,7.81%,25.55%,
2023-11-01,19.64,2024-01-10,21.7525,Buy,50 Days,-5.99,Rise by 4.85%,10.76%,36.31%,
2025-03-10,41.79,2025-05-21,51.3175,Buy,52 Days,-4.24,Rise by 6.57%,22.8%,59.1%,
2025-04-01,43.27,2025-08-04,64.9,Buy,89 Days,-11.93,Rise by -15.06%,49.99%,109.09%,
