Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return
2012-12-31,25.25,2013-12-31,35.1,Buy,260 days,Rise by 49.390000%,39.01
2013-06-30,30.94,2014-09-30,36.99,Buy,325 days,Rise by 21.930000%,19.57
2016-12-31,28.53,2018-12-31,31.08,Sell,519 days,Fall by 3.150000%,-8.94
2018-06-30,27.63,2019-09-30,36.45,Sell,324 days,Fall by -58.670000%,-31.92
2019-03-31,34.39,2020-09-30,42.81,Buy,391 days,Rise by 32.220000%,24.48
2019-12-31,40.66,2023-06-30,38.2,Buy,912 days,Rise by 2.580000%,-6.05
