Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Actual Rise/Fall wrt Entry,Return,Signal Open Price
2004-03-31,22.9,2005-12-31,30.16,Buy,457 days,Rise by 33.160000%,31.67,
2007-12-31,26.14,2009-03-31,20.13,Sell,325 days,Fall by 40.140000%,23.01,
2010-12-31,34.26,2012-12-31,38.62,Buy,520 days,Rise by 15.830000%,12.73,
2014-03-31,44.3,2017-09-30,60.05,Buy,914 days,Rise by 5.010000%,35.55,
2015-12-31,40.31,2016-12-31,54.53,Sell,261 days,Fall by -56.590000%,-35.28,
2021-06-30,92.77,2024-12-31,131.04,Buy,913 days,Rise by 8.870000%,41.25,
2023-06-30,98.7,2025-03-31,118.77,Buy,455 days,Rise by 58.760000%,20.33,
