Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2022-01-25,86.0000,2022-02-02,89.9900,6 days,4.64%,4.6395%,Rise by -11.63%,4.6395%
Buy,2022-02-17,82.0600,2022-05-10,75.0200,58 days,-8.58%,-8.5791%,Rise by 2.12%,-3.9396%
Buy,2022-05-16,72.7000,2022-05-20,75.1000,4 days,3.30%,3.3012%,Rise by 12.17%,-0.6383%
Buy,2022-06-16,70.9900,2022-07-28,75.5000,30 days,6.35%,6.3530%,Rise by 1.39%,5.7147%
Buy,2022-09-23,70.0000,2022-10-18,65.0500,17 days,-7.07%,-7.0714%,Rise by 8.63%,-1.3567%
Buy,2023-03-16,69.0000,2023-03-28,70.7900,8 days,2.59%,2.5942%,Rise by 5.78%,1.2375%
Buy,2023-08-02,67.8500,2023-08-28,65.5000,18 days,-3.46%,-3.4635%,Rise by -1.25%,-2.2261%
Buy,2023-10-31,57.2400,2023-11-02,60.1000,2 days,5.00%,4.9965%,Rise by 16.88%,2.7704%
Buy,2025-03-21,64.4600,2025-04-07,57.8000,11 days,-10.33%,-10.3320%,Rise by -10.33%,-7.5615%
Buy,2025-04-24,57.7100,2025-05-02,62.0100,6 days,7.45%,7.4510%,Rise by 19.22%,-0.1105%
Buy,2025-08-04,60.0700,2025-09-01,61.8500,20 days,2.96%,2.9632%,Rise by 6.88%,2.8527%
