Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit
Sell,2019-12-20 - 2019-12-27,5 days,2020-01-06,51.43,2020-01-09,52.86,3 days,-2.8%,Fall by 6.49%,-2.8%
Sell,2020-04-16 - 2020-04-20,2 days,2020-04-24,47.75,2020-04-29,49.16,3 days,-3.0%,Fall by -35.02%,-5.7%
Sell,2020-04-20 - 2020-04-28,6 days,2020-05-04,46.04,2020-05-06,47.38,2 days,-2.9%,Fall by -40.03%,-8.6%
Sell,2020-05-12 - 2020-05-13,1 days,2020-05-21,51.61,2020-06-01,53.59,7 days,-3.8%,Fall by -24.92%,-12.5%
Sell,2020-06-17 - 2020-06-19,2 days,2020-06-25,62.38,2020-06-30,61.94,3 days,0.7%,Fall by -3.35%,-11.8%
Sell,2020-08-06 - 2020-08-28,16 days,2020-09-04,69.75,2020-09-09,67.49,3 days,3.2%,Fall by -3.53%,-8.5%
Buy,2020-09-10 - 2020-09-25,11 days,2020-09-29,66.76,2020-11-04,76.88,26 days,15.2%,Rise by 16.42%,6.6%
Sell,2020-11-06 - 2020-11-09,1 days,2020-11-18,73.2,2020-11-19,75.04,1 days,-2.5%,Fall by 1.35%,4.1%
Sell,2020-12-10 - 2020-12-11,1 days,2020-12-22,75.57,2020-12-29,74.9,5 days,0.9%,Fall by -3.57%,5.0%
Sell,2020-12-21 - 2020-12-31,8 days,2021-01-07,78.5,2021-01-08,82.59,1 days,-5.2%,Fall by 0.29%,-0.2%
Sell,2021-01-21 - 2021-01-25,2 days,2021-01-28,88.11,2021-02-01,90.76,2 days,-3.0%,Fall by 11.17%,-3.2%
Sell,2021-02-09 - 2021-02-17,6 days,2021-02-23,95.93,2021-02-24,92.99,1 days,3.1%,Fall by 12.05%,-0.2%
Buy,2021-05-11 - 2021-05-13,2 days,2021-05-17,69.04,2021-06-01,73.23,11 days,6.1%,Rise by 2.81%,5.9%
Buy,2021-06-17 - 2021-06-22,3 days,2021-06-24,69.37,2021-07-07,62.09,9 days,-10.5%,Rise by -10.9%,-4.6%
Buy,2021-08-18 - 2021-08-19,1 days,2021-08-31,51.01,2021-09-07,54.82,5 days,7.5%,Rise by -12.12%,2.9%
Sell,2021-09-02 - 2021-09-07,3 days,2021-09-14,49.32,2021-09-16,48.47,2 days,1.7%,Fall by 9.1%,4.6%
