Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2022-03-04,98.5400,2022-03-17,102.1900,9 days,3.70%,3.7041%,Rise by 4.43%,3.7041%,
Buy,2022-04-14,93.9900,2022-05-27,95.9900,31 days,2.13%,2.1279%,Rise by 3.11%,5.8320%,
Buy,2022-06-17,86.4400,2022-07-12,80.8300,17 days,-6.49%,-6.4901%,Rise by 2.35%,-0.6581%,
Buy,2022-07-18,79.6600,2022-07-19,81.9800,1 days,2.91%,2.9124%,Rise by 11.06%,2.2543%,
Buy,2022-12-19,86.6100,2022-12-23,88.3300,4 days,1.99%,1.9859%,Rise by 8.02%,4.2402%,
Buy,2023-03-16,79.3300,2023-04-03,82.6800,12 days,4.22%,4.2229%,Rise by 4.22%,8.4631%,
Buy,2023-10-26,77.4100,2023-11-02,79.8100,5 days,3.10%,3.1004%,Rise by 9.93%,11.5634%,
Buy,2024-05-08,76.9000,2024-07-15,78.2800,48 days,1.79%,1.7945%,Rise by 6.32%,13.3580%,
Buy,2024-10-17,77.8600,2024-11-14,79.6400,20 days,2.29%,2.2862%,Rise by 2.29%,15.6441%,
Buy,2024-12-10,75.2800,2025-01-03,77.7800,18 days,3.32%,3.3209%,Rise by 10.43%,18.9651%,
Buy,2025-04-09,81.1900,2025-04-15,83.5600,4 days,2.92%,2.9191%,Rise by 25.25%,21.8842%,
