Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2021-10-01,275.71,2021-12-21,293.24,Buy,57 Days,-3.09,Rise by 3.06%,6.36%,6.36%,
2021-12-01,275.0,2022-01-20,311.01,Buy,36 Days,-3.2,Rise by 9.15%,13.09%,19.45%,
2022-05-04,326.8,2022-08-03,294.96,Buy,65 Days,-3.15,Rise by -3.73%,-9.74%,9.71%,
2022-06-03,310.94,2022-08-03,294.96,Buy,43 Days,-4.91,Rise by -10.71%,-5.14%,4.57%,
2022-06-15,278.93,2022-08-19,297.28,Buy,47 Days,-3.04,Rise by -0.19%,6.58%,11.15%,
2022-07-01,277.5,2022-11-18,310.76,Buy,100 Days,-8.64,Rise by 8.32%,11.99%,23.13%,
2022-07-14,274.41,2022-10-21,282.51,Buy,71 Days,-3.23,Rise by 9.54%,2.95%,26.09%,
2024-05-01,398.58,2024-07-23,434.01,Buy,59 Days,-3.02,Rise by 3.38%,8.89%,34.98%,
2025-06-05,488.74,2025-09-10,490.08,Buy,69 Days,-3.05,Rise by 0.97%,0.27%,35.25%,
2025-07-01,489.61,2025-09-10,490.08,Buy,51 Days,-4.51,Rise by -1.13%,0.1%,35.35%,
