Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2022-11-21,20.78,2024-08-23,35.4,459 days,2022-09-13/20.52,70.36%,70.36%,Rise by 26.32%,70.36%
Buy,2024-09-12,38.6,2024-09-12,38.6,0 days,2020-08-28/37.68,0.00%,0.00%,Rise by 0%,70.36%
