Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Maxima Broken Date/Price,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,1992-03-31,0.55,1992-12-31,1.09,197 days,1991-12-31/0.4601,99.05%,99.05%,Rise by 136.71%,99.05%,
Buy,1993-03-31,1.24,1995-03-31,2.12,522 days,1992-12-31/1.092,70.39%,70.39%,Rise by 53.07%,169.44%,
Buy,1995-06-30,2.81,1996-03-31,5.15,195 days,1995-03-31/2.1181,83.44%,83.44%,Rise by 189.0%,252.88%,
Buy,1996-06-30,6.29,1998-03-31,11.4,456 days,1996-03-31/5.1528,81.12%,81.12%,Rise by -15.01%,334.00%,
Buy,1998-06-30,15.34,1999-03-31,27.39,196 days,1998-03-31/11.3958,78.51%,78.51%,Rise by 260.08%,412.52%,
Buy,1999-06-30,32.22,1999-12-31,53.56,132 days,1999-03-31/27.3906,66.25%,66.25%,Rise by 139.96%,478.76%,
Buy,2000-03-31,77.31,2000-09-30,55.25,130 days,1999-12-31/53.5625,-28.54%,-28.54%,Rise by -50.53%,450.23%,
Buy,2003-09-30,19.59,2007-09-30,33.13,1043 days,2001-12-31/18.11,69.12%,69.12%,Rise by -12.61%,519.34%,
Buy,2010-03-31,26.03,2010-12-31,20.23,197 days,2008-03-31/24.09,-22.28%,-22.28%,Rise by -22.28%,497.06%,
Buy,2013-06-30,24.34,2018-03-31,42.89,1239 days,2012-03-31/21.15,76.21%,76.21%,Rise by 14.3%,573.27%,
Buy,2018-06-30,43.03,2025-06-30,69.38,1825 days,2018-03-31/42.89,61.24%,61.24%,Rise by 27.19%,634.51%,
Buy,2025-11-03,73.11,2025-11-03,73.11,0 days,2025-06-30/69.38,0.00%,0.00%,Rise by 0%,634.51%,
