Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return
2021-04-01,69.14,2021-06-10,68.78,Buy,50 Days,-3.04,Rise by 1.19%,-0.52%,-0.52%
2021-12-01,65.98,2022-11-18,54.24,Buy,252 Days,-5.39,Rise by 2.18%,-17.79%,-18.31%
2022-02-01,64.1,2022-11-18,54.24,Buy,208 Days,-5.49,Rise by 2.22%,-15.38%,-33.7%
2022-03-04,61.18,2022-08-04,55.65,Buy,109 Days,-3.25,Rise by 2.57%,-9.04%,-42.74%
2022-04-01,61.93,2022-06-06,57.32,Buy,46 Days,-3.4,Rise by -6.25%,-7.44%,-50.18%
2022-05-02,56.6,2022-12-06,54.59,Buy,156 Days,-7.14,Rise by -0.3%,-3.55%,-53.73%
2022-07-01,53.05,2022-11-30,55.8,Buy,108 Days,-5.96,Rise by 3.11%,5.18%,-48.55%
2022-09-01,52.95,2022-11-07,51.16,Buy,47 Days,-3.48,Rise by 0.26%,-3.38%,-51.93%
2024-05-01,67.11,2024-07-19,69.96,Buy,57 Days,-6.41,Rise by 2.77%,4.25%,-47.68%
2025-04-01,68.2,2025-05-15,72.3,Buy,32 Days,-3.29,Rise by 5.6%,6.01%,-41.67%
