Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return
2021-04-01,23.15,2021-11-17,23.17,Buy,164 Days,-6.01,Rise by 4.06%,0.09%,0.09%
2021-12-01,20.57,2022-03-11,23.87,Buy,72 Days,-4.74,Rise by 1.07%,16.04%,16.13%
2022-05-02,20.87,2022-10-07,18.5,Buy,114 Days,-3.89,Rise by -2.87%,-11.36%,4.77%
2022-05-12,19.12,2022-10-07,18.5,Buy,106 Days,-3.07,Rise by 6.01%,-3.24%,1.53%
2022-06-01,20.13,2022-10-07,18.5,Buy,92 Days,-10.41,Rise by 0.55%,-8.1%,-6.57%
2022-07-01,18.31,2022-10-07,18.5,Buy,70 Days,-5.62,Rise by -4.97%,1.04%,-5.53%
2023-03-01,19.29,2023-12-06,21.93,Buy,200 Days,-9.71,Rise by 3.68%,13.69%,8.16%
2023-10-03,19.44,2023-11-21,21.77,Buy,35 Days,-3.47,Rise by 10.08%,11.99%,20.14%
2024-12-02,27.79,2025-02-12,29.34,Buy,52 Days,-4.01,Rise by 4.5%,5.58%,25.72%
2025-05-01,29.39,2025-06-12,33.06,Buy,30 Days,-3.41,Rise by 3.81%,12.49%,38.21%
