Function,Symbol,Signal,Interval,Entry Date,Entry Price,Exit Date,Exit Price,Profit [%],Holding Period (days),Backtested Win Rate [%],Backtested Number of Trades,Avg Backtested Holding Period (days),Signal Open Price
FRACTAL TRACK,TD,Long,Daily,2025-09-02,74.53,2025-09-26,79.25,6.333020260297865,18,95.83,24,158,
FRACTAL TRACK,TD,Short,Daily,2025-08-22,74.38,2025-08-25,73.76,0.8335574079053379,1,85.0,40,8,
FRACTAL TRACK,TD,Long,Daily,2025-08-05,72.98,2025-09-03,74.86,2.57604823239243,21,95.83,24,158,
FRACTAL TRACK,TD,Long,Daily,2025-02-21,59.83,2025-04-02,59.91,0.1337121845228118,28,95.83,24,158,
FRACTAL TRACK,TD,Long,Daily,2024-09-30,63.26,2025-09-03,74.86,18.337021814732854,242,95.83,24,158,
FRACTAL TRACK,TD,Long,Daily,2024-01-19,60.42,2025-07-10,73.89,22.293942403177756,384,95.83,24,158,
FRACTAL TRACK,TD,Long,Daily,2023-08-29,61.39,2025-09-03,74.86,21.941684313406093,526,95.83,24,158,
FRACTAL TRACK,TD,Long,Daily,2023-06-02,58.77,2025-09-03,74.86,27.377913901650494,588,95.83,24,158,
FRACTAL TRACK,TD,Long,Daily,2023-02-28,66.55,2025-07-14,74.03,11.23966942148761,619,95.83,24,158,
FRACTAL TRACK,TD,Long,Daily,2022-12-20,64.32,2025-09-03,74.86,16.38681592039802,706,95.83,24,158,
FRACTAL TRACK,TD,Long,Daily,2022-09-06,63.97,2025-09-03,74.86,17.02360481475692,781,95.83,24,158,
