Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
1964-08-31,0.1079,1965-08-31,0.1259,1962-01-31-1963-09-30,0.091-0.1191,Buy,261 days,16.68%,Rise by 22.95%,16.68%,
1965-11-30,0.1326,1965-12-31,0.1522,1962-01-31-1965-05-31,0.091-0.1516,Sell,23 days,-14.78%,Fall by 13.47%,1.9%,
1966-07-31,0.1346,1970-07-31,0.5279,1962-01-31-1965-05-31,0.091-0.1516,Buy,1044 days,292.2%,Rise by 136.28%,294.1%,
1969-02-28,0.3847,1969-04-30,0.4252,1966-08-31-1968-12-31,0.1047-0.4804,Sell,43 days,-10.53%,Fall by -24.15%,283.57%,
1970-04-30,0.6628,1970-05-31,0.596,1966-08-31-1970-02-28,0.1047-0.8118,Sell,21 days,10.08%,Fall by -234.92%,293.65%,
1970-10-31,0.6191,1972-11-30,2.0449,1966-08-31-1970-02-28,0.1047-0.8118,Buy,543 days,230.3%,Rise by -10.8%,523.95%,
1971-07-31,1.0469,1971-08-31,1.1766,1970-08-31-1971-05-31,0.4618-1.3243,Sell,21 days,-12.39%,Fall by -34.06%,511.56%,
1971-10-31,1.1111,1971-12-31,1.413,1966-08-31-1971-05-31,0.1047-1.3243,Sell,44 days,-27.17%,Fall by -11.63%,484.39%,
1971-12-31,1.413,1997-12-31,32.5545,1970-08-31-1971-05-31,0.4618-1.3243,Buy,6783 days,2203.93%,Rise by -16.86%,2688.32%,
1973-02-28,1.973,1973-04-30,1.824,1970-08-31-1973-01-31,0.4618-2.5382,Sell,43 days,7.55%,Fall by 10.84%,2695.87%,
1973-03-31,1.9216,1973-04-30,1.824,1966-08-31-1973-01-31,0.1047-2.5382,Sell,20 days,5.08%,Fall by 10.84%,2700.95%,
1974-03-31,1.0071,1990-03-31,9.1354,1966-08-31-1971-05-31,0.1047-1.3243,Buy,4174 days,807.1%,Rise by -18.45%,3508.05%,
1975-02-28,0.8118,1976-01-31,1.2228,1966-08-31-1968-12-31,0.1047-0.4804,Buy,240 days,50.63%,Rise by -16.81%,3558.68%,
1975-07-31,0.9454,1975-08-31,0.9146,1974-12-31-1975-05-31,0.3417-1.1458,Sell,21 days,3.26%,Fall by 14.61%,3561.94%,
1976-07-31,1.0173,1976-09-30,0.9839,1974-12-31-1976-02-29,0.3417-1.2948,Sell,43 days,3.28%,Fall by 20.62%,3565.22%,
1976-12-31,0.9711,1981-10-31,1.079,1974-12-31-1975-05-31,0.3417-1.1458,Buy,1260 days,11.11%,Rise by 11.9%,3576.33%,
1979-01-31,0.8503,1979-01-31,0.8503,1976-02-29-1978-04-30,0.8324-1.1997,Sell,0 days,-0.0%,Fall by 0%,3576.33%,
1979-10-31,0.763,1979-12-31,0.9223,1978-04-30-1978-08-31,0.6474-0.9685,Sell,43 days,-20.88%,Fall by 5.57%,3555.45%,
1980-05-31,1.0302,1981-04-30,1.1997,1978-04-30-1978-08-31,0.6474-0.9685,Buy,238 days,16.45%,Rise by -19.91%,3571.91%,
1981-07-31,1.1047,1981-08-31,1.0636,1979-05-31-1981-06-30,0.6782-1.3796,Sell,21 days,3.72%,Fall by 1.94%,3575.63%,
1982-05-31,1.1766,1983-08-31,1.21,1974-12-31-1981-06-30,0.3417-1.3796,Buy,327 days,2.84%,Rise by -15.07%,3578.47%,
1982-10-31,1.3564,1983-08-31,1.21,1979-05-31-1981-06-30,0.6782-1.3796,Buy,217 days,-10.79%,Rise by -15.07%,3567.67%,
1983-06-30,1.3924,1983-07-31,1.2948,1974-12-31-1983-04-30,0.3417-1.7418,Sell,21 days,7.01%,Fall by 16.27%,3574.68%,
1983-07-31,1.2948,1983-08-31,1.21,1981-09-30-1983-04-30,0.8914-1.7418,Sell,22 days,6.55%,Fall by 15.07%,3581.23%,
1984-06-30,0.9737,1984-07-31,1.0841,1983-11-30-1984-05-31,0.9711-1.4284,Sell,21 days,-11.34%,Fall by -199.53%,3569.89%,
1984-10-31,1.1766,1985-01-31,1.5286,1973-01-31-1974-12-31,0.4599-2.1271,Sell,66 days,-29.92%,Fall by -112.43%,3539.98%,
1986-08-31,3.7508,1986-09-30,3.2472,1984-07-31-1986-06-30,0.93-4.5112,Sell,21 days,13.43%,Fall by -32.6%,3553.4%,
1986-09-30,3.2472,1986-10-31,3.6069,1966-08-31-1986-06-30,0.1047-4.5112,Sell,23 days,-11.08%,Fall by -19.37%,3542.33%,
1986-11-30,3.5452,1987-01-31,4.6448,1983-04-30-1984-07-31,1.1406-1.5543,Sell,44 days,-31.02%,Fall by 7.3%,3511.31%,
1987-10-31,4.542,1987-11-30,4.3057,1984-07-31-1987-08-31,0.93-6.7822,Sell,20 days,5.2%,Fall by -98.8%,3516.51%,
