Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
1996-03-31,0.8984,1996-06-30,0.7891,1994-06-30-1996-03-31,0.207-1.3281,Sell,64 days,12.17%,Fall by 9.42%,12.17%,
1998-03-31,1.125,1998-06-30,1.002,1996-09-30-1997-09-30,0.5078-1.4766,Sell,65 days,10.93%,Fall by -242.09%,23.1%,
1999-12-31,1.6914,2000-03-31,1.9805,1998-09-30-1999-09-30,0.5625-2.9844,Sell,65 days,-17.09%,Fall by -2.56%,6.01%,
2004-03-31,6.9313,2004-06-30,8.375,1998-09-30-2003-09-30,0.5625-8.8263,Sell,65 days,-20.83%,Fall by -105.28%,-14.82%,
2008-09-30,22.815,2008-12-31,25.57,1998-09-30-2008-09-30,0.5625-28.815,Sell,66 days,-12.08%,Fall by 15.39%,-26.9%,
2015-09-30,98.19,2016-03-31,91.86,2010-09-30-2015-06-30,15.865-123.37,Sell,131 days,6.45%,Fall by 22.04%,-20.45%,
2018-06-30,70.84,2018-12-31,62.55,2017-06-30-2018-03-31,63.76-89.54,Sell,130 days,11.7%,Fall by -3.33%,-8.75%,
2019-06-30,67.56,2019-06-30,67.56,1994-06-30-2015-06-30,0.207-123.37,Buy,0 days,0.0%,Rise by 0%,-8.75%,
2020-06-30,76.94,2020-06-30,76.94,1998-09-30-2015-06-30,0.5625-123.37,Buy,0 days,0.0%,Rise by 0%,-8.75%,
2020-09-30,63.19,2020-12-31,58.26,2018-12-31-2020-03-31,60.32-85.97,Sell,66 days,7.8%,Fall by -2.04%,-0.95%,
2021-06-30,68.86,2021-06-30,68.86,2010-09-30-2015-06-30,15.865-123.37,Buy,0 days,0.0%,Rise by 0%,-0.95%,
2024-03-31,73.25,2024-06-30,68.61,2022-06-30-2022-12-31,57.17-89.74,Sell,64 days,6.33%,Fall by -74.6%,5.39%,
2024-06-30,68.61,2024-09-30,83.84,2018-12-31-2022-12-31,60.32-89.74,Sell,65 days,-22.2%,Fall by -42.88%,-16.81%,
2024-12-31,92.37,2024-12-31,92.37,2022-06-30-2022-12-31,57.17-89.74,Buy,0 days,0.0%,Rise by 0%,-16.81%,
