Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return
2021-12-02,147.2,2022-08-19,120.14,Buy,186 Days,-6.12,Rise by 6.49%,-18.38%,-18.38%
2022-04-01,137.0,2022-08-19,120.14,Buy,100 Days,-6.08,Rise by -11.2%,-12.31%,-30.69%
2022-05-02,113.5,2023-02-01,109.39,Buy,197 Days,-8.5,Rise by -4.28%,-3.62%,-34.31%
2022-07-01,96.14,2022-08-19,120.14,Buy,35 Days,-4.58,Rise by 8.36%,24.96%,-9.35%
2022-10-03,97.13,2023-02-01,109.39,Buy,87 Days,-7.26,Rise by 9.69%,12.62%,3.27%
2023-06-01,88.59,2023-11-29,92.5,Buy,129 Days,-6.03,Rise by 5.94%,4.41%,7.69%
2023-09-01,81.64,2023-10-20,82.65,Buy,35 Days,-3.77,Rise by 4.83%,1.24%,8.93%
2024-07-01,98.04,2024-09-24,93.69,Buy,61 Days,-3.09,Rise by 0.44%,-4.44%,4.49%
2024-08-02,89.57,2024-12-05,116.5,Buy,89 Days,-5.41,Rise by 1.4%,30.07%,34.55%
2025-04-01,97.68,2025-07-03,124.0,Buy,67 Days,-6.41,Rise by -16.34%,26.95%,61.5%
2025-04-16,82.77,2025-06-06,113.9,Buy,37 Days,-3.72,Rise by 10.15%,37.61%,99.11%
