Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2022-01-10,314.2700,2022-01-25,288.4900,11 days,-8.20%,-8.2031%,Rise by -0.26%,-8.2031%
Buy,2022-01-26,296.7100,2022-01-28,308.2600,2 days,3.89%,3.8927%,Rise by 6.3%,-4.3104%
Buy,2022-05-13,261.1200,2022-05-27,273.2400,10 days,4.64%,4.6415%,Rise by 5.15%,0.3311%
Buy,2022-09-20,242.4500,2022-11-30,255.1400,51 days,5.23%,5.2341%,Rise by 2.78%,5.5652%
Buy,2023-09-27,312.7900,2023-10-02,321.8000,3 days,2.88%,2.8805%,Rise by 22.35%,8.4457%
Buy,2024-04-22,400.9600,2024-04-24,409.0600,2 days,2.02%,2.0202%,Rise by 7.37%,10.4658%
Buy,2024-07-26,425.2700,2024-08-05,395.1500,6 days,-7.08%,-7.0826%,Rise by -0.11%,3.3833%
Buy,2024-08-07,398.4300,2024-08-13,414.0100,4 days,3.91%,3.9103%,Rise by 10.1%,7.2936%
Buy,2025-02-05,413.2900,2025-03-03,388.4900,18 days,-6.00%,-6.0006%,Rise by 0.69%,1.2930%
Buy,2025-03-04,388.6100,2025-03-05,401.0200,1 days,3.19%,3.1934%,Rise by 1.69%,4.4864%
