Entry Date,Entry Price,Exit Date,Exit Price,Signal,Holding Period,Sigma,Actual Rise/Fall wrt Entry,Return,Cum-Return,Signal Open Price
2021-03-01,2924.2,2021-06-23,3261.3999,Buy,82 Days,-5.07,Rise by 5.02%,11.53%,11.53%,
2021-11-01,3476.3999,2022-01-20,3826.55,Buy,58 Days,-4.91,Rise by 2.3%,10.07%,21.6%,
2022-03-02,3546.1499,2022-11-07,3233.7,Buy,178 Days,-5.59,Rise by 2.44%,-8.81%,12.79%,
2022-10-03,2984.95,2022-12-06,3385.3501,Buy,46 Days,-4.94,Rise by 9.2%,13.41%,26.21%,
2023-11-01,3330.6499,2024-01-18,3902.6001,Buy,56 Days,-4.15,Rise by 1.53%,17.17%,43.38%,
2024-05-03,3843.3999,2024-07-09,3985.5,Buy,47 Days,-3.84,Rise by 1.32%,3.7%,47.08%,
2024-10-03,4232.75,2024-11-14,4145.8999,Buy,30 Days,-3.06,Rise by -3.35%,-2.05%,45.02%,
2024-11-01,3984.2,2025-09-23,3062.3999,Buy,232 Days,-4.16,Rise by 5.38%,-23.14%,21.89%,
2025-03-03,3493.05,2025-03-03,3493.05,Buy,0 Days,-6.18,Rise by 0%,0.0%,21.89%,
2025-04-01,3550.8,2025-09-23,3062.3999,Buy,125 Days,-5.27,Rise by -2.21%,-13.75%,8.13%,
2025-08-04,3074.3999,2025-08-04,3074.3999,Buy,0 Days,-3.7,Rise by 0%,0.0%,8.13%,
