Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit
Sell,2019-11-29 - 2019-12-04,3 days,2019-12-09,2.22,2019-12-13,2.39,4 days,-7.7%,Fall by -69.82%,-7.7%
Sell,2019-12-20 - 2019-12-23,1 days,2020-01-02,3.72,2020-01-03,3.83,1 days,-3.0%,Fall by -1.34%,-10.6%
Sell,2020-01-21 - 2020-01-22,1 days,2020-01-28,4.21,2020-02-04,4.51,5 days,-7.1%,Fall by 10.45%,-17.7%
Sell,2020-01-30 - 2020-02-04,3 days,2020-02-07,3.81,2020-02-11,3.96,2 days,-3.9%,Fall by 13.65%,-21.7%
Sell,2020-02-21 - 2020-02-25,2 days,2020-02-28,4.13,2020-03-02,4.11,1 days,0.5%,Fall by 29.78%,-21.2%
Buy,2020-03-06 - 2020-03-16,6 days,2020-03-19,2.38,2020-03-24,2.6,3 days,9.2%,Rise by 58.4%,-11.9%
Sell,2020-04-15 - 2020-04-16,1 days,2020-04-21,3.02,2020-04-27,3.24,4 days,-7.3%,Fall by -8.28%,-19.2%
Sell,2020-05-08 - 2020-05-20,8 days,2020-05-29,3.98,2020-06-01,4.26,1 days,-7.0%,Fall by -1045.23%,-26.3%
Sell,2020-06-03 - 2020-06-04,1 days,2020-06-24,6.86,2020-06-25,7.08,1 days,-3.2%,Fall by -511.95%,-29.5%
Sell,2020-07-02 - 2020-07-08,4 days,2020-07-15,13.52,2020-07-20,12.82,3 days,5.2%,Fall by 11.69%,-24.3%
Sell,2020-08-27 - 2020-09-02,4 days,2020-09-08,17.03,2020-09-09,18.09,1 days,-6.2%,Fall by -140.63%,-30.5%
Buy,2020-09-15 - 2020-09-18,3 days,2020-09-25,18.32,2020-09-29,20.85,2 days,13.8%,Rise by 202.29%,-16.7%
Sell,2020-10-01 - 2020-10-08,5 days,2020-10-20,27.96,2020-10-21,27.86,1 days,0.4%,Fall by -46.57%,-16.4%
Sell,2020-10-16 - 2020-10-29,9 days,2020-11-11,43.08,2020-11-12,48.3,1 days,-12.1%,Fall by 4.87%,-28.5%
Sell,2020-11-09 - 2020-11-13,4 days,2020-12-01,45.36,2020-12-02,47.98,1 days,-5.8%,Fall by -22.95%,-34.2%
Sell,2021-01-05 - 2021-01-06,1 days,2021-01-15,56.27,2021-01-19,58.44,2 days,-3.9%,Fall by 12.72%,-38.1%
Buy,2021-01-29 - 2021-02-04,4 days,2021-02-08,59.07,2021-02-09,62.84,1 days,6.4%,Rise by -20.76%,-31.7%
Buy,2021-03-04 - 2021-03-05,1 days,2021-03-22,42.94,2021-03-24,36.96,2 days,-13.9%,Rise by -11.22%,-45.6%
Buy,2021-05-10 - 2021-05-11,1 days,2021-05-14,33.42,2021-05-24,35.89,6 days,7.4%,Rise by 59.19%,-38.3%
Sell,2021-06-01 - 2021-06-02,1 days,2021-06-10,42.76,2021-06-11,45.68,1 days,-6.8%,Fall by 7.95%,-45.1%
Sell,2021-06-14 - 2021-06-18,4 days,2021-06-23,45.41,2021-06-28,49.4,3 days,-8.8%,Fall by 13.32%,-53.9%
Sell,2021-06-30 - 2021-07-01,1 days,2021-07-08,45.6,2021-07-09,45.53,1 days,0.2%,Fall by 13.68%,-53.7%
Buy,2021-07-16 - 2021-07-27,7 days,2021-07-29,42.62,2021-08-02,45.85,2 days,7.6%,Rise by -10.61%,-46.1%
Buy,2021-08-23 - 2021-08-30,5 days,2021-09-02,40.35,2021-09-20,35.17,12 days,-12.8%,Rise by -13.51%,-59.0%
Buy,2021-09-22 - 2021-09-27,3 days,2021-10-07,35.99,2021-10-18,39.61,7 days,10.1%,Rise by 20.03%,-48.9%
Sell,2021-10-19 - 2021-10-26,5 days,2021-10-29,39.41,2021-11-01,40.84,1 days,-3.6%,Fall by 18.42%,-52.5%
Buy,2022-01-27 - 2022-01-28,1 days,2022-02-07,23.99,2022-02-09,26.1,2 days,8.8%,Rise by -11.55%,-43.8%
Buy,2022-03-08 - 2022-03-14,4 days,2022-03-16,18.75,2022-03-18,20.86,2 days,11.3%,Rise by 27.2%,-32.5%
Sell,2022-03-30 - 2022-04-05,4 days,2022-04-08,20.0,2022-04-12,19.46,2 days,2.7%,Fall by 16.2%,-29.8%
Buy,2022-04-26 - 2022-04-28,2 days,2022-05-13,14.31,2022-05-17,16.63,2 days,16.2%,Rise by 68.27%,-13.6%
Sell,2022-06-24 - 2022-06-27,1 days,2022-06-30,21.72,2022-07-01,21.36,1 days,1.7%,Fall by 11.42%,-11.9%
Buy,2022-07-13 - 2022-07-19,4 days,2022-07-21,20.68,2022-08-23,18.29,23 days,-11.6%,Rise by 3.0%,-23.5%
Buy,2022-07-26 - 2022-07-28,2 days,2022-08-15,21.3,2022-08-19,19.05,4 days,-10.6%,Rise by -11.78%,-34.1%
